ITERATIONS,DeltaOmega,RewardMean,Wins,RewardStd,NormDeltaVar,NormDeltaOmega,TimestepsMean,Omega,TimestepsStd,ConfortViolation,Traj,ReturnsStd,OmegaBefore,ReturnsMean
0,-0.10000000146485277,6.421762819357746,0.0,1.3745226906914556,0.3162277680819663,0.10000000146485277,23.036,7.899999998535147,13.034212826250767,0,250,87.65680363017938,8.0,147.93172830672503
1,-0.09847286951210954,6.515388359499195,0.0,1.3280001254062135,0.29568458378061724,0.09847286951210954,25.336,7.801527129023038,12.243819012056655,0,250,83.39728667467536,7.899999998535147,165.07387947627163
2,-0.021742107140479305,6.655031157806716,0.0,1.1881764217634756,0.29742183561241464,0.021742107140479305,32.772,7.779785021882558,19.398557059740295,0,250,133.96620463802478,7.801527129023038,218.09868110364172
3,-0.04416664044360452,6.679602626115635,0.0,1.1567288059702752,0.26707338435099204,0.04416664044360452,34.816,7.735618381438954,17.28739841618744,0,250,119.75469008933878,7.779785021882558,232.55704503084195
4,-0.06557896511434969,6.7567759328706,0.0,1.059441631121707,0.26261214326774734,0.06557896511434969,42.336,7.670039416324604,23.465359660572005,0,250,163.69162742056616,7.735618381438954,286.05486589400965
5,-0.04289528126561848,6.791844341704881,0.0,1.0832604983126586,0.26078386236701706,0.04289528126561848,40.948,7.627144135058986,22.16161763048898,0,250,155.6085327124055,7.670039416324604,278.11244210413145
6,-0.03538261901461226,6.8438135923813075,0.0,1.0362504245168502,0.24183091311441895,0.03538261901461226,45.344,7.591761516044373,21.310318251964237,0,250,150.5464570457905,7.627144135058986,310.32588353293806
7,-0.0446108934686702,6.893962962441462,0.0,0.9881038681190341,0.21727169262344972,0.0446108934686702,50.54,7.547150622575703,23.122811247770027,0,250,164.21069605272882,7.591761516044373,348.42088812179145
8,-0.04988423031998046,6.929825047381103,0.0,0.9800862406245905,0.19882608439060667,0.04988423031998046,51.888,7.497266392255723,22.537157229783883,0,250,160.7428810223494,7.547150622575703,359.57476205851066
9,-0.06404870396279705,6.980638870323624,0.0,0.9514238142245046,0.2034138181433259,0.06404870396279705,55.836,7.433217688292926,23.27198109315148,0,250,167.03988540291928,7.497266392255723,389.77095196338985
10,-0.025787816667738994,7.018935181214715,0.0,0.962084846515121,0.2088254576469122,0.025787816667738994,55.26,7.407429871625187,22.203252014063168,0,250,160.55458850012965,7.433217688292926,387.8663581139252
11,-0.03493119724231164,7.04682048517087,0.0,0.9353264544102519,0.21843210414559916,0.03493119724231164,58.916,7.372498674382875,24.739218742716997,0,250,179.1567244533689,7.407429871625187,415.17047570432703
12,-0.05216756476819029,7.0775176801297235,0.0,0.9175304008531702,0.2301555472799521,0.05216756476819029,61.752,7.320331109614685,26.216683543118112,0,250,190.50482901920483,7.372498674382875,437.0508717833707
13,-0.023463121512460994,7.1243307315041084,0.0,0.8974088090843515,0.24036137394494048,0.023463121512460994,65.376,7.296867988102224,26.978410331225966,0,250,197.2710713741323,7.320331109614685,465.76024590281264
14,0.017488735512109166,7.156876303500417,0.8,0.8440230252000077,0.25755658398790465,0.017488735512109166,73.988,7.314356723614333,32.538897584275965,0,250,238.7064655413356,7.296867988102224,529.522963943389
15,-0.00162047698010781,7.141034309643529,0.0,0.8305470915776273,0.26031350868556036,0.00162047698010781,76.82,7.312736246634225,28.939723564678363,0,250,211.36643151857632,7.314356723614333,548.5742556668159
