TimestepsStd,OmegaBefore,NormDeltaOmega,DeltaOmega,Wins,Omega,ReturnsStd,ITERATIONS,Traj,NormDeltaVar,RewardMean,TimestepsMean,RewardStd,ReturnsMean,ConfortViolation
0.0,9.08781897038385,0.030568519151868756,-0.030568519151868756,100.0,9.057250451231981,1.655719044790294,1845,250,0.09676298056909045,5.8535686179610655,201.0,0.09696747239214425,1176.5672922101742,0
23.527005759339627,9.057250451231981,0.017277072492692724,-0.017277072492692724,98.4,9.039973378739289,139.3094567274201,1846,250,0.07280662001850326,5.879850622010315,198.0,0.11075207943387366,1164.2104231580422,0
11.677003040164028,9.039973378739289,0.03599393025025677,-0.03599393025025677,99.6,9.003979448489032,69.35479027062776,1847,250,0.05852480932593417,5.896436932579595,200.26,0.10023778762142707,1180.8204601183897,0
11.613884104811792,9.003979448489032,0.02326983270716987,-0.02326983270716987,99.6,8.980709615781862,69.37012325452507,1848,250,0.03828894300653373,5.928365861818501,200.264,0.10058559977355937,1187.2382609512204,0
20.39829639945454,8.980709615781862,0.006853894346399159,-0.006853894346399159,98.8,8.973855721435463,122.1903771223316,1849,250,0.06564201587690553,5.9484055954280945,198.752,0.10758988169233993,1182.2575089025245,0
20.615674037003977,8.973855721435463,0.007927322318751706,-0.007927322318751706,98.8,8.965928399116711,123.58087609623368,1850,250,0.06921419611535361,5.954152296655309,198.728,0.10814714624504683,1183.2567776097162,0
20.506984176128874,8.965928399116711,0.0008502044915843499,-0.0008502044915843499,98.8,8.965078194625127,123.0641881911665,1851,250,0.05308491225376249,5.961348952883808,198.74,0.10846123070275923,1184.758490896128,0
0.0,8.965078194625127,0.005900574176228801,-0.005900574176228801,100.0,8.959177620448898,1.6327162460692883,1852,250,0.07795489320666947,5.963614035010747,201.0,0.09739284501195679,1198.6864210371598,0
16.74879052349751,8.959177620448898,0.008240108649401279,-0.008240108649401279,99.2,8.950937511799497,100.66242393808865,1853,250,0.10957401923450594,5.968468908023568,199.496,0.10462865330235743,1190.68567327507,0
16.65899108589714,8.950937511799497,0.009482654135435808,0.009482654135435808,99.2,8.960420165934933,100.24976339055642,1854,250,0.08397312653327561,5.974445882167635,199.504,0.1047749101334223,1191.9258512759716,0
