ITERATIONS,DeltaOmega,OmegaBefore,RewardMean,ReturnsMean,Traj,NormDeltaVar,ConfortViolation,RewardStd,TimestepsMean,NormDeltaOmega,TimestepsStd,Wins,ReturnsStd,Omega
0,0.10000000147605803,8.0,6.405433901610342,140.91954583542756,250,0.3162277409274882,0,1.4042052195363302,22.0,0.10000000147605803,11.903276859755888,0.0,80.26413346349261,8.100000001476058
1,0.09989857957082826,8.100000001476058,6.372985840416422,164.1426233057654,250,0.3009546869093292,0,1.288001038431975,25.756,0.09989857957082826,12.239626791695898,0.0,81.65396926114346,8.199898581046886
2,0.06224558661191004,8.199898581046886,6.342761682966976,205.48010748139816,250,0.29965109101122506,0,1.140599149562501,32.396,0.06224558661191004,16.95237989192078,0.0,111.43450249712603,8.262144167658796
3,0.06978672044884782,8.262144167658796,6.322084880507322,236.6229929076281,250,0.2815724845657723,0,1.0565599277889133,37.428,0.06978672044884782,21.263226848246717,0.0,138.81795226384588,8.331930888107644
4,0.028689720885333614,8.331930888107644,6.257213177285927,226.53614587045973,250,0.2698859903064342,0,1.0639293215926369,36.204,0.028689720885333614,18.098905602273305,0.0,117.28648946965752,8.360620608992978
5,0.05488925320856275,8.360620608992978,6.251475502520469,257.53578480183324,250,0.26560366756858333,0,0.995653315518899,41.196,0.05488925320856275,20.54588971059662,0.0,132.99912778388327,8.41550986220154
6,0.06922039228744836,8.41550986220154,6.227920209671798,288.40252906948166,250,0.24927537868315958,0,0.9353364854433701,46.308,0.06922039228744836,22.261651690743882,0.0,143.33060214204636,8.484730254488989
7,0.07383775629504541,8.484730254488989,6.185159399372102,306.28909345690647,250,0.22842619592848387,0,0.8984317684041861,49.52,0.07383775629504541,21.996399705406336,0.0,140.13527808483877,8.558568010784034
8,0.027548806296834982,8.558568010784034,6.12967428483141,318.71854411409396,250,0.21609850434997244,0,0.8695645262235284,51.996,0.027548806296834982,20.74328768541766,0.0,131.07977857764118,8.58611681708087
9,-0.010224944180329487,8.58611681708087,6.116190268395091,336.53725332817146,250,0.20126225787808552,0,0.8435198632462996,55.024,0.010224944180329487,24.022144450485683,0.0,151.36380524716344,8.57589187290054
10,0.012532952206189663,8.57589187290054,6.122929298814884,346.09245568621253,250,0.19708691016001537,0,0.833298201409543,56.524,0.012532952206189663,23.764372998250973,0.0,149.72663111666913,8.58842482510673
11,0.014276076316400932,8.58842482510673,6.11890002243437,360.3787357212946,250,0.20617740120397535,0,0.8142931489898523,58.896,0.014276076316400932,26.38539717343667,0.4,166.51979284951972,8.60270090142313
12,-0.007299229290936182,8.60270090142313,6.1102129699559,359.3294043371666,250,0.21183880509202108,0,0.8134169068137701,58.808,0.007299229290936182,24.773759020382837,0.4,155.98399976519053,8.595401672132194
13,0.0029567728350894384,8.595401672132194,6.122599071293074,396.03419832752115,250,0.22771727325656443,0,0.7794325428595138,64.684,0.0029567728350894384,23.939259470585135,0.0,150.60995756606908,8.598358444967284
14,-0.0018821754759255072,8.598358444967284,6.136518410674632,437.7792234175282,250,0.24123704456211806,0,0.7408554942176507,71.34,0.0018821754759255072,28.499831578449722,0.8,179.64159445116755,8.596476269491358
15,-0.018187536224937517,8.596476269491358,6.140989505677233,468.0662201227186,250,0.25457576575335766,0,0.7210309985815054,76.22,0.018187536224937517,29.857722619114806,0.0,188.11849040305748,8.57828873326642
16,-0.03364145167280874,8.57828873326642,6.1563161244572235,475.11985322111065,250,0.2620756953179688,0,0.7170660082175435,77.176,0.03364145167280874,30.36236196345732,0.4,191.6749884375052,8.544647281593612
17,-0.00980795037085791,8.544647281593612,6.190224037828972,533.2506595147389,250,0.26861126127846424,0,0.6831946971617511,86.144,0.00980795037085791,32.904517379837074,0.4,208.55690739100973,8.534839331222754
18,-0.032773405102705766,8.534839331222754,6.2153949488657725,633.920561624718,250,0.27334989359917206,0,0.6245296882754622,101.992,0.032773405102705766,38.71981322269001,2.8000000000000003,246.651544247729,8.502065926120048
19,-0.040001247824420716,8.502065926120048,6.245840686041407,698.6597391405919,250,0.2753466910066949,0,0.5943559978758752,111.86,0.040001247824420716,38.72477759781197,4.8,248.16384495273,8.462064678295627
20,-0.03742401107755988,8.462064678295627,6.297125112241411,860.5651178389112,250,0.27114427750468906,0,0.5266877709016848,136.66,0.03742401107755988,40.89616607947498,10.8,264.2248131384741,8.424640667218068
21,-0.03258899255333958,8.424640667218068,6.363647499335315,1018.0563269436637,250,0.2782250700145824,0,0.4360807258944021,159.98,0.03258899255333958,38.755278350180895,30.4,253.8205667006304,8.392051674664728
22,-0.0040242090469213565,8.392051674664728,6.415560061453471,1132.1153906843253,250,0.2746089620183426,0,0.3473625371434061,176.464,0.0040242090469213565,35.07113776312368,53.2,230.76267460860515,8.388027465617807
23,0.03294968598962278,8.388027465617807,6.42007418635864,1204.0720735031903,250,0.2489495999654337,0,0.27424003249210943,187.548,0.03294968598962278,26.651073074080898,71.6,175.80902173101134,8.42097715160743
24,0.05785790092335574,8.42097715160743,6.394796589163818,1214.3462930958522,250,0.2371457273892281,0,0.23809491290867482,189.896,0.05785790092335574,26.46335549396561,79.60000000000001,173.27591596021475,8.478835052530785
25,0.07355959054474681,8.478835052530785,6.343358853751014,1189.8618803512002,250,0.22321148737648497,0,0.2517964411454167,187.576,0.07355959054474681,28.517016393725342,76.4,185.16520124625401,8.552394643075532
26,0.07261373176616637,8.552394643075532,6.284801552296546,1201.3272471183802,250,0.21547531557543867,0,0.2429820326658871,191.148,0.07261373176616637,24.661348219430337,77.60000000000001,158.81392240192883,8.625008374841698
27,0.06507033372487747,8.625008374841698,6.2256574695425515,1204.1168624991642,250,0.2135303344721826,0,0.2036770120555204,193.412,0.06507033372487747,21.57318372424432,85.6,138.03651587999164,8.690078708566576
28,0.04892032838889193,8.690078708566576,6.174562476122614,1204.2125705932408,250,0.20987290941356465,0,0.19525298055571907,195.028,0.04892032838889193,19.088719600853274,86.8,121.58944533581665,8.738999036955468
29,0.05774964224314516,8.738999036955468,6.135518470608827,1209.0161856704106,250,0.20304264095611294,0,0.17073767361307302,197.052,0.05774964224314516,15.139923909980526,90.8,95.89809206214976,8.796748679198613
