NormDeltaOmega,ConfortViolation,ITERATIONS,TimestepsStd,OmegaBefore,RewardMean,TimestepsMean,NormDeltaVar,DeltaOmega,Traj,Omega,RewardStd,Wins,ReturnsMean,ReturnsStd
0.10000000145392374,0,0,10.641687084292602,8.0,6.408895339672409,22.136,0.31622776710021927,-0.10000000145392374,250,7.899999998546076,1.4004990700081328,0.0,141.86730723898845,71.7847729587478
0.09925209913626887,0,1,15.89035481038734,7.899999998546076,6.548773693765879,28.068,0.29291547297026455,-0.09925209913626887,250,7.800747899409807,1.2661213044216846,0.0,183.8109800366207,108.54872935489112
0.0862378070364862,0,2,18.11363950176772,7.800747899409807,6.652689907298977,31.992,0.2955731394074203,-0.0862378070364862,250,7.714510092373321,1.202809401186848,0.0,212.83285551430887,125.02317544805616
0.09109094561416953,0,3,17.799141102873474,7.714510092373321,6.742866423146474,36.524,0.2809778907641124,-0.09109094561416953,250,7.623419146759152,1.1392759844422238,0.0,246.2764532390018,124.03855516121476
0.09400461800613868,0,4,19.213499004606113,7.623419146759152,6.81094989488009,37.884,0.27183283283949883,-0.09400461800613868,250,7.529414528753013,1.1296895794880117,0.0,258.02602581763733,135.56359539923588
0.04589947232329816,0,5,22.204188794009116,7.529414528753013,6.918194021918151,44.5,0.25873546317821805,-0.04589947232329816,250,7.483515056429715,1.0550171570194455,0.4,307.85963397535767,158.6467682884031
0.008655751503229503,0,6,19.677154265797686,7.483515056429715,6.943893466633996,44.44,0.2560250448864783,-0.008655751503229503,250,7.474859304926485,1.0620163893208927,0.0,308.58662565721477,141.00549852812836
0.023079794255478348,0,7,19.170216900181387,7.474859304926485,6.96839690795231,48.472,0.25142857212141356,0.023079794255478348,250,7.497939099181964,1.0197780749463803,0.0,337.7721349222644,137.52075478333734
0.03306918802383052,0,8,21.89828705629735,7.497939099181964,6.968235932605013,52.968,0.2288164297678484,0.03306918802383052,250,7.531008287205794,0.9755558332437704,0.0,369.0935208782223,157.10099375331214
0.03330268630902733,0,9,18.521029776985944,7.531008287205794,6.943532194696929,52.616,0.20965822278036342,0.03330268630902733,250,7.5643109735148215,0.9752989910621515,0.0,365.3408899561736,132.60199886152952
0.05022037785634126,0,10,22.7083547620694,7.5643109735148215,6.933550527429989,57.432,0.20468511483402563,0.05022037785634126,250,7.614531351371163,0.9321829690314195,0.0,398.20767389135915,161.87692512076197
0.04130235381315828,0,11,24.34274068382605,7.614531351371163,6.9044408822986805,60.176,0.19996711401962997,0.04130235381315828,250,7.655833705184321,0.9069833883461195,0.0,415.4816345332054,172.681742465752
0.031766370289834533,0,12,23.87782536161951,7.655833705184321,6.871198359243759,60.884,0.20303626856357712,0.031766370289834533,250,7.687600075474156,0.8975467457891634,0.0,418.346040904197,168.6784793619071
0.012686342301665654,0,13,23.900878310221156,7.687600075474156,6.844546719934096,61.004,0.21332169463458703,0.012686342301665654,250,7.700286417775821,0.8932573156500302,0.0,417.54472810285955,168.14676438043637
0.0002011007760751582,0,14,21.515566829623612,7.700286417775821,6.843741427685561,63.872,0.2243108804160569,-0.0002011007760751582,250,7.700085316999746,0.872865454489858,0.0,437.12345246913213,151.15108359194625
0.006957584728070287,0,15,23.464506302072497,7.700085316999746,6.841034867059191,63.788,0.23294330514893008,-0.006957584728070287,250,7.693127732271676,0.8731740872148284,0.0,436.3759320999717,164.8534625185365
0.012066558005003891,0,16,26.819467854526867,7.693127732271676,6.850440939043126,67.012,0.23397473530199633,0.012066558005003891,250,7.70519429027668,0.8517318834632205,0.4,459.061748207158,188.7927390516831
0.03424235557378186,0,17,29.362595253144775,7.70519429027668,6.855385321117896,74.1,0.24672860891327147,0.03424235557378186,250,7.7394366458504615,0.8122043373006849,0.0,507.9840522948361,205.9423237298117
0.046738455782108446,0,18,27.668870594948395,7.7394366458504615,6.830993514237386,78.44,0.2597233829193438,0.046738455782108446,250,7.78617510163257,0.7856759440877542,0.4,535.8231312567806,193.75399207944628
0.060238001040655575,0,19,32.48264151820169,7.78617510163257,6.803673538427377,84.9,0.2706237821258313,0.060238001040655575,250,7.846413102673226,0.7514069734521986,0.8,577.6318834124842,226.18598698925393
0.07162752942813455,0,20,35.08514922299747,7.846413102673226,6.768934786835438,95.452,0.27608522735605084,0.07162752942813455,250,7.91804063210136,0.7028241202235316,1.6,646.1083632730163,243.08262565266494
0.032588069303177924,0,21,40.86981105902008,7.91804063210136,6.7241835883277785,110.612,0.2724547009456558,0.032588069303177924,250,7.950628701404538,0.6388855441521119,5.2,743.7753950721121,281.75207192566404
0.048598573032099246,0,22,45.973241608570525,7.950628701404538,6.710610459675118,127.416,0.27623300223555086,0.048598573032099246,250,7.999227274436637,0.5744085019711174,12.0,855.0391423299648,315.8967176608293
0.04819716100553162,0,23,38.8482174623238,7.999227274436637,6.710324635863181,159.2,0.29463938134786744,0.04819716100553162,250,8.047424435442169,0.4592685906854319,30.4,1068.2836820294187,268.7892341469759
0.011161082189317995,0,24,32.750975313721575,8.047424435442169,6.699158732504933,176.796,0.28997027498071326,-0.011161082189317995,250,8.036263353252851,0.36474566140271797,52.0,1184.3844672719422,225.4368262134235
0.010853782531571099,0,25,28.07144285568521,8.036263353252851,6.7042904389381235,184.436,0.2718766490339116,0.010853782531571099,250,8.047117135784422,0.30690586182561524,66.4,1236.5125113959919,193.03008452533854
0.023001023612037486,0,26,26.204701868176254,8.047117135784422,6.693060976537952,185.96,0.23924367606103217,-0.023001023612037486,250,8.024116112172385,0.3067504345065893,66.4,1244.6416191969975,180.56244026307678
