DualReg,TimestepsMean,WeightMax,TimestepsStd,Primal,DualAfter,OmegaBefore,Omega,RewardMean,ConfortViolation,WeightMedian,LossReg,WeightMin,NormDeltaVar,ITERATIONS,ReturnsStd,RewardStd,Epsilon,Traj,NormDeltaOmega,WeightMean,Eta,ReturnsMean,Wins,DeltaOmega,DualBefore
0.0,500.0,1.0,0.0,6.677440645045234,6.677440593654007,[[0.8]],[[0.89068209]],2.3134,0,0.028185796614293046,0.0,0.01154882743900476,10.163328353842985,0,36.1170764777051,2.3795336601947867,1.051,20,0.09068209254377224,0.01154882743900476,2.241563745483044,1160.6315789473683,0.0,[[0.09068209]],7.477982654030337
0.0,500.0,1.0,0.0,6.966087142575145,6.966087288399796,[[0.89068209]],[[0.93788713]],2.5154,0,0.022757737680904746,0.0,0.00883916740288127,8.813558084029989,1,54.15336792497516,2.6079039169417264,1.051,20,0.047205038291544765,0.00883916740288127,2.1148075774649384,1266.2105263157894,0.0,[[0.04720504]],7.46422974839843
0.0,500.0,1.0,0.0,7.141212573183904,7.141213348105114,[[0.93788713]],[[0.95887572]],2.6662,0,0.018129545930828227,0.0,0.006652481243117346,6.206949428878438,2,57.9410341200694,2.744262662355774,1.051,20,0.02098859310668022,0.006652481243117346,1.9949068533289542,1331.6842105263158,0.0,[[0.02098859]],7.452683626424273
0.0,500.0,1.0,0.0,7.214676234363749,7.214675749963174,[[0.95887572]],[[0.96392022]],2.72,0,0.017088509805667996,0.0,0.006178460008396734,1.9444726739519993,3,74.6191809166036,2.7917019898262776,1.051,20,0.005044496918206853,0.006178460008396734,1.9659164240697249,1360.6315789473683,0.0,[[0.0050445]],7.491937915367688
0.0,500.0,1.0,0.0,7.336857079933627,7.336856791510231,[[0.96392022]],[[0.97185632]],2.8084,0,0.015321105800357854,0.0,0.0053902963109600105,3.6658469103009566,4,60.478241777782,2.87334116317572,1.051,20,0.007936101489841474,0.0053902963109600105,1.9145516743318347,1404.5263157894738,0.0,[[0.0079361]],7.563093537870999
0.0,500.0,1.0,0.0,7.375055900931698,7.375055568536515,[[0.97185632]],[[0.97402747]],2.853,0,0.014179289082083867,0.0,0.0048929195043908935,1.1787853188157982,5,70.77113830242169,2.8952359143945428,1.051,20,0.0021711514321677283,0.0048929195043908935,1.8797112196238859,1428.842105263158,0.0,[[0.00217115]],7.571993796287773
0.0,500.0,1.0,0.0,7.428618675088038,7.428617515308273,[[0.97402747]],[[0.97686691]],2.8978,0,0.013265747490513635,0.0,0.004502095031488445,1.6955171522005728,6,53.23860470063913,2.929019487814992,1.051,20,0.002839437485241958,0.004502095031488445,1.8507508511401503,1450.421052631579,0.0,[[0.00283944]],7.604719217950095
0.0,500.0,1.0,0.0,7.38978490598281,7.389784641032122,[[0.97686691]],[[0.97421094]],2.8674,0,0.01402677433175032,0.0,0.004827221892246323,1.5915537746625077,7,68.6017048317108,2.900347779146494,1.051,20,0.0026559669614090176,0.004827221892246323,1.8749469784735942,1438.7368421052631,0.0,[[-0.00265597]],7.584547467232833
0.0,500.0,1.0,0.0,7.338367558523165,7.338367464734587,[[0.97421094]],[[0.97186752]],2.8272,0,0.014675256625836257,0.0,0.005107779380722892,1.2768965586121013,8,85.77907589555768,2.870355406565536,1.051,20,0.002343419543852976,0.005107779380722892,1.8950195074405616,1411.0526315789473,0.0,[[-0.00234342]],7.547458484428275
0.0,500.0,1.0,0.0,7.4095710085635105,7.409570757719438,[[0.97186752]],[[0.97449345]],2.8886,0,0.01376180832493951,0.0,0.004713509436167937,1.4383933365479962,9,86.09638353390768,2.906749050055749,1.051,20,0.0026259230079046514,0.004713509436167937,1.86660405746666,1446.2105263157894,0.0,[[0.00262592]],7.5999418054422465
0.0,500.0,1.0,0.0,7.340470376948066,7.3404696971482455,[[0.97449345]],[[0.97281458]],2.8134,0,0.014964280614979161,0.0,0.005233832317750092,0.9352837924697468,10,81.81676710492407,2.8799271588010695,1.051,20,0.0016788714242257363,0.005233832317750092,1.9038148883086854,1399.2631578947369,0.0,[[-0.00167887]],7.555531259033399
0.0,500.0,1.0,0.0,7.348945339547287,7.3489453064930075,[[0.97281458]],[[0.97252178]],2.8218,0,0.01498155054763729,0.0,0.005241383713768284,0.1573415064703454,11,74.81878384144228,2.8804591231260344,1.051,20,0.0002927996939927624,0.005241383713768284,1.9043376009348374,1407.7894736842106,0.0,[[-0.0002928]],7.566272787903145
0.0,500.0,1.0,0.0,7.3727990321510735,7.3727988977737535,[[0.97252178]],[[0.97374228]],2.8486,0,0.014354279309529752,0.0,0.0049685165496379,0.6669737338365849,12,76.04241417434486,2.893350659702346,1.051,20,0.0012205081634143466,0.0049685165496379,1.8851442092211044,1425.157894736842,0.0,[[0.00122051]],7.574531139461775
0.0,500.0,1.0,0.0,7.408958265158847,7.408957737727542,[[0.97374228]],[[0.97577133]],2.8776,0,0.013755617267921997,0.0,0.004710858988294498,1.1786393097017793,13,82.7095173842042,2.9168850234453876,1.051,20,0.002029043879061443,0.004710858988294498,1.8664081026984836,1438.6315789473683,0.0,[[0.00202904]],7.596549160719283
0.0,500.0,1.0,0.0,7.461157494809141,7.46115620279716,[[0.97577133]],[[0.97804298]],2.9272,0,0.012785580780243297,0.0,0.004299327964919365,1.439647002275521,14,63.91875036481428,2.946099142934602,1.051,20,0.002271654493171127,0.004299327964919365,1.8350992458823756,1460.842105263158,0.0,[[0.00227165]],7.628103529515801
0.0,500.0,1.0,0.0,7.415121205714061,7.41512057939584,[[0.97804298]],[[0.97621422]],2.8814,0,0.013662037915261816,0.0,0.0046708331929767545,1.1696107961264346,15,89.2603028341819,2.9218374424324156,1.051,20,0.0018287637556536618,0.0046708331929767545,1.8634404467477577,1440.421052631579,0.0,[[-0.00182876]],7.6003788410550035
0.0,500.0,1.0,0.0,7.4209451659162795,7.420943953152374,[[0.97621422]],[[0.97659149]],2.892,0,0.01333603986494197,0.0,0.004531934311332853,0.23392578149498178,16,76.29538747253655,2.924848030240204,1.051,20,0.00037727287536992726,0.004531934311332853,1.853016359279965,1451.4736842105262,0.0,[[0.00037727]],7.598170208670148
0.0,500.0,1.0,0.0,7.401476820617568,7.4014761162542815,[[0.97659149]],[[0.97534581]],2.8758,0,0.013727741779182305,0.0,0.004698928933356157,0.7589079094130682,17,79.46134445853465,2.911180921894069,1.051,20,0.0012456790799698636,0.004698928933356157,1.8655252249452736,1436.0,0.0,[[-0.00124568]],7.5880642976729735
0.0,500.0,1.0,0.0,7.449245820704592,7.449244456964148,[[0.97534581]],[[0.97679395]],2.9298,0,0.012772016275974761,0.0,0.004293627156564217,0.8859649137097563,18,63.189816494331254,2.9310530462617015,1.051,20,0.0014481410546869355,0.004293627156564217,1.8346525238867568,1461.6842105263158,0.0,[[0.00144814]],7.616580705128116
