WeightMedian,ConfortViolation,Omega,Primal,Wins,Epsilon,WeightMean,TimestepsMean,DualAfter,WeightMax,NormDeltaVar,Traj,ReturnsStd,RewardMean,ReturnsMean,OmegaBefore,RewardStd,DualBefore,Eta,ITERATIONS,NormDeltaOmega,WeightMin,DualReg,LossReg,DeltaOmega,TimestepsStd
0.007313005202380311,0,[[0.96753547]],7.929392665876445,0.0,1.6701,0.002138552187875069,500.0,7.9293896534250825,1.0,28.690136909662417,100,57.03777006115893,2.33648,1168.1616161616162,[[0.8]],2.4127124175085597,8.158077675160632,1.626644111296036,0,0.16753546898833116,0.002138552187875069,0.0,0.0,[[0.16753547]],0.0
1.479554180101247e-06,0,[[0.99997368]],8.11495087573477,0.0,1.6701,5.16016503452424e-08,500.0,8.11495092671769,1.0,102.15087323609504,100,72.5760267949429,2.79148,1394.7474747474748,[[0.96753547]],2.854869420761657,8.15535813116921,0.5959577787635779,1,0.03243821127328572,5.16016503452424e-08,0.0,0.0,[[0.03243821]],0.0
0.0,0,[[0.99999999]],8.000000000000412,0.0,1.6701,0.0,500.0,8.001393720079431,1.0,114.43317646340552,100,76.8502426802961,2.98456,1492.141414141414,[[0.99997368]],2.9940877753332487,8.281020527912709,0.005055336898697414,2,2.6310999534873147e-05,0.0,0.0,0.0,[[2.63109995e-05]],0.0
0.0,0,[[0.99999999]],7.99999999999984,0.0,1.6701,0.0,500.0,8.0013774087238,1.0,0.0,100,73.71777240510306,2.98032,1490.7474747474748,[[0.99999999]],2.988553612970662,8.276859216881261,0.005073513387947577,3,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.999999999999857,0.0,1.6701,0.0,500.0,8.001419919520469,1.0,0.0,100,67.87229406166963,2.99836,1498.909090909091,[[0.99999999]],2.9983724435766814,8.287735957763683,0.005027247648492147,4,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000279,0.0,1.6701,0.0,500.0,8.001403445124899,1.0,0.0,100,79.87658064729924,2.99048,1495.878787878788,[[0.99999999]],2.9951276048943223,8.283507641507967,0.005044917606360868,5,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000485,0.0,1.6701,0.0,500.0,8.001370399793293,1.0,0.0,100,71.725781244495,2.97508,1487.5757575757575,[[0.99999999]],2.9884877435920667,8.27507853436315,0.005081074069030653,6,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000163,0.0,1.6701,0.0,500.0,8.001414932449661,1.0,0.0,100,86.72131262063938,2.99444,1496.141414141414,[[0.99999999]],2.998421098911892,8.286454779167583,0.005032442880575827,7,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000352,0.0,1.6701,0.0,500.0,8.001374854837975,1.0,0.0,100,82.39469167242697,2.978,1489.3939393939395,[[0.99999999]],2.988805112415328,8.276210272250585,0.005076225170505053,8,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000242,0.0,1.6701,0.0,500.0,8.001439574514563,1.0,0.0,100,76.83973757692517,3.00464,1501.7575757575758,[[0.99999999]],3.004419822594705,8.292804388701622,0.005006195522902413,9,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.9999999999995275,0.0,1.6701,0.0,500.0,8.00140502858031,1.0,0.0,100,72.79209232625587,2.99248,1495.7575757575758,[[0.99999999]],2.9945990465503054,8.283912689884476,0.00504331860951545,10,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.999999999999514,0.0,1.6701,0.0,500.0,8.001438324269712,1.0,0.0,100,82.27861962765209,3.00268,1502.080808080808,[[0.99999999]],3.005087821944643,8.29248170211727,0.005007400061265448,11,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000435,0.0,1.6701,0.0,500.0,8.001400973205486,1.0,0.0,100,73.45975134623191,2.99072,1495.3737373737374,[[0.99999999]],2.9936856684695536,8.282873982343876,0.005047713740094948,12,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.99999999999969,0.0,1.6701,0.0,500.0,8.001404403556277,1.0,0.0,100,84.42057078796675,2.99212,1495.5555555555557,[[0.99999999]],2.994517975501232,8.283752576417704,0.005043987321003726,13,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000481,0.0,1.6701,0.0,500.0,8.001479874624534,1.0,0.0,100,80.12405950614148,3.02172,1511.5353535353536,[[0.99999999]],3.0142077303331303,8.303272707274079,0.00496430731866551,14,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],8.000000000000306,0.0,1.6701,0.0,500.0,8.001435191523516,1.0,0.0,100,73.92885060337107,2.9976,1498.141414141414,[[0.99999999]],3.0068711711677967,8.29167376427131,0.005010406018817335,15,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.9999999999997575,0.0,1.6701,0.0,500.0,8.001437188250877,1.0,0.0,100,85.08140229106895,3.00728,1504.3232323232323,[[0.99999999]],3.001377517340996,8.292186797027401,0.005009007162045161,16,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.99999999999972,0.0,1.6701,0.0,500.0,8.001466884333569,1.0,0.0,100,87.78119740871797,3.01312,1506.5656565656566,[[0.99999999]],3.0131159728095436,8.299887202986705,0.0049774496180212,17,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.999999999999929,0.0,1.6701,0.0,500.0,8.001387483398071,1.0,0.0,100,80.8675992932114,2.98404,1492.6868686868686,[[0.99999999]],2.9912247121204385,8.279426854610149,0.005062357986911473,18,0.0,0.0,0.0,0.0,[[0.]],0.0
0.0,0,[[0.99999999]],7.99999999999979,0.0,1.6701,0.0,500.0,8.001424841934085,1.0,0.0,100,81.16239997610114,2.9994,1499.090909090909,[[0.99999999]],3.000239930405567,8.289003215768261,0.005021900578960048,19,0.0,0.0,0.0,0.0,[[0.]],0.0
