RewardMean,TimestepsStd,ReturnsStd,WeightMax,Epsilon,DualAfter,TimestepsMean,Omega,DualReg,Traj,ConfortViolation,NormDeltaOmega,Wins,OmegaBefore,Eta,WeightMin,LossReg,ReturnsMean,Primal,WeightMedian,DeltaOmega,ITERATIONS,DualBefore,NormDeltaVar,WeightMean,RewardStd
8.48581101080373,19.359654620978098,167.76041195376007,1.0,0.001,8.495574967324998,194.38132295719845,5.405575361062784,0.0001,258,0,0.006350743361895894,83.33333333333334,5.41192610442468,2.2773741649773838,0.021575189610713044,0.0,1649.5160881546942,8.496035089133871,0.903445168759556,-0.006350743361895894,309,8.496942293628257,0.04431572777196293,0.021575189610713044,0.26291476300056027
8.491660251621807,23.6015741384812,204.02718340129582,1.0,0.001,8.501378339456576,192.63706563706563,5.397293556119789,0.0001,260,0,0.00828180494299513,83.46153846153847,5.405575361062784,2.2567798273320645,0.02070307465203019,0.0,1635.787245274877,8.501824141768608,0.8988528081403303,-0.00828180494299513,310,8.502687194172358,0.023542249495302484,0.02070307465203019,0.2625946387775984
8.497582537753228,18.014689209009223,156.6722210872282,1.0,0.001,8.506215060953775,195.31372549019608,5.3890842864902995,0.0001,256,0,0.008209269629489313,86.328125,5.397293556119789,2.0735329330818058,0.01461812077948704,0.0,1659.6876184750406,8.506575094762674,0.8876205717671132,-0.008209269629489313,311,8.507261593512506,0.07675485041644475,0.01461812077948704,0.23923555251856357
8.499769209990516,18.976679494158702,165.27668433467275,1.0,0.001,8.508651461096468,194.91796875,5.382638627597492,0.0001,257,0,0.006445658892807238,85.99221789883269,5.3890842864902995,2.147897485888364,0.01689804036943358,0.0,1656.7514016983494,8.509046191653114,0.8914573791849426,-0.006445658892807238,312,8.509851927225359,0.055078933459525165,0.01689804036943358,0.24323924140056014
8.503019662628315,19.482634382583573,169.82635587583715,1.0,0.001,8.51310717727992,193.5503875968992,5.374572285344834,0.0001,259,0,0.008066342252658565,82.23938223938224,5.382638627597492,2.306665413203208,0.02251883313765993,0.0,1645.737697344666,8.513583043350701,0.9058944738299708,-0.008066342252658565,313,8.514474277012528,0.02555572090630593,0.02251883313765993,0.27082646937235716
8.5112023783975,20.920145079224675,181.71139095887082,1.0,0.001,8.520228039804527,193.96498054474708,5.364840619012418,0.0001,258,0,0.0097316663324154,85.27131782945736,5.374572285344834,2.1284658830445036,0.01628419490194529,0.0,1650.8477160968737,8.520612320126306,0.8952573998119593,-0.0097316663324154,314,8.521338301618476,0.04615067248399492,0.01628419490194529,0.24839997720860701
8.519989661766836,14.231473256110384,124.58667060590815,1.0,0.001,8.527491618226172,197.20553359683794,5.354620752061683,0.0001,254,0,0.010219866950735401,89.37007874015748,5.364840619012418,1.898053279723933,0.009870596978589094,0.0,1680.2353572635761,8.527768825464246,0.88538488130555,-0.010219866950735401,315,8.528296951707068,0.7435677780806736,0.009870596978589094,0.2132613150853073
8.529262187094064,10.930232232987414,95.77787611026987,1.0,0.001,8.534899306321353,198.98804780876495,5.343224940893457,0.0001,252,0,0.011395811168226189,94.44444444444444,5.354620752061683,1.6700678935565574,0.0053001364982015,0.0,1697.2255492082952,8.53507075088619,0.881376612955411,-0.011395811168226189,316,8.535431266757957,0.5874554895872688,0.0053001364982015,0.16185574508802322
8.535601041486768,11.312280365816166,99.52462828179031,1.0,0.001,8.542049564341951,198.3095238095238,5.331967742836065,0.0001,253,0,0.011257198057391449,92.09486166007905,5.343224940893457,1.7451605653715603,0.0065133537151958985,0.0,1692.688550187907,8.542258316485475,0.8728978003883037,-0.011257198057391449,317,8.54265675090123,0.052325429430583,0.0065133537151958985,0.18685418825372746
8.54234128549559,14.231741108074944,124.1449661864436,1.0,0.001,8.548870582528517,197.49407114624506,5.319969316685616,0.0001,254,0,0.011998426150449326,91.73228346456693,5.331967742836065,1.7354380059380092,0.006412369037039896,0.0,1687.0478119122024,8.54907435157809,0.8865287034917958,-0.011998426150449326,318,8.549451228031453,0.029612417198508077,0.006412369037039896,0.19029487679047175
8.54514918762097,13.039116755349545,114.73816620296651,1.0,0.001,8.551955574278725,197.70238095238096,5.310214708651482,0.0001,253,0,0.009754608034134193,91.30434782608695,5.319969316685616,1.8065294525842681,0.007639619361588824,0.0,1689.380135529268,8.552189704686267,0.8720947672256014,-0.009754608034134193,319,8.552647993509533,0.16390225064014102,0.007639619361588824,0.1956140529059409
8.549426257659851,16.468734722972034,144.26444052300613,1.0,0.001,8.557133943200519,196.01960784313727,5.299926735883422,0.0001,256,0,0.010287972768059817,88.671875,5.310214708651482,1.9012537178925255,0.009799559993353796,0.0,1675.834608869412,8.557412702694899,0.8858806988793471,-0.010287972768059817,320,8.557919726057937,0.005368481704140011,0.009799559993353796,0.2197376837223399
8.554107235660755,14.516701259056864,127.26048085108336,1.0,0.001,8.561633234027543,197.02371541501975,5.290844253914004,0.0001,254,0,0.009082481969417522,89.37007874015748,5.299926735883422,1.9017497620134416,0.009857774334149121,0.0,1685.3358529340433,8.561912191457994,0.8924551177585072,-0.009082481969417522,321,8.562445905354675,0.13629344497462104,0.009857774334149121,0.21401901446037172
8.55567858235095,18.451262325946658,161.72743398249142,1.0,0.001,8.564433899104138,194.98828125,5.283684030308061,0.0001,257,0,0.007160223605943372,85.99221789883269,5.290844253914004,2.0740165198834406,0.014420589375694822,0.0,1668.27980816418,8.564794166878002,0.8994133352628051,-0.007160223605943372,322,8.565461383777444,0.006109504281883758,0.014420589375694822,0.24314367099677808
8.562578758934784,13.482289338046787,118.74765865960994,1.0,0.001,8.56983802471739,197.17391304347825,5.27530267201553,0.0001,254,0,0.008381358292530727,90.15748031496062,5.283684030308061,1.8706666835266537,0.009034150251899652,0.0,1688.3367528207423,8.570100603497103,0.8855499198626012,-0.008381358292530727,323,8.570614720000243,0.018493945680258948,0.009034150251899652,0.2071712371548732
8.566645201953609,15.661261445050334,138.03177632583115,1.0,0.001,8.574289718259003,196.32677165354332,5.267042598959513,0.0001,255,0,0.00826007305601717,89.01960784313725,5.27530267201553,1.9077631082119109,0.009988952490163938,0.0,1681.9141256658647,8.574571557896054,0.8976434794659446,-0.00826007305601717,324,8.575099378095697,0.027782911140014084,0.009988952490163938,0.21750585934828692
