ITERATIONS,Eta,WeightMax,WeightMedian,NormDeltaOmega,RewardStd,RewardMean,NormDeltaVar,Traj,WeightMean,ReturnsStd,DualBefore,ReturnsMean,ConfortViolation,DeltaOmega,DualReg,TimestepsStd,TimestepsMean,LossReg,Wins,DualAfter,Omega,OmegaBefore,Epsilon,WeightMin,Primal
0,2.0783047360262006,1.0,0.021294826207643516,0.11926921142556102,2.419101023107551,2.3532,14.945209092259379,20,0.008134720301414915,61.71366280885715,7.705908903520283,1176.9473684210527,0,[[0.11926921]],0.0,0.0,500.0,0.0,0.0,7.084071448744469,[[0.91926921]],[[0.8]],1.2,0.008134720301414915,7.084071455018579
1,1.8139698479353425,1.0,0.012152545369707436,0.04838058587197425,2.701592944912316,2.6166,13.797013682046867,20,0.004034911967956419,76.2028201977734,7.597873415234955,1309.157894736842,0,[[0.04838059]],0.0,0.0,500.0,0.0,0.0,7.370480158092065,[[0.9676498]],[[0.91926921]],1.2,0.004034911967956419,7.370481798966482
2,1.616684612137681,1.0,0.007094760822994864,0.017229640870075058,2.8946891439323843,2.8426,11.117339318175759,20,0.0020590751578799275,82.77058371840731,7.722200569008704,1423.3684210526317,0,[[0.01722964]],0.0,0.0,500.0,0.0,0.0,7.63131493800592,[[0.98487944]],[[0.9676498]],1.2,0.0020590751578799275,7.631315813296235
3,1.5909814124914476,1.0,0.006549655384814836,0.0013316298070300547,2.9134267864492496,2.8706,1.3362920823422684,20,0.0018632582906367046,72.02446491093406,7.738940705525347,1440.9473684210527,0,[[0.00133163]],0.0,0.0,500.0,0.0,0.0,7.65892220286101,[[0.98621107]],[[0.98487944]],1.2,0.0018632582906367046,7.658923013162716
4,1.5656119011759704,1.0,0.02165828122831019,0.0015434569068109028,2.9340344851415776,2.8858,1.7181938035137279,20,0.0060371502545716205,81.48184373666174,7.7473772284808025,1445.157894736842,0,[[0.00154346]],0.0,0.0,500.0,0.0,0.0,7.678230590072927,[[0.98775452]],[[0.98621107]],1.2,0.0060371502545716205,7.678231212633812
5,1.53267071597613,1.0,0.0054092386198421015,0.001063313137425137,2.9524799338860883,2.9332,1.3130368374868837,20,0.0014669664283187753,84.548532179032,7.777587097328027,1470.421052631579,0,[[0.00106331]],0.0,0.0,500.0,0.0,0.0,7.718177631737328,[[0.98881784]],[[0.98775452]],1.2,0.0014669664283187753,7.7181780108547535
6,1.5283415656001893,1.0,0.005329850972274159,2.769288609316689e-05,2.950416241820804,2.938,0.03573526202029598,20,0.0014401039194530839,74.89101962147798,7.775780105835463,1469.578947368421,0,[[-2.76928861e-05]],0.0,0.0,500.0,0.0,0.0,7.717897224649871,[[0.98879015]],[[0.98881784]],1.2,0.0014401039194530839,7.717897577569057
7,1.584173053345066,1.0,0.022652954272288202,0.002030095430743173,2.918587165050926,2.8664,2.40715324739768,20,0.006409632520330272,77.13570442737219,7.732779141150983,1427.3684210526317,0,[[-0.0020301]],0.0,0.0,500.0,0.0,0.0,7.656811635335399,[[0.98676005]],[[0.98879015]],1.2,0.006409632520330272,7.656812437950281
8,1.5528817267632384,1.0,0.020988423040462747,0.0009145963992874817,2.931858052498449,2.9094,1.0358114568035575,20,0.005789482501262537,95.38061964507317,7.754239700016708,1456.1052631578948,0,[[0.0009146]],0.0,0.0,500.0,0.0,0.0,7.6888451641598285,[[0.98767465]],[[0.98676005]],1.2,0.005789482501262537,7.688845698684189
9,1.5256677760573425,1.0,0.005281180967387343,0.0015973881265413103,2.95927299180052,2.9344,2.006007052653352,20,0.0014236846804787048,96.02827376809856,7.779052799462677,1468.2105263157894,0,[[0.00159739]],0.0,0.0,500.0,0.0,0.0,7.722306156452482,[[0.98927203]],[[0.98767465]],1.2,0.0014236846804787048,7.722306480601456
10,1.543513881942944,1.0,0.0056112656632541814,0.0008786926136336026,2.944770958835339,2.918,1.1373370411270756,20,0.0015357695000523957,69.41225354235559,7.766174586368139,1455.7894736842106,0,[[-0.00087869]],0.0,0.0,500.0,0.0,0.0,7.703743945653246,[[0.98839334]],[[0.98927203]],1.2,0.0015357695000523957,7.703744398960417
11,1.561285444528197,1.0,0.005952268025020061,0.0006591070136854338,2.9368334988555276,2.903,0.7985745434939773,20,0.0016533054545468553,72.42870216638515,7.76189437085618,1452.6315789473683,0,[[-0.00065911]],0.0,0.0,500.0,0.0,0.0,7.692860478437851,[[0.98773423]],[[0.98839334]],1.2,0.0016533054545468553,7.692861064559632
12,1.5180641273947426,1.0,0.019208503601795213,0.0017210303875301314,2.9608983434086347,2.941,2.1846611806850547,20,0.005144281329377191,55.2516278698779,7.779720338838075,1469.6842105263158,0,[[0.00172103]],0.0,0.0,500.0,0.0,0.0,7.725495647029452,[[0.98945526]],[[0.98773423]],1.2,0.005144281329377191,7.725495922483984
13,1.5214710168136043,1.0,0.0193792581357898,0.00017916864476885674,2.9577365399913496,2.9384,0.24328066494463485,20,0.005205345134499601,75.36033476174096,7.777244900332716,1468.6315789473683,0,[[-0.00017917]],0.0,0.0,500.0,0.0,0.0,7.721977409795191,[[0.9892761]],[[0.98945526]],1.2,0.005205345134499601,7.721977706989384
14,1.4916400485856371,1.0,0.004685773873602637,0.0014969142812798486,2.984817019517277,2.9644,2.1693488103412335,20,0.0012259610097951667,97.84922541403905,7.801906035421709,1485.0526315789473,0,[[0.00149691]],0.0,0.0,500.0,0.0,0.0,7.754890817468205,[[0.99077301]],[[0.9892761]],1.2,0.0012259610097951667,7.754890961791139
15,1.5156729130363018,1.0,0.01908910084347747,0.0014025463430770158,2.958710827370597,2.9468,2.0417186972272106,20,0.005101688795486312,72.32842914131248,7.780565985056743,1476.421052631579,0,[[-0.00140255]],0.0,0.0,500.0,0.0,0.0,7.726873648778618,[[0.98937046]],[[0.99077301]],1.2,0.005101688795486312,7.726873916289595
16,1.5455326077571143,1.0,0.020606332450111845,0.0012187036473955137,2.9396555920719694,2.915,1.5682188759672115,20,0.00564938192708041,84.03402555824364,7.7601379118434775,1465.578947368421,0,[[-0.0012187]],0.0,0.0,500.0,0.0,0.0,7.697308967739989,[[0.98815176]],[[0.98937046]],1.2,0.00564938192708041,7.697309436802272
17,1.4865030648594115,1.0,0.017662374783100464,0.002344109996030408,2.977143758705649,2.9752,3.1831758924357914,20,0.0045997277567352505,51.04579444179418,7.799364564279705,1494.1052631578948,0,[[0.00234411]],0.0,0.0,500.0,0.0,0.0,7.753661610702248,[[0.99049587]],[[0.98815176]],1.2,0.0045997277567352505,7.753661740556355
18,1.5194895784400417,1.0,0.019279856995399126,0.0009354948779000116,2.962575933204076,2.9372,1.354673329795986,20,0.005169776218070866,83.46565302839885,7.779293254424186,1476.1052631578948,0,[[-0.00093549]],0.0,0.0,500.0,0.0,0.0,7.724766781171067,[[0.98956038]],[[0.99049587]],1.2,0.005169776218070866,7.724767060741654
19,1.5653804134926996,1.0,0.006032590076766757,0.001961661768205447,2.9324817885197514,2.8916,2.4882273183430854,20,0.0016812402131107579,61.968448767572674,7.750974528770383,1451.2631578947369,0,[[-0.00196166]],0.0,0.0,500.0,0.0,0.0,7.681347889534074,[[0.98759871]],[[0.98956038]],1.2,0.0016812402131107579,7.681348517611069
