Omega,WeightMedian,Wins,NormDeltaOmega,WeightMin,DualReg,WeightMax,DualBefore,NormDeltaVar,Epsilon,RewardStd,ITERATIONS,RewardMean,DualAfter,WeightMean,TimestepsStd,ReturnsStd,LossReg,Primal,DeltaOmega,ConfortViolation,ReturnsMean,OmegaBefore,TimestepsMean,Traj,Eta
[[0.97100173]],0.006480274215535711,0.0,0.17100172575500883,0.0018386189398073292,0.0,1.0,8.199367463299168,30.354250929164603,1.7101,2.41877928583821,0,2.33892,7.998702443939897,0.0018386189398073292,0.0,59.90238633121953,0.0,7.998701944145243,[[0.17100173]],0,1168.6868686868686,[[0.8]],500.0,100,1.5876189686187938
[[0.999998]],3.1336732903996706e-08,0.0,0.02899626994716653,4.169338393429861e-10,0.0,1.0,8.220603664907946,137.2731834322878,1.7101,2.8868069111736583,1,2.83524,8.126472902435534,4.169338393429861e-10,0.0,63.48440410313521,0.0,8.126472031151222,[[0.02899627]],0,1417.2525252525252,[[0.97100173]],500.0,100,0.4630038280802285
[[0.99999999]],0.0,0.0,1.993651125631324e-06,0.0,0.0,1.0,8.320946862764107,74.82573101472732,1.7101,2.9930255183676597,2,2.98592,8.001546898305099,0.0,0.0,82.88831034985459,0.0,7.999999999999798,[[1.99365113e-06]],0,1491.5151515151515,[[0.999998]],500.0,100,0.004901263266351323
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.339888046625457,0.0,1.7101,3.0129823394105717,3,3.01332,8.0016175000377,0.0,0.0,82.78552727482503,0.0,7.999999999999722,[[0.]],0,1505.6363636363637,[[0.99999999]],500.0,100,0.0048325992757564966
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.320871128585926,0.0,1.7101,2.992281029582616,4,2.9868,8.001546611128786,0.0,0.0,83.20919066596288,0.0,7.999999999999881,[[0.]],0,1494.2626262626263,[[0.99999999]],500.0,100,0.004901606073830822
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.322944931514046,0.0,1.7101,2.995148353988496,5,2.98876,8.00155440500358,0.0,0.0,78.98271687103559,0.0,7.999999999999582,[[0.]],0,1494.5252525252524,[[0.99999999]],500.0,100,0.004893812619182021
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.338985960502427,0.0,1.7101,3.0055709756384057,6,3.02152,8.001614127750253,0.0,0.0,70.51546332762308,0.0,7.999999999999862,[[0.]],0,1510.6464646464647,[[0.99999999]],500.0,100,0.004836251323212732
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.31329831412419,0.0,1.7101,2.987858821564366,7,2.97068,8.001518040400462,0.0,0.0,74.3597808115832,0.0,8.00000000000016,[[0.]],0,1485.4343434343434,[[0.99999999]],500.0,100,0.004929981038229568
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.322083833831412,0.0,1.7101,2.991496187528909,8,2.9916,8.001551161350195,0.0,0.0,72.35521554532576,0.0,7.999999999999548,[[0.]],0,1495.5555555555557,[[0.99999999]],500.0,100,0.00489725869973049
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.327198521230885,0.0,1.7101,2.994821530575737,9,3.002,8.001570317695863,0.0,0.0,78.27558389418839,0.0,7.999999999999621,[[0.]],0,1501.2727272727273,[[0.99999999]],500.0,100,0.004878523642585768
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.332640764036244,0.0,1.7101,3.0051140187353957,10,3.00312,8.001590632264147,0.0,0.0,78.24531652570872,0.0,8.00000000000044,[[0.]],0,1501.3535353535353,[[0.99999999]],500.0,100,0.00485838813463628
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.319753608583909,0.0,1.7101,2.990592395897508,11,2.98596,8.001542404590833,0.0,0.0,76.40446239113417,0.0,8.000000000000291,[[0.]],0,1492.5454545454545,[[0.99999999]],500.0,100,0.004905842695870358
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.327493021694217,0.0,1.7101,2.9988248962551984,12,2.99696,8.001571434843466,0.0,0.0,73.75026869398828,0.0,7.999999999999832,[[0.]],0,1499.7777777777778,[[0.99999999]],500.0,100,0.004877137154802022
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.308541635316288,0.0,1.7101,2.981113733087015,13,2.96652,8.00149997907347,0.0,0.0,77.04237932078031,0.0,7.999999999999831,[[0.]],0,1482.6868686868686,[[0.99999999]],500.0,100,0.004948580219260841
[[0.99999999]],0.0,0.0,0.0,0.0,0.0,1.0,8.332093034206272,0.0,1.7101,3.003595538949943,14,3.00372,8.001588589697388,0.0,0.0,73.75936575325757,0.0,7.999999999999806,[[0.]],0,1501.979797979798,[[0.99999999]],500.0,100,0.004860435392428005
