Epsilon,DualBefore,TimestepsStd,NormDeltaOmega,TimestepsMean,Traj,OmegaBefore,DualAfter,Primal,DeltaOmega,ITERATIONS,RewardMean,Eta,RewardStd,DualReg,ReturnsStd,NormDeltaVar,LossReg,ConfortViolation,WeightMin,ReturnsMean,WeightMax,Wins,WeightMean,Omega,WeightMedian
1.8901,8.398603242254481,0.0,0.18268080390438435,500.0,100,[[0.8]],8.294572739053464,8.29457399632938,[[0.1826808]],0,2.35264,1.4227130524643132,2.434379804056878,0.0,60.72552535507648,37.88820718245445,0.0,0,0.0008859728534976806,1176.8080808080808,1.0,0.0,0.0008859728534976806,[[0.9826808]],0.0036135688358932922
1.8901,8.456465045047619,0.0,0.01731647363376232,500.0,100,[[0.9826808]],8.182085172102996,8.182084841547713,[[0.01731647]],1,2.92132,0.33450526986329215,2.944834368449268,0.0,85.23785119534845,125.36432010750269,0.0,0,1.0394700004441886e-13,1460.7272727272727,1.0,0.0,1.0394700004441886e-13,[[0.99999728]],4.106289531814547e-11
1.8901,8.495316204419629,0.0,2.715229402205921e-06,500.0,100,[[0.99999728]],8.002146917312684,7.999999999999629,[[2.7152294e-06]],2,2.97456,0.004381910209131116,2.9893130994260204,0.0,79.02909461801552,84.72452228211912,0.0,0,0.0,1488.2424242424242,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.510028082021604,0.0,0.0,500.0,100,[[0.99999999]],8.00219341550846,8.000000000000437,[[0.]],3,2.9994,0.004345417636614875,3.002319043672741,0.0,76.24414787172348,0.0,0.0,0,0.0,1499.959595959596,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.507651683407161,0.0,0.0,500.0,100,[[0.99999999]],8.002185912840512,7.999999999999735,[[0.]],4,2.99712,0.004351247750729157,2.9990384635079286,0.0,80.6926296482083,0.0,0.0,0,0.0,1498.949494949495,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.496051167037106,0.0,0.0,500.0,100,[[0.99999999]],8.00214921067572,8.000000000000416,[[0.]],5,2.97816,0.004380066923151702,2.988377990549388,0.0,83.21453178485986,0.0,0.0,0,0.0,1489.3737373737374,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.50309796781253,0.0,0.0,500.0,100,[[0.99999999]],8.002171593578671,8.00000000000024,[[0.]],6,2.98744,0.004362490597551137,2.996344814336294,0.0,83.36478133274545,0.0,0.0,0,0.0,1494.1010101010102,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.50453386913599,0.0,0.0,500.0,100,[[0.99999999]],8.002176134535627,7.999999999999493,[[0.]],7,2.98948,0.004358936410024485,2.9978741350497025,0.0,83.62446116448527,0.0,0.0,0,0.0,1494.0,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.522651958103577,0.0,0.0,500.0,100,[[0.99999999]],8.002232801806025,7.99999999999954,[[0.]],8,3.02208,0.004314827741562567,3.0126918982199293,0.0,80.68877556509116,0.0,0.0,0,0.0,1512.2626262626263,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.508367227270089,0.0,0.0,500.0,100,[[0.99999999]],8.002188164443508,7.999999999999911,[[0.]],9,2.99828,0.004349489236681081,2.9997061592095986,0.0,85.05795691820053,0.0,0.0,0,0.0,1499.4949494949494,1.0,0.0,0.0,[[0.99999999]],0.0
1.8901,8.511788318811083,0.0,0.0,500.0,100,[[0.99999999]],8.002198866764498,7.999999999999483,[[0.]],10,3.00604,0.00434110857434169,3.001406923161203,0.0,83.13392241569476,0.0,0.0,0,0.0,1504.3232323232323,1.0,0.0,0.0,[[0.99999999]],0.0
