RewardStd,TimestepsStd,Eta,Traj,WeightMax,WeightMin,Epsilon,Wins,RewardMean,DualBefore,ReturnsStd,NormDeltaOmega,DeltaOmega,DualAfter,OmegaBefore,LossReg,ITERATIONS,Omega,WeightMean,ConfortViolation,TimestepsMean,Primal,NormDeltaVar,DualReg,ReturnsMean,WeightMedian
2.4104545546431693,0.0,8.735563819097129,20,1.0,0.31830482032092966,0.051,0.0,2.3378,6.479965356594384,42.42275039047469,0.38342605750820336,[[-0.38342606]],3.1711689121913373,[[0.8]],0.0,0,[[0.41657394]],0.31830482032092966,0,500.0,3.1711689127026346,24.616401480136496,0.0,1170.3157894736842,0.40019768530977623
3.222218856626595,0.0,11.422081246657322,20,1.0,0.4166548128574419,0.051,0.0,2.8242,8.098975677849577,72.22494869016107,0.06562882743772291,[[-0.06562883]],3.925666568952498,[[0.41657394]],0.0,1,[[0.35094512]],0.4166548128574419,0,500.0,3.9256664311580964,3.971909931738412,0.0,1410.6315789473683,0.49638782650075214
3.6567001517761883,0.0,12.504397672785078,20,1.0,0.44945540153937846,0.051,0.0,3.312,8.482494205603102,89.43181682989476,0.06563347366278166,[[-0.06563347]],4.53846678776239,[[0.35094512]],0.0,2,[[0.28531164]],0.44945540153937846,0,500.0,4.538466788612764,4.333958377449635,0.0,1659.0526315789473,0.5274111212548109
4.064990115609139,0.0,13.353733951463404,20,1.0,0.47290809186257166,0.051,0.0,3.9744,8.82736270428854,112.54763226779083,0.06805307746311678,[[-0.06805308]],5.309776354363792,[[0.28531164]],0.0,3,[[0.21725856]],0.47290809186257166,0,500.0,5.309776354836242,5.1921387442246925,0.0,1980.6315789473683,0.5493149213714676
4.359026515175149,0.0,13.717092103792778,20,1.0,0.4823827051233314,0.051,0.0,4.8028,9.131123982308505,115.23320927916406,0.0602841777673305,[[-0.06028418]],6.204080638291431,[[0.21725856]],0.0,4,[[0.15697439]],0.4823827051233314,0,500.0,6.204080527066754,5.702863698112317,0.0,2405.7894736842104,0.5581017482123447
4.455674023085621,0.0,13.364285675728635,20,1.0,0.47318778390140814,0.051,0.0,5.763,9.38736081597808,121.94472204838168,0.04959026928847758,[[-0.04959027]],7.1622041100620715,[[0.15697439]],0.0,5,[[0.10738412]],0.47318778390140814,0,500.0,7.162201615501615,6.240419537180109,0.0,2888.1052631578946,1.0
4.308841881526868,0.0,12.1911040038333,20,1.0,0.44031264136906423,0.051,0.0,6.7858,9.599032511210648,106.22017586961928,0.04052603587625908,[[-0.04052604]],8.102418529539076,[[0.10738412]],0.0,6,[[0.06685808]],0.44031264136906423,0,500.0,8.102418379028729,7.403443688715747,0.0,3398.1052631578946,1.0
3.8334603480406573,0.0,9.909584192908707,20,1.0,0.36453814719354605,0.051,0.0,7.8776,9.779186036529696,132.56113417449632,0.03348298686794059,[[-0.03348299]],9.003349461963538,[[0.06685808]],0.0,7,[[0.03337509]],0.36453814719354605,0,500.0,9.003349462815745,10.428792394248568,0.0,3938.4210526315787,1.0
2.934621774607419,0.0,6.200577344153434,20,1.0,0.19933807104398446,0.051,0.0,8.9252,9.923171439009597,57.759842849365334,0.024120206352755788,[[-0.02412021]],9.723002155066924,[[0.03337509]],0.0,8,[[0.00925489]],0.19933807104398446,0,500.0,9.723002724594366,18.675784143123096,0.0,4462.105263157895,1.0
1.63346227382208,0.0,0.02343731256442674,20,1.0,5.006556945714975e-186,0.051,0.0,9.699,10.017153170051971,52.93972948975801,0.009254875885781872,[[-0.00925488]],10.000401549847002,[[0.00925489]],0.0,9,[[1.18896299e-08]],5.006556945714975e-186,0,500.0,10.000000000000002,193.91848230470603,0.0,4848.736842105263,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,10,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,11,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,12,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,13,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,14,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
0.44676615807377346,0.0,0.01303290506841093,20,1.0,0.0,0.051,0.0,9.98,10.048998088311146,0.0,0.0,[[0.]],10.000638586247735,[[1.18896299e-08]],0.0,15,[[1.18896299e-08]],0.0,0,500.0,9.999999999999508,0.0,0.0,4990.0,1.0
