RewardStd,DualReg,Primal,ITERATIONS,Eta,DeltaOmega,WeightMedian,WeightMean,LossReg,TimestepsStd,Traj,DualAfter,Omega,WeightMax,TimestepsMean,NormDeltaOmega,ReturnsMean,ConfortViolation,Epsilon,ReturnsStd,OmegaBefore,Wins,DualBefore,RewardMean,WeightMin,NormDeltaVar
2.4135758116123056,0.0,7.382566622367797,0,1.915149016153791,[[0.13944134]],0.015341086762390252,0.0053990849110798714,0.0,0.0,100,7.382566611683682,[[0.93944134]],1.0,500.0,0.1394413368479328,1166.8080808080808,0,1.3601,52.079906896780344,[[0.8]],0.0,7.85069455564774,2.33504,0.0053990849110798714,19.36254972634646
2.7688565796010454,0.0,7.724428271629501,1,1.500556220588391,[[0.04628077]],0.004837504002643672,0.0012757825913787511,0.0,0.0,100,7.724422731379849,[[0.9857221]],1.0,500.0,0.04628076543662796,1347.6565656565656,0,1.3601,74.36412755484437,[[0.93944134]],0.0,7.7959544661696425,2.69696,0.0012757825913787511,21.32841288745793
2.9453057528209183,0.0,7.92412901735602,2,1.1584766902970904,[[0.01111693]],0.0010021373890770776,0.0001783031772462017,0.0,0.0,100,7.924125994750528,[[0.99683903]],1.0,500.0,0.01111693057457197,1460.3434343434344,0,1.3601,84.6048642984123,[[0.9857221]],0.0,7.927786629689793,2.92168,0.0001783031772462017,21.700707476239415
2.991973901223071,0.0,7.9698049248160165,3,0.9874205051838786,[[0.00199302]],0.002296340461367292,0.0003029574970872327,0.0,0.0,100,7.969809808743824,[[0.99883206]],1.0,500.0,0.001993022424111701,1492.7676767676767,0,1.3601,81.88225449798813,[[0.99683903]],0.0,7.969825295921034,2.98412,0.0003029574970872327,14.25185475033247
3.005734206213184,0.0,7.984696944665947,4,0.8925942453606488,[[0.00056786]],0.0012041525294863127,0.00012810773017948775,0.0,0.0,100,7.98469706049072,[[0.99939991]],1.0,500.0,0.0005678556500047227,1504.4646464646464,0,1.3601,86.17849847039797,[[0.99883206]],0.0,7.985577923088298,3.01104,0.00012810773017948775,9.52130142917099
3.0258854132964124,0.0,7.999999999999639,5,0.10622542449872692,[[0.00060008]],2.9475504999521344e-25,1.961620565814474e-33,0.0,0.0,100,8.000068227828908,[[0.99999999]],1.0,500.0,0.0006000828511476541,1522.3030303030303,0,1.3601,83.19691313055807,[[0.99939991]],0.0,8.005722217313043,3.04216,1.961620565814474e-33,163.9767264660913
2.9759624941185,0.0,7.952851444247342,6,1.0594630607121294,[[-0.00181931]],0.0034712307811158635,0.0005255870438729621,0.0,0.0,100,7.95285215511262,[[0.99818068]],1.0,500.0,0.001819313346971052,1479.4141414141413,0,1.3601,69.33231498392728,[[0.99999999]],0.0,7.953259597259198,2.95844,0.0005255870438729621,179.83901878039558
2.976656915668986,0.0,7.953798110648456,7,1.055958137953976,[[3.62771872e-05]],0.0034065901980269496,0.000512577875387485,0.0,0.0,100,7.953798537374738,[[0.99821696]],1.0,500.0,3.6277187195787874e-05,1479.2121212121212,0,1.3601,80.83594469099944,[[0.99818068]],0.0,7.954156635933804,2.96008,0.000512577875387485,0.28825431681212876
2.995164431145643,0.0,7.9747279957420965,8,0.9606821380701956,[[0.00079628]],0.0019390402393640509,0.0002417959908403527,0.0,0.0,100,7.9747309069047425,[[0.99901323]],1.0,500.0,0.0007962764859228422,1497.171717171717,0,1.3601,83.82184575839553,[[0.99821696]],0.0,7.974872318854591,2.99452,0.0002417959908403527,8.46344210726626
2.998048531962083,0.0,7.976244023799778,9,0.9520167032277905,[[6.42703265e-05]],0.0018318838231629086,0.00022414578167925128,0.0,0.0,100,7.976251243157178,[[0.9990775]],1.0,500.0,6.427032647216002e-05,1497.8181818181818,0,1.3601,84.13365552888934,[[0.99901323]],0.0,7.976457173298217,2.995,0.00022414578167925128,0.9630654691606821
