NormDeltaOmega,ITERATIONS,ReturnsMean,ReturnsStd,RewardMean,Eta,ConfortViolation,DualAfter,DeltaOmega,DualReg,TimestepsStd,WeightMin,RewardStd,WeightMax,WeightMean,Primal,WeightMedian,LossReg,NormDeltaVar,Wins,Epsilon,Traj,TimestepsMean,Omega,DualBefore,OmegaBefore
0.0003562283217206641,0,148.09642061448343,82.64950557727207,6.419316316217667,28.613786636339427,0,6.478656155457785,0.0003562283217206641,0.0,12.265987053344526,0.7800446584779457,1.3730601522397476,1.0,0.7800446584779457,6.478656243999535,0.9867829017338123,0.0,0.00828450795933125,0.0,0.001,4338,23.0703737886479,8.00035622832172,6.676062273484475,8.0
2.0108784440253658e-05,1,147.69900205636583,80.44054805391188,6.418379339086818,28.645107048333877,0,6.477781225869626,2.0108784440253658e-05,0.0,11.93728674881105,0.7807437043473527,1.3744353759855978,1.0,0.7807437043473527,6.477781314742113,0.9874025941977868,0.0,0.011519324331787434,0.0,0.001,4347,23.01220354593599,8.000376337106161,6.6756644013991355,8.00035622832172
0.0003974387396077361,2,148.12711614899214,80.11145202316501,6.419736635814839,28.60843645699337,0,6.479065742639124,-0.0003974387396077361,0.0,11.893564741863996,0.7796133139300746,1.3728195560849739,1.0,0.7796133139300746,6.47906583497713,0.9863013183202195,0.0,0.0751111234079821,0.0,0.001,4336,23.07409972299169,7.999978898366553,6.67643846383971,8.000376337106161
7.140235600289202e-05,3,151.56473846017087,85.73776638467186,6.4260081699740965,28.284560656570438,0,6.484694345099661,-7.140235600289202e-05,0.0,12.730180986937393,0.7772135334260661,1.3585407530754354,1.0,0.7772135334260661,6.484694439361613,0.9859164660071719,0.0,0.05058293706431931,0.0,0.001,4242,23.586597451628126,7.99990749601055,6.67727602172499,7.999978898366553
0.0001936074108916941,4,151.3579195478393,84.95278914571827,6.424369809752288,28.3047043057533,0,6.483095224624529,-0.0001936074108916941,0.0,12.612523160919766,0.7771445946973778,1.359396188667878,1.0,0.7771445946973778,6.483095325677588,0.9856360718992959,0.0,0.010704839755489312,0.0,0.001,4246,23.55987741631306,7.999713888599659,6.676079000351801,7.99990749601055
0.00022800599069938698,5,151.80215992507127,84.43828633317939,6.425423235254487,28.265518645589104,0,6.484070856418932,-0.00022800599069938698,0.0,12.544341247946058,0.7780439339744168,1.3576684312626905,1.0,0.7780439339744168,6.4840709595217785,0.9871165136400322,0.0,0.009715331596731889,0.0,0.001,4236,23.62523629489603,7.999485882608959,6.676495993945371,7.999713888599659
0.0004085086566476548,6,155.32448018519665,88.31046497253827,6.432768873641645,27.95350319049897,0,6.49079762963083,-0.0004085086566476548,0.0,13.109212400103011,0.7744313695704219,1.3439351241995494,1.0,0.7744313695704219,6.490797734339432,0.9851774180790629,0.0,0.0036864868094853365,0.0,0.001,4143,24.145687364097608,7.9990773739523116,6.6786171846341915,7.999485882608959
0.00014870201941619143,7,152.83598293871518,87.58107634088464,6.428440462794425,28.1699976992003,0,6.486899098987228,-0.00014870201941619143,0.0,12.99833505624357,0.7768777549452748,1.353484879994214,1.0,0.7768777549452748,6.486899198284848,0.9864431020933978,0.0,0.0026807055518834745,0.0,0.001,4208,23.775451950523312,7.998928671932895,6.677844219858635,7.9990773739523116
0.00015107767836575192,8,151.09119286264172,83.5479385772134,6.4252252102157605,28.32890990526355,0,6.4839991149281415,-0.00015107767836575192,0.0,12.401246730494005,0.7779948895500963,1.3604827019589156,1.0,0.7779948895500963,6.483999215282984,0.986547316722079,0.0,0.003994796733421807,0.0,0.001,4254,23.516,7.99877759425453,6.677313962153779,7.998928671932895
0.00015867969647409552,9,152.5417036495635,85.00888495929603,6.426609799143446,28.189027315226493,0,6.485105185008062,-0.00015867969647409552,0.0,12.632400089571897,0.7763191907939547,1.354279116525014,1.0,0.7763191907939547,6.485105295328839,0.9855410894455948,0.0,0.010260746628328984,0.0,0.001,4212,23.736692015209126,7.9986189145580555,6.676486636451033,7.99877759425453
0.0001312637714612208,10,156.32663533663447,91.32372781874334,6.435875297127516,27.862278550891695,0,6.493723650668903,-0.0001312637714612208,0.0,13.546835217338765,0.7734624156251195,1.3399432555000688,1.0,0.7734624156251195,6.493723752489243,0.9847606524082784,0.0,0.004547556743855674,0.0,0.001,4118,24.290471560525038,7.998487650786594,6.680143494119373,7.9986189145580555
0.00018223745470180575,11,154.48634911057536,87.82322543156424,6.431131205133284,28.0263840566167,0,6.4893045992144085,0.00018223745470180575,0.0,13.036120059059153,0.77439862963423,1.3471465967576157,1.0,0.77439862963423,6.489304702454592,0.9845040722047227,0.0,0.37692698631524846,0.0,0.001,4166,24.02162421912542,7.998669888241296,6.678181525706398,7.998487650786594
0.00040666950157230985,12,154.42140768477714,83.45979722864729,6.431397849009953,28.02466343208367,0,6.489567853299324,-0.00040666950157230985,0.0,12.392337594405397,0.7757207073594908,1.347071924735623,1.0,0.7757207073594908,6.489567957384369,0.9862125455891447,0.0,0.0009818752780028346,0.0,0.001,4166,24.011292647765497,7.998263218739724,6.67842699762505,7.998669888241296
0.0006091326958719279,13,155.96196288860776,89.34158532053198,6.434252399871616,27.893727150362952,0,6.4921624167887435,-0.0006091326958719279,0.0,13.257272013239508,0.7754761111436959,1.341296455362979,1.0,0.7754761111436959,6.492162526620387,0.9870187257188688,0.0,0.052105797104740115,0.0,0.001,4126,24.239689471130518,7.997654086043852,6.679156779693433,7.998263218739724
