Wins,TimestepsMean,Traj,LossReg,WeightMin,ReturnsMean,DualReg,Eta,TimestepsStd,WeightMedian,DualAfter,Omega,WeightMean,RewardStd,ReturnsStd,Primal,DeltaOmega,ConfortViolation,Epsilon,ITERATIONS,NormDeltaOmega,OmegaBefore,DualBefore,NormDeltaVar,WeightMax,RewardMean
0.0,13.589562381081816,3680,0.0,0.6327977680165937,-180.01080277595514,0.0001,33.79192837436785,8.261067747925015,0.655555765224364,-12.8645878242348,21.99027696506702,0.6327977680165937,3.7408866428909815,118.0391487895906,-12.750398642975037,-0.009723034932978436,0,0.001,0,0.009723034932978436,22.0,-2.6080822301870827,0.2252707032057421,1.0,-13.24625653047745
0.0,8.982393100970176,5567,0.0,0.6720815959026805,-104.52865992964685,0.0001,35.53519491416761,3.674705825510597,0.6926254117440627,-11.211911437758529,21.423926817943297,0.6720815959026805,4.125239403567069,47.93300048471149,-11.085636446020557,-0.026338528319119092,0,0.001,28,0.026338528319119092,21.450265346262416,-2.193989809520813,0.009318645143968648,1.0,-11.636986346111543
0.0,8.004322766570604,6247,0.0,0.6858181246342101,-77.49165936568072,0.0001,32.48694343037175,2.8313940157764805,0.7124652678184524,-9.318394199499423,20.443674385691317,0.6858181246342101,3.664511592272712,31.16135407530348,-9.212853105718835,-0.037936523408607314,0,0.001,58,0.037936523408607314,20.481610909099924,-2.078688865140827,0.4797836659408761,1.0,-9.681246220229365
0.0,7.787817417043153,6420,0.0,0.7037798226983563,-58.105443070478664,0.0001,27.247656086848288,2.5813756270754786,0.7317159867050504,-7.196414528531175,19.172751625275417,0.7037798226983563,2.8711121859635345,21.92989965101917,-7.122171454223322,-0.0465431260685385,0,0.001,88,0.0465431260685385,19.219294751343956,-2.0501928117300614,0.43478592777527847,1.0,-7.461229965826642
0.0,7.905913978494624,6325,0.0,0.7202690591789942,-39.84015278630227,0.0001,20.442222528090728,2.373125240190671,0.7558547755821359,-4.879702202786182,17.65161446478335,0.7202690591789942,1.9277413984442886,13.509232558408359,-4.837914475877921,-0.05392355875560284,0,0.001,118,0.05392355875560284,17.705538023538953,-2.0446080308584964,0.020474159250763544,1.0,-5.039301510304592
0.0,8.273208671189806,6044,0.0,0.7351701914782317,-21.216983148809852,0.0001,12.307745738458362,2.5333758366811923,0.7917750587026025,-2.49674354212665,15.956118954976182,0.7351701914782317,0.9686361340845715,7.21151709410219,-2.481597459977076,-0.05987183531240525,0,0.001,148,0.05987183531240525,16.015990790288587,-1.774669784232496,0.010792392024164802,1.0,-2.564532343609261
0.0,8.711970726607422,5740,0.0,0.6344180743247891,-1.3632941695211376,0.0001,3.127254917231346,2.638228997073046,0.8371514187111613,-0.14727760062874665,14.139342614098513,0.6344180743247891,0.17986380621299902,0.5077230302469917,-0.14633033158412273,-0.06304317777242296,0,0.001,178,0.06304317777242296,14.202385791870936,-0.13966639171715642,0.7331453930295766,1.0,-0.15651048872046994
0.0,9.92811755361398,5037,0.0,0.7274848551363662,19.826662540711524,0.0001,8.705246610503636,3.125708134363289,0.9380967742822349,2.038753237439856,12.343686277074815,0.7274848551363662,0.6868594257169018,7.202016610505041,2.0463277784469307,-0.05885005561127521,0,0.001,208,0.05885005561127521,12.40253633268609,2.1412550072440246,0.01314697219802615,1.0,1.9970205227435354
0.0,11.116522125861685,4498,0.0,0.6968158235300175,41.974164222548175,0.0001,12.947140983902877,3.817581089356916,0.9600240439338517,3.856281250980774,10.684146614277935,0.6968158235300175,1.1962841923454315,16.11735209405514,3.873042298459655,-0.052531549392911714,0,0.001,238,0.052531549392911714,10.736678163670847,4.069159282629434,0.014126763330833918,1.0,3.775816691212734
0.0,12.348567193675889,4049,0.0,0.6760405504978182,64.46744837467159,0.0001,15.509238122921332,4.416696327017486,0.9754622060410832,5.330876193668876,9.153777249009721,0.6760405504978182,1.5557265092161,25.409207730499237,5.3549286214461045,-0.04853094241339484,0,0.001,268,0.04853094241339484,9.202308191423116,5.607727231949081,0.2561123316559699,1.0,5.220721261179967
