Omega,WeightMin,Eta,WeightMean,NormDeltaVar,DualAfter,RewardMean,LossReg,Primal,WeightMedian,DualBefore,ITERATIONS,TimestepsMean,TimestepsStd,DualReg,Epsilon,Wins,Traj,WeightMax,ReturnsMean,DeltaOmega,NormDeltaOmega,OmegaBefore,RewardStd,ConfortViolation,ReturnsStd
28.063657950609297,0.5929292768874175,58.53080423266253,0.5929292768874175,0.3970222541996817,-25.772451313904224,-26.826074572103582,0.0,-25.429864788625117,0.6065791022287493,-2.470694039801819,0,11.8424543946932,7.26677543022989,0.0001,0.001,0.0,4222,1.0,-317.68129586749455,0.06365795060929713,0.06365795060929713,28.0,8.151171084751894,0,212.78694852271138
28.127755104494963,0.5944878127842894,59.408812867669745,0.5944878127842894,0.37665457669563623,-25.803329637775736,-26.88877945126497,0.0,-25.450388550809592,0.609256501434036,-2.430555454291951,1,11.375512061902594,6.769909949417887,0.0001,0.001,0.0,4395,1.0,-305.8648928723719,0.06409715388566539,0.06409715388566539,28.063657950609297,8.351387396968464,0,199.44197866342515
28.19057314827122,0.5993604148030623,60.57064657907205,0.5993604148030623,0.3209784550682167,-25.76653833614738,-26.895193907475278,0.0,-25.399658086488284,0.6132872750167784,-2.3726115286279144,2,10.737113402061855,5.934642363588858,0.0001,0.001,0.0,4657,1.0,-288.77314196092004,0.06281804377625733,0.06281804377625733,28.127755104494963,8.623398032907076,0,175.8694412773282
28.25316656292196,0.6026843170884031,61.38600856363881,0.6026843170884031,0.3017720383054013,-25.79247885413401,-26.95174782507875,0.0,-25.415654620941122,0.6155563333041032,-2.3369250310247915,3,10.362072538860104,5.633145051010366,0.0001,0.001,0.0,4826,1.0,-279.2766390255528,0.06259341465074186,0.06259341465074186,28.19057314827122,8.813334565690084,0,167.88188986233828
28.315633866150595,0.6033180055120128,62.06290657728813,0.6033180055120128,0.24447633881200279,-25.8463347409536,-27.03119399690486,0.0,-25.461154219311123,0.6170918870503503,-2.3103440344609565,4,10.090615539858728,5.357008548605196,0.0001,0.001,0.0,4956,1.0,-272.76307807398194,0.06246730322863314,0.06246730322863314,28.25316656292196,8.970353617296976,0,160.53933456824703
28.37975934077945,0.6064419446104616,62.96308318539713,0.6064419446104616,0.31636334929545723,-25.853694585755303,-27.073328639670034,0.0,-25.457259649741584,0.619617245566993,-2.2707019195505684,5,9.696605237633365,5.025434640431512,0.0001,0.001,0.0,5156,1.0,-262.5155757824883,0.06412547462885598,0.06412547462885598,28.315633866150595,9.184457701582014,0,151.51771042754407
28.443343380631344,0.6095857855340612,63.83077672224593,0.6095857855340612,0.2867783593044158,-25.862068950745957,-27.11571069258654,0.0,-25.45463039755551,0.6219448915428385,-2.2333526826017462,6,9.342739674827135,4.744163326976309,0.0001,0.001,0.0,5352,1.0,-253.3364953932385,0.06358403985189298,0.06358403985189298,28.37975934077945,9.392543183899294,0,143.91311733945963
28.506137881138056,0.6115583073163386,64.53465427240823,0.6115583073163386,0.38213936651785047,-25.90349451650123,-27.184912095834704,0.0,-25.487022423053375,0.6234324404095104,-2.206256747902138,7,9.092942888323027,4.3608493792897445,0.0001,0.001,0.0,5499,1.0,-247.1920928918591,0.06279450050671187,0.06279450050671187,28.443343380631344,9.560586284178813,0,133.04591096370646
28.570243168937797,0.6110475283054079,65.093375105878,0.6110475283054079,0.02324623541358332,-25.97830398887328,-27.281789055396462,0.0,-25.554589293711995,0.6242779894853775,-2.188234995061164,8,8.930868167202572,4.330121779258181,0.0001,0.001,0.0,5599,1.0,-243.65254913866042,0.064105287799741,0.064105287799741,28.506137881138056,9.692253479639133,0,132.85204525706553
28.635973290738377,0.6115468541724625,65.75232614915149,0.6115468541724625,0.24458615656538998,-26.03443109618266,-27.364350380991414,0.0,-25.60209427227545,0.625480571560238,-2.1648784882626515,9,8.724306403768976,4.106682488401074,0.0001,0.001,0.0,5732,1.0,-238.73589337751108,0.06573012180058058,0.06573012180058058,28.570243168937797,9.850330202575146,0,126.76189467615525
28.702308451992295,0.6156310764210559,66.44465649571602,0.6156310764210559,0.016587991334848635,-26.08508217529237,-27.44311168449461,0.0,-25.643592868900434,0.6267823523050831,-2.1401067343177855,10,8.50995744680851,3.9902896495807076,0.0001,0.001,0.0,5876,1.0,-233.5375496382168,0.06633516125391736,0.06633516125391736,28.635973290738377,10.017945020425218,0,123.92172174204674
28.768631006761485,0.6120862558331241,66.82021380149858,0.6120862558331241,0.013607939160062211,-26.214030279521136,-27.586922685096575,0.0,-25.767536040040767,0.6266571816453919,-2.1343863922645645,11,8.461746784021665,4.051888289312844,0.0001,0.001,0.0,5909,1.0,-233.43304449478873,0.06632255476919013,0.06632255476919013,28.702308451992295,10.103109411130744,0,126.58001233491663
28.837072513804408,0.6163723907783011,67.68875786507999,0.6163723907783011,0.3316795163628007,-26.217347183855004,-27.62644097063782,0.0,-25.759169968862864,0.6286454035106881,-2.099627758899416,12,8.173451038090567,3.763721415871096,0.0001,0.001,0.0,6118,1.0,-225.8054596898133,0.06844150704292318,0.06844150704292318,28.768631006761485,10.319230699212806,0,118.32682986739259
28.905033409056422,0.6155440190754652,68.04018988581458,0.6155440190754652,0.019068774916686272,-26.358003889629995,-27.781162887422393,0.0,-25.89505656228686,0.628383887965839,-2.0959925322204076,13,8.141833577593227,3.6952696219907955,0.0001,0.001,0.0,6142,1.0,-226.18377573961092,0.0679608952520141,0.0679608952520141,28.837072513804408,10.398520223397128,0,116.880004496825
