Omega,RewardStd,DualBefore,Epsilon,WeightMin,Traj,Eta,NormDeltaOmega,ConfortViolation,TimestepsMean,LossReg,TimestepsStd,Primal,Wins,OmegaBefore,ITERATIONS,WeightMean,ReturnsMean,ReturnsStd,NormDeltaVar,WeightMedian,DualAfter,WeightMax,RewardMean,DeltaOmega,DualReg
6.710202023932364,0.0821591740335602,7.71564231291657,0.001,0.004898967495631997,249,1.5024460726745614,0.025274229323501096,0,200.9959677419355,0.0,0.063371909860894,7.715374710074253,99.59839357429718,6.735476253255865,251,0.004898967495631997,1549.9993981536807,2.4088244672953074,0.40207894422521123,0.83173923845305,7.715287448766206,1.0,7.71154997367161,-0.025274229323501096,0.0001
6.683399974173757,0.08874503709767527,7.734289997265499,0.001,0.0049103771766765645,250,1.505111358700902,0.026802049758607005,0,200.51004016064257,0.0,5.445688357327668,7.734024079736538,99.2,6.710202023932364,252,0.0049103771766765645,1549.9651584244352,43.11662783733846,0.4898617587209827,0.8363075063860641,7.733935892752333,1.0,7.730096281443622,-0.026802049758607005,0.0001
6.657114388748771,0.08141485762937221,7.751686612735469,0.001,0.004458521322845395,249,1.4861155775744417,0.02628558542498638,0,200.93548387096774,0.0,1.0139505577743038,7.751435573415563,99.59839357429718,6.683399974173757,253,0.004458521322845395,1556.778865803922,8.78199259967936,0.010231151578099906,0.8204610644678333,7.75135443022108,1.0,7.747661451384898,-0.02628558542498638,0.0001
6.632312852506834,0.08155024256650542,7.76848595385345,0.001,0.004474562046687938,249,1.4883430904893014,0.02480153624193715,0,200.91935483870967,0.0,1.2674381972178799,7.768232674403158,99.59839357429718,6.657114388748771,254,0.004474562046687938,1560.0217810631514,10.578659930243203,0.09068792436844474,0.8261301644937643,7.76815066034088,1.0,7.764451382200162,-0.02480153624193715,0.0001
6.606234204563063,0.07200160128984538,7.786631814187539,0.001,0.6389338754425818,249,1.4504993552498604,0.026078647943770683,0,201.0,0.0,0.0,7.78640825570772,100.0,6.632312852506834,255,0.6389338754425818,1564.354619558725,1.8714207778541088,0.11128532746369353,0.821489994441225,7.786341908035836,1.0,7.782852628054305,-0.026078647943770683,0.0001
6.579151898809237,0.0939323857493981,7.804435315575506,0.001,0.004224077902376217,251,1.479122787900964,0.027082305753825864,0,199.94,0.0,9.943862428654171,7.804198958441316,98.80478087649402,6.606234204563063,256,0.004224077902376217,1559.5830486908173,78.90322928743389,0.3310813607762298,0.8258030016600798,7.80412058869708,1.0,7.8002539706962635,-0.027082305753825864,0.0001
6.5528372498911445,0.07947160644189855,7.8222978333672835,0.001,0.0037016305887946047,249,1.4481272225817552,0.026314648918092765,0,200.8790322580645,0.0,1.9011572958268204,7.822080374686351,99.59839357429718,6.579151898809237,257,0.0037016305887946047,1570.562695536662,15.766062469508437,0.04681462220958893,0.8202527639031442,7.822015121942687,1.0,7.81843151860839,-0.026314648918092765,0.0001
6.5268987770837175,0.08647407119426091,7.8394516941641825,0.001,0.0036711174334507326,250,1.4512961153772548,0.025938472807427004,0,200.5421686746988,0.0,5.126436414989497,7.839235077108616,99.2,6.5528372498911445,258,0.0036711174334507326,1571.3437698629923,40.90688139056681,0.026102097835240617,0.8132094328755965,7.839168411033136,1.0,7.835477963780362,-0.025938472807427004,0.0001
6.500636078604358,0.07936518964748836,7.856665863183622,0.001,0.0035511151725568886,250,1.4438768654843774,0.026262698479359692,0,200.74698795180723,0.0,3.98443771937947,7.856453234470074,99.6,6.5268987770837175,259,0.0035511151725568886,1576.4264694942785,32.1119199806789,0.23576197297368573,0.8185033747941207,7.856387701325905,1.0,7.852812876803217,-0.026262698479359692,0.0001
6.4755403236700415,0.07814053208309642,7.873128627637276,0.001,0.0032511486677365615,249,1.4217671848798945,0.02509575493431626,0,200.85887096774192,0.0,2.2180168451312903,7.872931925404589,99.59839357429718,6.500636078604358,260,0.0032511486677365615,1580.6338606872816,18.036207100609968,0.0499751357827443,0.8249667366785388,7.872877758361582,1.0,7.869369550947225,-0.02509575493431626,0.0001
6.4496539485459135,0.07884325983125291,7.889423899361085,0.001,0.0033453905538248663,249,1.432982904390492,0.025886375124128058,0,200.96370967741936,0.0,0.5703471887480459,7.889219425401286,99.59839357429718,6.4755403236700415,261,0.0033453905538248663,1584.7306768517922,5.524220653370421,0.10950506089884812,0.8223648434357496,7.889159518054658,1.0,7.885616293371738,-0.025886375124128058,0.0001
6.424241921346859,0.07120390665875408,7.905411156517219,0.001,0.5931927851877673,249,1.4344723308265168,0.025412027199054776,0,201.0,0.0,0.0,7.905202144754143,100.0,6.4496539485459135,262,0.5931927851877673,1588.235364390975,2.207360546609152,0.09923636232382371,0.8223397077160233,7.905141477667076,1.0,7.9016943913273625,-0.025412027199054776,0.0001
6.398214656047967,0.06992336226552796,7.9221766314243816,0.001,0.6100041889791894,249,1.4141557978331383,0.026027265298891322,0,201.0,0.0,0.0,7.921982191115672,100.0,6.424241921346859,263,0.6100041889791894,1591.6240445205415,1.8993417544306728,0.5066552845818443,0.8316088840206961,7.921931891688658,1.0,7.91854627331486,-0.026027265298891322,0.0001
6.373492742043583,0.0699654721132019,7.938531646325364,0.001,0.6280071154520411,249,1.4146505637526503,0.024721914004384615,0,201.0,0.0,0.0,7.938336914707002,100.0,6.398214656047967,264,0.6280071154520411,1594.9188398381261,2.05389857834764,0.009266418933244584,0.8383157939567145,7.938286363060476,1.0,7.93489897719867,-0.024721914004384615,0.0001
6.348160120763183,0.09298802915502238,7.954323055353029,0.001,0.0033463581371772537,250,1.4382466463436825,0.025332621280400147,0,200.2690763052209,0.0,7.942810617926742,7.954121977217617,98.8,6.373492742043583,265,0.0033463581371772537,1592.1947770099205,64.10749808952018,0.29623744441263655,0.8436926504941271,7.9540593351616415,1.0,7.950294660395597,-0.025332621280400147,0.0001
6.323498379746327,0.07840629108052403,7.970277688818119,0.001,0.0029997930125874824,250,1.4212292460439606,0.02466174101685592,0,200.77911646586347,0.0,3.478477374061443,7.970081952908513,99.6,6.348160120763183,266,0.0029997930125874824,1599.5046828556142,28.41497198121157,0.05384306016645673,0.817332930864801,7.970028044713247,1.0,7.966516458277635,-0.02466174101685592,0.0001
