ReturnsMean,WeightMean,WeightMax,Eta,DualReg,OmegaBefore,Traj,Wins,ReturnsStd,TimestepsMean,NormDeltaOmega,WeightMin,ITERATIONS,DualBefore,DualAfter,ConfortViolation,LossReg,TimestepsStd,Omega,Epsilon,WeightMedian,RewardStd,DeltaOmega,NormDeltaVar,Primal,RewardMean
-90.85602104372119,0.6676657228872385,1.0,17.995145753493535,0.0001,18.0,3241,0.0,58.07759266783998,15.430555555555555,0.034531982855522614,0.6676657228872385,0,-2.7083164979238052,-5.762536946313972,0,0.0,9.24579275357042,17.965468017144477,0.001,0.705859103565062,1.5636848850290812,-0.034531982855522614,0.14862311254198607,-5.730155335519599,-5.888040081456966
-87.72181676733429,0.6713698972472273,1.0,17.988666515796027,0.0001,17.965468017144477,3318,0.0,54.84417767882209,15.072957491709376,0.03584058634136156,0.6713698972472273,1,-2.6837517904198545,-5.69426432720252,0,0.0,8.817828438346123,17.929627430803116,0.001,0.7082337316533815,1.5649721741790075,-0.03584058634136156,0.255955395747159,-5.661906031496878,-5.819786642367377
-84.97548862261105,0.6721068910618481,1.0,17.960241115395046,0.0001,17.929627430803116,3385,0.0,51.63950286528998,14.773345153664303,0.03574197499814247,0.6721068910618481,2,-2.662571108569798,-5.626668581346485,0,0.0,8.401268403982971,17.893885455804973,0.001,0.710377382687353,1.5633948236313997,-0.03574197499814247,0.1976545817708942,-5.594412473714413,-5.751935920865049
-81.49980987559033,0.6749030292032328,1.0,17.970844428160643,0.0001,17.893885455804973,3484,0.0,49.42664702943171,14.354005167958656,0.037311313935131096,0.6749030292032328,3,-2.6326934038820142,-5.552294443380813,0,0.0,8.131959889329355,17.856574141869842,0.001,0.7131906673299804,1.567144401966504,-0.037311313935131096,0.12092748778514265,-5.520000235970358,-5.677805225876391
-78.85538427854404,0.678753545040069,1.0,17.930488637756067,0.0001,17.856574141869842,3555,0.0,45.97892659340724,14.067248171074846,0.03877375793804205,0.678753545040069,4,-2.611011141233931,-5.4804397994329275,0,0.0,7.650219995422752,17.8178003839318,0.001,0.7154188691309662,1.5641363163040412,-0.03877375793804205,0.09566600677255735,-5.448290477287355,-5.605552781218535
-77.22645525934618,0.6715478818336001,1.0,17.829504055208744,0.0001,17.8178003839318,3587,0.0,44.82930766892721,13.942275515895147,0.038689875306893384,0.6715478818336001,5,-2.600508909659537,-5.4151006886178275,0,0.0,7.550481733592321,17.779110508624907,0.001,0.7167477811564726,1.5529913327563576,-0.038689875306893384,0.10807893613177842,-5.383312493578542,-5.539051234141745
-76.13385391516317,0.6774776724755701,1.0,17.686137079610035,0.0001,17.779110508624907,3594,0.0,43.481815650490404,13.912329529640969,0.039234484642857836,0.6774776724755701,6,-2.5959532472942777,-5.3501376660579965,0,0.0,7.406178805439788,17.73987602398205,0.001,0.7177216251761195,1.5362951964580291,-0.039234484642857836,0.1200453220696151,-5.318858655895195,-5.472404214177846
-72.69715598397538,0.6796503980995994,1.0,17.701230189358682,0.0001,17.73987602398205,3711,0.0,40.49882901045588,13.47466307277628,0.03987211420938763,0.6796503980995994,7,-2.562912326920323,-5.27259119144708,0,0.0,6.98344438700747,17.70000390977266,0.001,0.7207077040021562,1.5407541950628891,-0.03987211420938763,0.3115887271575583,-5.241258769556584,-5.395160748782156
-70.41021918836356,0.6838960042195039,1.0,17.634064918809077,0.0001,17.70000390977266,3779,0.0,37.674132195281125,13.234250926416093,0.040248068971688866,0.6838960042195039,8,-2.542819759112342,-5.198463637230973,0,0.0,6.5877970816599225,17.659755840800972,0.001,0.722817427116378,1.5343431760920834,-0.040248068971688866,0.25371178010572165,-5.167368548742105,-5.32031240068735
-67.87485736763293,0.6866775424057373,1.0,17.590023130074965,0.0001,17.659755840800972,3864,0.0,36.36238250579786,12.942013978772975,0.04136212122149274,0.6866775424057373,9,-2.5185205590583064,-5.123071879159384,0,0.0,6.43655210380909,17.61839371957948,0.001,0.7251692774401874,1.531023149610357,-0.04136212122149274,0.1382920969875895,-5.092131925380164,-5.244490080417183
