DualReg,Epsilon,Wins,DualBefore,TimestepsStd,DualAfter,LossReg,Primal,WeightMedian,Eta,TimestepsMean,ConfortViolation,DeltaOmega,Omega,WeightMax,RewardMean,NormDeltaOmega,NormDeltaVar,RewardStd,OmegaBefore,WeightMin,ReturnsStd,WeightMean,Traj,ITERATIONS,ReturnsMean
0.0001,0.001,0.0,-2.480273375592546,7.459396190878008,-23.40815757321408,0.0,-23.111877020598065,0.6144251170627302,54.43171028604777,11.958143984692658,0,0.04708338296159198,27.047083382961592,1.0,-24.32814282879187,0.04708338296159198,0.3974364791456448,7.354274010202427,27.0,0.6001011954178038,197.94329612575513,0.6001011954178038,4182,0,-290.9178983363059
0.0001,0.001,0.0,-2.4206338507530454,6.432525794167885,-23.353485518678227,0.0,-23.045587083979115,0.6187556624614867,55.488642745262766,11.265209553853087,0,0.04672062874474037,27.093804011706332,1.0,-24.309712579228503,0.04672062874474037,0.5636377142972393,7.59220216280347,27.047083382961592,0.6040725303588236,171.48877900725574,0.6040725303588236,4439,1,-273.8510644841041
0.0001,0.001,0.0,-2.388351020992328,6.009590771505137,-23.365518863855105,0.0,-23.05029269051123,0.6208868505125887,56.14504409022311,10.908793366790311,0,0.04574390519396587,27.139547916900298,1.0,-24.344429437291392,0.04574390519396587,0.22263685814271256,7.738897328283358,27.093804011706332,0.6059475963089477,160.92966027277524,0.6059475963089477,4584,2,-265.56932618676706
0.0001,0.001,0.0,-2.346900951504852,5.69596598465288,-23.345530845877793,0.0,-23.021295300459,0.623679376200651,56.94170852983442,10.461377433535691,0,0.04538509613676922,27.184933013037067,1.0,-24.35248527003377,0.04538509613676922,0.5515654788394508,7.92022292392145,27.139547916900298,0.6107454767329381,153.23743256359504,0.6107454767329381,4778,3,-254.74952679734892
0.0001,0.001,0.0,-2.33072794445409,5.544199457072243,-23.397394912967876,0.0,-23.068351990746134,0.6245665828825467,57.362281142639695,10.297013388259526,0,0.046022459573414665,27.230955472610482,1.0,-24.419057521911665,0.046022459573414665,0.20769757406024122,8.013172802027242,27.184933013037067,0.6104253831232813,149.7503798836251,0.6104253831232813,4856,4,-251.4414711785313
0.0001,0.001,0.0,-2.3068397248805916,5.2908144156466435,-23.428008827678838,0.0,-23.09266860429353,0.625971231087594,57.908579574115876,10.055309734513274,0,0.04585496114428267,27.276810433754765,1.0,-24.469095913555297,0.04585496114428267,0.39997571086404216,8.136521138529462,27.230955472610482,0.6124166022077582,143.6336818231234,0.6124166022077582,4973,5,-246.04599486206953
0.0001,0.001,0.0,-2.2678969022023407,4.771166443782329,-23.40609576208327,0.0,-23.061697695572377,0.6285242688066582,58.68490356388275,9.670599613152804,0,0.04646520849631486,27.32327564225108,1.0,-24.47540144698713,0.04646520849631486,0.525457484766332,8.316708534737032,27.276810433754765,0.6150622798012726,130.05529195817857,0.6150622798012726,5171,6,-236.69133097397747
0.0001,0.001,0.0,-2.241231170163467,4.5545334397107196,-23.419305230581735,0.0,-23.06853507164652,0.6302439982983771,59.298124568321875,9.417027688830288,0,0.045527770900093856,27.368803413151173,1.0,-24.510251802651965,0.045527770900093856,0.3855461816949273,8.45336170291583,27.32327564225108,0.615956937917509,124.73091742595736,0.615956937917509,5310,7,-230.81602347806205
0.0001,0.001,0.0,-2.2268287306725716,4.419811666374949,-23.473371801391846,0.0,-23.117138573050024,0.6308417303087115,59.68553135391139,9.280675700761092,0,0.046110089409268085,27.41491350256044,1.0,-24.579182239229688,0.046110089409268085,0.41105177392558484,8.545575100015714,27.368803413151173,0.6179896689209824,121.5620710517202,0.6179896689209824,5388,8,-228.10869691186028
0.0001,0.001,0.0,-2.2018807570744108,4.220016493111875,-23.4903894185481,0.0,-23.12725329358711,0.6322752122287805,60.26082511112209,9.052869817128371,0,0.047194205807674194,27.462107708368116,1.0,-24.61758116411694,0.047194205807674194,0.2100262627723652,8.679518556563497,27.41491350256044,0.6158697851195676,116.61154831937279,0.6158697851195676,5524,9,-222.85993566316395
0.0001,0.001,0.0,-2.168023694413316,3.9867196859516043,-23.47138297382627,0.0,-23.099577744725313,0.6343869917920448,60.975839280380065,8.751794153684578,0,0.045798992796488136,27.507906701164604,1.0,-24.62562669436305,0.045798992796488136,0.35846276860401666,8.849395772015647,27.462107708368116,0.6209724214194,110.65777920016383,0.6209724214194,5714,10,-215.5191936157351
0.0001,0.001,0.0,-2.172528490858185,3.985927699152886,-23.591406624968172,0.0,-23.21810998966504,0.6336842506456947,61.098009872578665,8.790260196905766,0,0.046500855596317336,27.55440755676092,1.0,-24.749734664068775,0.046500855596317336,0.014419159143791091,8.87134495485822,27.507906701164604,0.6210409285923005,111.1019154175508,0.6210409285923005,5689,11,-217.55421963345566
0.0001,0.001,0.0,-2.15373497776467,3.854568961724983,-23.62671352843392,0.0,-23.247421369342735,0.6346655054422403,61.58669266287718,8.627610008628128,0,0.04742839475010996,27.60183595151103,1.0,-24.803528588352314,0.04742839475010996,0.3601395941816386,8.985419388438325,27.55440755676092,0.6206150017251356,107.9558618762699,0.6206150017251356,5796,12,-213.99599195122767
0.0001,0.001,0.0,-2.1291338718491515,3.592250100091114,-23.6393386309332,0.0,-23.252817087894478,0.6360505461573768,62.17085074284932,8.417578716955717,0,0.04742270027237794,27.64925865178341,1.0,-24.838589404867296,0.04742270027237794,0.4253737564860667,9.124223642002773,27.60183595151103,0.6228048452535453,101.08456742251353,0.6228048452535453,5940,13,-209.0805346531559
