WeightMedian,LossReg,NormDeltaOmega,TimestepsMean,Wins,WeightMin,Eta,RewardStd,ReturnsStd,ITERATIONS,Epsilon,DualAfter,Traj,WeightMean,ReturnsMean,DualBefore,Omega,DeltaOmega,ConfortViolation,DualReg,OmegaBefore,Primal,TimestepsStd,RewardMean,NormDeltaVar,WeightMax
0.6384513090249612,0.0,0.0072106069906539005,12.701219512195122,0.0,0.6200245438327907,42.03370166839382,5.095243812137314,142.5980261995962,0,0.001,-16.837707438214657,3937,0.6200245438327907,-221.09147893659136,-2.5404639162303875,24.007210606990654,0.0072106069906539005,0,0.0001,24.0,-16.66102436540682,7.555328339501075,-17.407055189813935,0.24543660465820116,1.0
0.6400916026010794,0.0,0.0074475324190359515,12.422111801242236,0.0,0.6226592819548025,42.31858040768837,5.1519825215953805,141.56415733227587,1,0.001,-16.814770143441894,4026,0.6226592819548025,-216.04048154582517,-2.518389548215443,24.01465813940969,0.0074475324190359515,0,0.0001,24.007210606990654,-16.63568399486875,7.4930664770664155,-17.391771596267553,0.27064278380618084,1.0
0.6428315443775279,0.0,0.006642581046239826,11.977953510663792,0.0,0.62493726040765,42.7676317276861,5.242627865643687,125.93930789319687,2,0.001,-16.763444985305835,4174,0.62493726040765,-207.84447464590735,-2.48214810864383,24.02130072045593,0.006642581046239826,0,0.0001,24.01465813940969,-16.58053779399275,6.658669509479204,-17.352667415316137,0.3680586035451622,1.0
0.6448499239780394,0.0,0.00600582290500995,11.666044340723454,0.0,0.6274764163898583,43.10298147103151,5.3107043587556255,121.7762359448027,3,0.001,-16.725867846132694,4286,0.6274764163898583,-202.10552192844384,-2.4555090423891626,24.02730654336094,0.00600582290500995,0,0.0001,24.02130072045593,-16.540080586584438,6.434357701579302,-17.324303122570267,0.3558782357450848,1.0
0.6466104870724925,0.0,0.005574182033075914,11.394029170464904,0.0,0.6283399302169217,43.39973573241062,5.371305236238619,116.07837177315825,4,0.001,-16.690106569665268,4389,0.6283399302169217,-197.08100776895418,-2.4318215269947796,24.032880725394016,0.005574182033075914,0,0.0001,24.02730654336094,-16.501753022102207,6.129596364126782,-17.296761477860695,0.20378201126959422,1.0
0.6487669623519827,0.0,0.0037416489865016445,11.060398230088495,0.0,0.631828962827643,43.76221115505884,5.445973189181405,109.91209172872558,5,0.001,-16.639948457215766,4521,0.631828962827643,-190.86349838376367,-2.4023497032801298,24.036622374380517,0.0037416489865016445,0,0.0001,24.032880725394016,-16.44843549931938,5.802587752044243,-17.256742836355002,0.4547551304929831,1.0
0.6508301702678441,0.0,0.003647062047591021,10.76340150699677,0.0,0.6334303409699754,44.10260084363241,5.516546513757463,101.9462537589245,6,0.001,-16.591876886521135,4646,0.6334303409699754,-185.32839809991415,-2.3748763115945724,24.040269436428108,0.003647062047591021,0,0.0001,24.036622374380517,-16.397373095486703,5.379644652675606,-17.218279084671796,0.36537579182836777,1.0
0.652668399778153,0.0,0.0026534497101025067,10.497165651900064,0.0,0.6337602165543826,44.410054189456325,5.5807012311573265,98.4076536368071,7,0.001,-16.54549242400356,4764,0.6337602165543826,-180.34790095822606,-2.3498952854728152,24.04292288613821,0.0026534497101025067,0,0.0001,24.040269436428108,-16.348267273614155,5.192144936319092,-17.18064710651816,0.40461185882369166,1.0
0.6537945463245924,0.0,0.0028208457994089997,10.337882547559968,0.0,0.636919977186171,44.603469667265045,5.621139870159177,93.87343966661071,8,0.001,-16.518362287738498,4837,0.636919977186171,-177.38899577589874,-2.33456825641172,24.04574373193762,0.0028208457994089997,0,0.0001,24.04292288613821,-16.319415470212444,4.951123806503915,-17.15905086801682,0.3854670383777284,1.0
0.6551285320609144,0.0,0.0018189636666470221,10.144915770245586,0.0,0.6356871137844468,44.83091926001764,5.669030434764434,92.9693913600737,9,0.001,-16.481657094589,4928,0.6356871137844468,-173.76623159437148,-2.3160297163943664,24.047562695604267,0.0018189636666470221,0,0.0001,24.04574373193762,-16.280676082159392,4.903628388245901,-17.12889884562475,0.12784604476669464,1.0
0.6555227481332673,0.0,0.002267355556941908,10.092652402099313,0.0,0.6387579276078137,44.90546453502057,5.684545349664111,90.53963033813739,10,0.001,-16.473989517878238,4955,0.6387579276078137,-172.82228875246042,-2.310505782053463,24.04983005116121,0.002267355556941908,0,0.0001,24.047562695604267,-16.27233955742959,4.77487690358354,-17.123371793484626,0.4081147849278594,1.0
0.6558223828895493,0.0,0.0022052253855378012,10.048643216080402,0.0,0.6380235471877651,44.96548971186469,5.697006685273022,89.12447857139566,11,0.001,-16.46884389224347,4976,0.6380235471877651,-172.0327979630068,-2.306196598122439,24.052035276546746,0.0022052253855378012,0,0.0001,24.04983005116121,-16.266654474660324,4.698641487438588,-17.1199494097805,0.341148829417265,1.0
0.657083031397003,0.0,0.0021436843914699466,9.871076011846002,0.0,0.6389358280505382,45.18848942670137,5.74415017189461,85.73315810409795,12,0.001,-16.434067550747475,5066,0.6389358280505382,-168.71391472032616,-2.2883514001286134,24.054178960938216,0.0021436843914699466,0,0.0001,24.052035276546746,-16.22986767729286,4.518969835950457,-17.091648358363553,0.19286339679848724,1.0
0.6582720089360299,0.0,0.0018483567135305634,9.708349514563107,0.0,0.641917498659099,45.39435657149387,5.787888010957431,81.06780272810792,13,0.001,-16.40017885107153,5151,0.641917498659099,-165.66164740578157,-2.271752078311705,24.056027317651747,0.0018483567135305634,0,0.0001,24.054178960938216,-16.19411414147839,4.272648185682536,-17.0637730092782,0.4580771748780944,1.0
