TimestepsMean,WeightMin,ReturnsMean,RewardMean,RewardStd,LossReg,ReturnsStd,OmegaBefore,Omega,WeightMedian,Eta,DualReg,Primal,NormDeltaOmega,DualBefore,WeightMean,WeightMax,ITERATIONS,NormDeltaVar,DualAfter,DeltaOmega,Traj,ConfortViolation,Epsilon,Wins,TimestepsStd
11.54364896073903,0.5871055621594303,-338.9885967788577,-29.36694377132467,9.04708065163871,0.0,233.87041975834128,29.0,29.081044274091887,0.6003763635736706,62.93630376297752,0.0001,-27.76274669278238,0.0810442740918873,-2.4453244982046325,0.5871055621594303,1.0,0,0.30004648640228804,-28.158844471973108,0.0810442740918873,4331,0,0.001,0.0,7.277416907581174
6.649687458438622,0.6220735766429969,-198.279794799068,-29.817742949443577,12.5484917214905,0.0,85.33591225918009,30.0,30.0,0.6335581015203027,76.728785506302,0.0001,-27.42470508929493,0.0,-1.8933368642665684,0.6220735766429969,1.0,28,0.5504734743364129,-28.013435704721832,0.0,7520,0,0.001,0.0,2.435803689759404
5.903069657615112,0.6299669334613405,-172.08692562159686,-29.152334370944036,13.168502478498613,0.0,65.94906397490115,30.0,30.0,0.6413157017546388,78.80935576421635,0.0001,-26.62127760844578,0.0,-1.774314430179647,0.6299669334613405,1.0,58,0.48929639104116296,-27.242369042650076,0.0,8471,0,0.001,0.0,1.8822297118529543
5.66859410430839,0.6317424958923943,-163.8832625760658,-28.910632449425886,13.383526896412004,0.0,60.43137994914434,30.0,30.0,0.6438191450150008,79.51593632682282,0.0001,-26.331614717500717,0.0,-1.7337277623515375,0.6317424958923943,1.0,88,0.6646759770277345,-26.963894725324558,0.0,8821,0,0.001,0.0,1.7245821922259952
5.569057696591669,0.6339000169446327,-160.38398430114935,-28.799169611958185,13.476122308866227,0.0,56.527714709003114,30.0,30.0,0.6449113405808429,79.81634503969862,0.0001,-26.199549998664004,0.0,-1.716034482889808,0.6339000169446327,1.0,118,0.795035931071479,-26.836616331524546,0.0,8979,0,0.001,0.0,1.6135178926077434
5.535038193291266,0.6331519493775872,-159.19816642220846,-28.761698523305085,13.509333419385776,0.0,57.40855130194106,30.0,30.0,0.6452975117244306,79.92442135855647,0.0001,-26.154660837139893,0.0,-1.709867767395755,0.6331519493775872,1.0,148,0.010306058178990996,-26.793453534575832,0.0,9034,0,0.001,0.0,1.6389872617215147
5.357372481783112,0.6347960171031681,-152.9846791786834,-28.556019081860295,13.682952658203382,0.0,50.668033105857894,30.0,30.0,0.6472519676771856,80.48469580315812,0.0001,-25.910262120648973,0.0,-1.6772864986445393,0.6347960171031681,1.0,178,0.35023943002580693,-26.558041861053614,0.0,9333,0,0.001,0.0,1.4462495199462808
5.282514527205494,0.6362444794531437,-150.36403069562513,-28.464295647827633,13.75801793902944,0.0,48.91705655066168,30.0,30.0,0.6481023126032847,80.72487961280883,0.0001,-25.80181463442663,0.0,-1.663176572144162,0.6362444794531437,1.0,208,0.5261627638682078,-26.453466260227795,0.0,9466,0,0.001,0.0,1.3959626395028433
5.164549116826774,0.6375663352257426,-146.22006455154272,-28.312261794006364,13.876731000599774,0.0,44.02033359614041,30.0,30.0,0.6494311908534927,81.10135575734604,0.0001,-25.623388607978054,0.0,-1.6406145121107156,0.6375663352257426,1.0,238,0.020509350934596136,-26.281132447942152,0.0,9682,0,0.001,0.0,1.2564418559865576
5.14012542407731,0.6378228924076619,-145.3670727925769,-28.280691021522436,13.902223991471208,0.0,42.72319558885318,30.0,30.0,0.6497001793121007,81.18225532621202,0.0001,-25.586134935335604,0.0,-1.6358546794043562,0.6378228924076619,1.0,268,0.47069291218273673,-26.245191610594635,0.0,9728,0,0.001,0.0,1.2195930136927977
5.130631092868137,0.6378213452120601,-145.03331507431292,-28.26795513586647,13.91188668638885,0.0,41.83733792367488,30.0,30.0,0.6497948257969461,81.2127116194029,0.0001,-25.57125240037865,0.0,-1.6340060602068531,0.6378213452120601,1.0,298,0.5336794324583871,-26.23080365862095,0.0,9746,0,0.001,0.0,1.193823106203328
5.1496549593160985,0.6376892765823607,-145.695497488842,-28.29214415557384,13.891883407528413,0.0,44.20934397853199,30.0,30.0,0.6495814732459149,81.14908905798123,0.0001,-25.599908315972552,0.0,-1.637706722324934,0.6376892765823607,1.0,328,0.002607285498261843,-26.258426611897747,0.0,9710,0,0.001,0.0,1.2616967970617599
5.179529679892261,0.6383821934550716,-146.74754072216996,-28.332188658725627,13.861597416901805,0.0,44.74260900445685,30.0,30.0,0.6492564722317063,81.05361962251963,0.0001,-25.646674885526068,0.0,-1.643510666389917,0.6383821934550716,1.0,358,0.025680152772786156,-26.30364467950915,0.0,9654,0,0.001,0.0,1.2771804070945938
5.185542418585356,0.637795582452544,-146.9615723906499,-28.340859410946944,13.855492726421422,0.0,44.994416086739314,30.0,30.0,0.6491793620147104,81.03456736366356,0.0001,-25.656691822627803,0.0,-1.6447107347004748,0.637795582452544,1.0,388,1.0319493372330832,-26.31335280968472,0.0,9643,0,0.001,0.0,1.2839484438345248
5.202060139423577,0.6363434621599819,-147.53686498888106,-28.361076044288062,13.838667885405926,0.0,46.260416747316576,30.0,30.0,0.6489955819476041,80.98087850411251,0.0001,-25.680666310989945,0.0,-1.6478306873539263,0.6363434621599819,1.0,418,1.3832609527142432,-26.33645747765845,0.0,9612,0,0.001,0.0,1.3203701366695249
