NormDeltaOmega,ReturnsMean,Traj,RewardStd,DeltaOmega,OmegaBefore,RewardMean,WeightMin,NormDeltaVar,WeightMax,ITERATIONS,LossReg,DualAfter,DualReg,TimestepsMean,ConfortViolation,Epsilon,ReturnsStd,WeightMedian,WeightMean,DualBefore,Wins,Omega,Eta,TimestepsStd,Primal
0.04412189556634871,-21.305685645308202,2965,0.3659284955429281,-0.04412189556634871,15.0,-1.2631231783040318,0.6861340505723119,0.2830428562116904,1.0,0,0.0,-1.2418502128309008,0.0001,16.86740890688259,0,0.001,13.014250834517608,0.7977737256912403,0.6861340505723119,-1.172409862603044,0.0,14.955878104433651,5.829731680906204,9.821498831905947,-1.2384604567833082
0.04815335273536547,8.879134790400773,2985,0.21697586799341584,-0.04815335273536547,13.670989980331946,0.5302505109306133,0.6622162020373714,0.30960451183183996,1.0,28,0.0,0.5415918379103402,0.0001,16.746648793565683,0,0.001,5.348782543634586,0.8421601843983273,0.6622162020373714,0.5537260226399412,0.0,13.62283662759658,3.639221889706938,8.998034982235476,0.5428936677833981
0.03527713834314028,55.14837441234266,1966,0.4687054680418601,-0.03527713834314028,12.364015904544393,2.168262552656181,0.6435853287835341,0.04525906049193061,1.0,58,0.0,2.1944271375653552,0.0001,25.434605597964378,0,0.001,39.507372366591945,0.9195145270846083,0.6435853287835341,2.2361901335491896,0.0,12.328738766201253,6.342622761901505,17.468792192690913,2.1984425552907534
0.02274664082199962,169.28975053201222,965,0.4812787091047981,-0.02274664082199962,11.470498474799587,3.2671571390208904,0.5344161069306099,0.38156873060276675,1.0,88,0.0,3.293334358049142,0.0001,51.81846473029046,0,0.001,129.25454239029423,0.9161262210119514,0.5344161069306099,3.3252771657411526,0.8290155440414507,11.447751833977588,6.198710512843658,38.71074817410487,3.297168961660438
0.018172796662920376,354.091865591666,547,0.4221357525755081,-0.018172796662920376,10.961027736480787,3.875124369291584,0.4428363029379389,0.11386638717223652,1.0,118,0.0,3.8970268840026807,0.0001,91.37362637362638,0,0.001,205.26409273874225,0.9190710900055937,0.4428363029379389,3.9170528123262027,5.301645338208409,10.942854939817867,5.377512221878579,52.24606791064893,3.8999081767336046
0.012021368309595104,564.2292272119186,385,0.37547120332317013,-0.012021368309595104,10.54599286684816,4.341209184618818,0.3623929164225118,0.04286381568620315,1.0,148,0.0,4.35991517931845,0.0001,129.97135416666666,0,0.001,232.26718942311405,0.9151911416654795,0.3623929164225118,4.3735586801118,16.623376623376622,10.533971498538564,4.728671904125153,52.86851528634883,4.362137568259852
0.012219969640733908,785.7030640124249,303,0.30523640210097525,-0.012219969640733908,10.166789406537427,4.757618951200791,0.2562934246968261,0.2146114236606401,1.0,178,0.0,4.771963278308785,0.0001,165.1523178807947,0,0.001,203.11100087418473,0.8962748926977373,0.2562934246968261,4.779697796611516,44.224422442244226,10.154569436896693,3.8204240224274213,42.02265997745825,4.773402486045077
0.017717021401290722,957.8916440982325,273,0.25539862157084103,-0.017717021401290722,9.714033301635864,5.224677420098919,0.16434499080002865,0.1717727098395545,1.0,208,0.0,5.2360843510465385,0.0001,183.33823529411765,0,0.001,168.5176421674339,0.862037493248544,0.16434499080002865,5.240820564656498,65.93406593406593,9.696316280234573,3.1630061229293784,31.640610675912,5.237057364919083
0.016205833511330425,1090.0895839209209,262,0.23098114054184554,-0.016205833511330425,9.213465072725626,5.7051714422541995,0.11383552398230809,0.34080663656246885,1.0,238,0.0,5.715126804328539,0.0001,191.06130268199234,0,0.001,130.99884173214903,0.8690338641317791,0.11383552398230809,5.718572836539344,76.33587786259542,9.197259239214295,2.8140886231578164,22.37207303632961,5.715880785753481
0.01808943583763778,1215.1928046781725,255,0.19180120089179253,-0.01808943583763778,8.687303396308058,6.184314157259358,0.0625292059525971,0.5454859349307737,1.0,268,0.0,6.192240186272944,0.0001,196.5,0,0.001,84.87808458177683,0.8620810769331738,0.0625292059525971,6.194361310700033,86.66666666666667,8.66921396047042,2.360961566043145,13.26612820231717,6.192745289336567
0.02135849367418885,1328.1991134428838,252,0.1615429005202831,-0.02135849367418885,8.10393334800727,6.682711110932232,0.032547990684921084,0.09939354531903238,1.0,298,0.0,6.689208032085433,0.0001,198.75298804780877,0,0.001,66.13188196496017,0.8497453466656641,0.032547990684921084,6.690572918399702,92.46031746031747,8.082574854333082,2.0508661095058516,9.511302829256216,6.689560649228016
0.017973268290385036,1417.94018517577,253,0.15172564987107412,-0.017973268290385036,7.481244512656891,7.165255623957008,0.021546027993139507,0.4033934830167088,1.0,328,0.0,7.171283424695945,0.0001,197.87698412698413,0,0.001,121.97691883267368,0.8535459947089035,0.021546027993139507,7.172429202385212,94.46640316205533,7.463271244366506,1.9499299993851464,16.747800910834666,7.171585032735202
0.016822989448077585,1498.7172611390972,253,0.16366677883508346,-0.016822989448077585,6.94359440881374,7.555513484663328,0.014973283394945733,0.07328633804309057,1.0,358,0.0,7.561670078627096,0.0001,198.36111111111111,0,0.001,83.51958042123208,0.8431204897136158,0.014973283394945733,7.562588460220424,93.2806324110672,6.926771419365663,1.8766054619023265,10.698638633335642,7.561935784752533
0.010374412944054612,1546.4562929416736,255,0.20975502933771278,-0.010374412944054612,6.472659453399072,7.859495547645278,0.02139009706034074,0.03561578826826664,1.0,388,0.0,7.867363023970776,0.0001,196.76377952755905,0,0.001,128.91582114613357,0.8694053138229879,0.02139009706034074,7.868686285613322,88.62745098039215,6.462285040455018,2.12534961494377,16.06407283688891,7.867745502590774
