TimestepsStd,DualAfter,RewardStd,WeightMedian,WeightMax,LossReg,Wins,ITERATIONS,TimestepsMean,WeightMin,WeightMean,NormDeltaVar,Primal,Eta,DeltaOmega,DualReg,Omega,OmegaBefore,ReturnsStd,DualBefore,ReturnsMean,NormDeltaOmega,RewardMean,Epsilon,ConfortViolation,Traj
12.01711564027747,7.2536155906103295,1.4940078381755646,0.976535524891591,1.0,0.0,0.0,0,24.090602409638553,0.5827206595087744,0.5827206595087744,0.015842321310385217,7.274615300949266,14.491576205153585,-0.03002851120650707,0.0001,6.969971488793493,7.0,90.09852571566572,7.428812947652672,172.29600696809356,0.03002851120650707,7.151930347814731,0.001,0,2076
12.775245505116192,7.279219873635328,1.4819885434726685,0.9776906658420453,1.0,0.0,0.0,1,24.64120256283884,0.5803873066350337,0.5803873066350337,0.3740082163794064,7.299921024145312,14.388228718851922,-0.03070367342823399,0.0001,6.939267815365259,6.969971488793493,95.96639701628479,7.450462530344073,176.8897043680767,0.03070367342823399,7.178639583274971,0.001,0,2030
12.657742231077124,7.302178084208441,1.4834110459129448,0.9771116078880738,1.0,0.0,0.0,2,24.751485148514853,0.5792361535276231,0.5792361535276231,0.11188488255800665,7.322893416999675,14.393168526173431,-0.02999130563339314,0.0001,6.909276509731866,6.939267815365259,95.36626820508685,7.473020606107557,178.24964301216764,0.02999130563339314,7.201506135838061,0.001,0,2021
12.82052177509606,7.321577468350987,1.4832188829536406,0.9786994100189541,1.0,0.0,0.0,3,24.87954206072673,0.5792659659372336,0.5792659659372336,0.09494150929518502,7.342274148254218,14.386689016835405,-0.029717262916829412,0.0001,6.879559246815036,6.909276509731866,96.85653762259717,7.491912937773247,179.65228412025843,0.029717262916829412,7.220949045567292,0.001,0,2010
13.19036847047445,7.348673565190297,1.4705599031443415,0.9759707064820735,1.0,0.0,0.0,4,25.49464558898521,0.5744672387853357,0.5744672387853357,0.062308579430973565,7.369055819197325,14.277030404326611,-0.030215134558228662,0.0001,6.849344112256808,6.879559246815036,99.93769571030992,7.51474651887203,184.8175905339977,0.030215134558228662,7.249208285123941,0.001,0,1962
13.13973465264587,7.371348038126182,1.4678436052632482,0.977858755897413,1.0,0.0,0.0,5,25.722451081359424,0.5741335080321444,0.5741335080321444,0.017862820159474522,7.391649388717819,14.248683361534102,-0.02999037271001903,0.0001,6.819353739546789,6.849344112256808,99.84578541762605,7.535967100539775,187.05390035430912,0.02999037271001903,7.272157145618972,0.001,0,1943
12.881662115894724,7.386328455925295,1.480838793380079,0.9781109635693421,1.0,0.0,0.0,6,25.376841036058913,0.5756965336617317,0.5756965336617317,0.2023947879668537,7.406918857547226,14.349736500081766,-0.02884444686982679,0.0001,6.790509292676962,6.819353739546789,98.02272877801458,7.5540525315637295,184.89214842418122,0.02884444686982679,7.286006143477624,0.001,0,1970
14.725441501526165,7.417007494216879,1.4537882573892331,0.9775264573918732,1.0,0.0,0.0,7,26.54381306425916,0.5695556354984349,0.5695556354984349,0.1553945884062086,7.43695067116167,14.122469807273765,-0.02811336318038915,0.0001,6.762395929496573,6.790509292676962,112.46305343312308,7.576643778956471,194.2770897364587,0.02811336318038915,7.319124315971174,0.001,0,1884
14.039635449905553,7.440282187673126,1.4398101676166346,0.9763367646815454,1.0,0.0,0.0,8,27.22930283224401,0.5655267387590598,0.5655267387590598,0.02724028683059125,7.459889449254091,14.0030542651895,-0.028309694308688904,0.0001,6.734086235187884,6.762395929496573,107.47742346106706,7.59581250329121,199.96417565634863,0.028309694308688904,7.343661340199958,0.001,0,1837
14.539521581584273,7.461327003806595,1.4393443814699751,0.9754348057879908,1.0,0.0,0.0,9,27.396712328767123,0.5639981997265741,0.5639981997265741,0.0375511833971518,7.480906570265982,13.993169653133355,-0.028417414080685433,0.0001,6.705668821107198,6.734086235187884,111.62393317087677,7.616052565395331,201.77271582475552,0.028417414080685433,7.364778818480182,0.001,0,1826
15.09912616438151,7.481464519316218,1.4300837854446553,0.9766734382259138,1.0,0.0,0.0,10,27.851810584958216,0.5622415983579717,0.5622415983579717,0.4957948038495856,7.500818542926808,13.912359077701444,-0.026959529626887857,0.0001,6.678709291480311,6.705668821107198,116.04828745331515,7.633339715430583,205.69839610179477,0.026959529626887857,7.385757808900173,0.001,0,1796
15.364250093202868,7.499613965022807,1.4273284268232815,0.9765121078014527,1.0,0.0,0.0,11,28.120922384701913,0.56087836842927,0.56087836842927,0.01986532274373103,7.518892372528559,13.885161091338516,-0.0268899537322822,0.0001,6.651819337748028,6.678709291480311,118.324227398181,7.650383654885721,208.20835580123827,0.0268899537322822,7.404173525457686,0.001,0,1779
14.74563422562816,7.517400783355201,1.4418786500315053,0.9783835708314516,1.0,0.0,0.0,12,27.690304709141273,0.5635872701105769,0.5635872701105769,0.04341098022929516,7.53699559789273,13.998623300281563,-0.027298274843731818,0.0001,6.6245210629042965,6.651819337748028,113.99822940378357,7.671298286343118,205.47980667065625,0.027298274843731818,7.420708935331776,0.001,0,1806
15.530984499556782,7.5423413076523005,1.4184253144992913,0.9787145052359946,1.0,0.0,0.0,13,28.782834101382488,0.558646424996707,0.558646424996707,0.06679021845725593,7.561384946684423,13.80054068190888,-0.026225251496783564,0.0001,6.598295811407513,6.6245210629042965,120.28228336739058,7.689679022296874,214.36265752978525,0.026225251496783564,7.447742317967111,0.001,0,1737
