ITERATIONS,WeightMax,WeightMedian,Omega,OmegaBefore,ConfortViolation,Primal,ReturnsMean,ReturnsStd,RewardMean,Wins,DualReg,DualBefore,NormDeltaOmega,DeltaOmega,RewardStd,Eta,TimestepsMean,DualAfter,WeightMin,TimestepsStd,NormDeltaVar,WeightMean,Traj,LossReg,Epsilon
0,1.0,0.9457678112944098,10.958409887094948,11.0,0,3.7280087795063834,72.92359075646705,43.41037215060095,3.665244106453285,0.0,0.0001,3.8219953832129776,0.04159011290505177,-0.04159011290505177,0.8570147860436061,9.920315917836197,19.89574214086749,3.7181706666188195,0.6404794172992162,11.180903729737231,0.0744015134121734,0.6404794172992162,2514,0.0,0.001
1,1.0,0.9479728976514223,10.917361804501326,10.958409887094948,0,3.7727469872340222,74.29177159652548,44.843716775315116,3.70937895274679,0.0,0.0001,3.8673379192814554,0.04104808259362258,-0.04104808259362258,0.8640167532408505,9.974678902845241,20.028044871794872,3.762800725699385,0.6403635016637238,11.42723700360013,0.11399598654641369,0.6403635016637238,2497,0.0,0.001
2,1.0,0.9451680544725548,10.876812007643565,10.917361804501326,0,3.8210890650256313,77.36461982697021,47.94111478944738,3.75793991109009,0.0,0.0001,3.9141038315646397,0.04054979685776061,-0.04054979685776061,0.8625443869600797,9.94794108618707,20.58779884583677,3.8111961386297004,0.6349282625285562,12.071677228759434,0.140210211886275,0.6349282625285562,2427,0.0,0.001
3,1.0,0.953801749277532,10.836498623502827,10.876812007643565,0,3.8610937193016257,77.49518107482005,47.40959125300921,3.7967753855729875,0.0,0.0001,3.956289519390928,0.04031338414073815,-0.04031338414073815,0.8753038659516542,10.057922167231132,20.410779910167417,3.850980747538696,0.6408204711721361,11.817842214815695,0.06409986581651686,0.6408204711721361,2450,0.0,0.001
4,1.0,0.9527561126665961,10.796439898316097,10.836498623502827,0,3.9023574633720335,78.35173270040352,47.289420307813856,3.837259469645159,0.0,0.0001,3.998649276173456,0.04005872518673037,-0.04005872518673037,0.884043693141059,10.12901557696381,20.418709150326798,3.8921009958486104,0.6392220676218194,11.666068316604958,0.058467963380458246,0.6392220676218194,2449,0.0,0.001
5,1.0,0.9507348864427707,10.755977547094204,10.796439898316097,0,3.944993960999205,79.48946995953268,48.20695404932304,3.8791945565479455,0.0,0.0001,4.042233642060778,0.040462351221892234,-0.040462351221892234,0.8919527692697521,10.192209070829326,20.49098360655738,3.934609100747958,0.6366842287658573,11.776988566193646,0.09335022001076536,0.6366842287658573,2441,0.0,0.001
6,1.0,0.9504215306041247,10.716220603690559,10.755977547094204,0,3.9952858782706078,83.91902367866892,52.61631560760383,3.9303312401406316,0.0,0.0001,4.089225150877909,0.03975694340364555,-0.03975694340364555,0.8841319484059571,10.104911641965503,21.352287302265925,3.9850785228400154,0.6314334623399058,12.689398228010125,0.1358235620426611,0.6314334623399058,2340,0.0,0.001
7,1.0,0.9523850128251845,10.67805313815378,10.716220603690559,0,4.038322581445865,86.78704562335709,55.70673793392149,3.973477541137321,0.0,0.0001,4.131092985754548,0.03816746553677852,-0.03816746553677852,0.8837256680030904,10.089565665767424,21.841415465268675,4.028146429484719,0.6297965844241239,13.326124642838144,0.2087205595870471,0.6297965844241239,2290,0.0,0.001
8,1.0,0.9469467241323597,10.638926062739662,10.67805313815378,0,4.08030733624915,88.94120614591462,55.94702092793436,4.015273030224254,0.0,0.0001,4.172814315150938,0.039127075414118195,-0.039127075414118195,0.8863314962417309,10.103414050674667,22.151152482269502,4.070102375676571,0.6239483775424708,13.262480021902354,0.1279469551424871,0.6239483775424708,2257,0.0,0.001
9,1.0,0.9538618392639481,10.600488051085174,10.638926062739662,0,4.123863009885886,91.98016052616448,58.01041513935091,4.059025734252897,0.0,0.0001,4.214795027290157,0.038438011654488236,-0.038438011654488236,0.8851031263829211,10.078964927191496,22.660924750679964,4.113707406691828,0.6253726145281087,13.623388835071292,0.033306905999889794,0.6253726145281087,2207,0.0,0.001
10,1.0,0.9486048512773088,10.563279374519716,10.600488051085174,0,4.168005047462392,95.65260970314328,61.32925242742334,4.103582778114511,0.0,0.0001,4.256982222721851,0.037208676565457566,-0.037208676565457566,0.8815813446256489,10.033556941792105,23.31016791044776,4.157940798030141,0.6181923749809979,14.276858988718296,0.05228885879731133,0.6181923749809979,2145,0.0,0.001
11,1.0,0.9489694950860653,10.52529637968201,10.563279374519716,0,4.2093840762638095,98.48648338878654,64.23652654212817,4.144977284179536,0.0,0.0001,4.297643950212439,0.03798299483770684,-0.03798299483770684,0.882072172522843,10.027765240009176,23.76045627376426,4.1993314486150135,0.6157851220665753,14.81539235870534,0.043549082388887744,0.6157851220665753,2105,0.0,0.001
12,1.0,0.9435687765745043,10.488551581785257,10.52529637968201,0,4.248883505453502,100.39052952790061,63.457628287538896,4.184200669379567,0.0,0.0001,4.33701791682107,0.03674479789675189,-0.03674479789675189,0.8855973592381332,10.050162732107992,23.99327892462794,4.238785892272312,0.6104433333780727,14.487167263368784,0.22670010473326266,0.6104433333780727,2084,0.0,0.001
13,1.0,0.9461965908965054,10.451681840197319,10.488551581785257,0,4.293856415440205,106.16297192114838,69.76760377965688,4.2302406482113675,0.0,0.0001,4.3786612215741885,0.036869741587938876,-0.036869741587938876,0.8752829933146646,9.941176511439814,25.095883534136547,4.283976749718039,0.6067564327402032,15.79287824099933,0.48663998025397026,0.6067564327402032,1993,0.0,0.001
14,1.0,0.9538051346855051,10.416509280692384,10.451681840197319,0,4.331077962957926,109.28049398373777,71.99123131456662,4.267684764297426,0.0,0.0001,4.414697708318467,0.03517255950493414,-0.03517255950493414,0.8735909116381079,9.91523082200682,25.607069672131146,4.321249832189378,0.6087804251237823,16.18593332880912,0.20758069186380218,0.6087804251237823,1953,0.0,0.001
15,1.0,0.9553819030924076,10.381178180960813,10.416509280692384,0,4.3684747720993045,110.36574673780903,72.14361694085311,4.3044853829633904,0.0,0.0001,4.452738990632734,0.03533109973157167,-0.03533109973157167,0.8804254838572436,9.969285667447831,25.63948717948718,4.35853911965335,0.6089047095046296,16.075105127656872,0.04892751198707244,0.6089047095046296,1951,0.0,0.001
16,1.0,0.9533518846256959,10.34540609606944,10.381178180960813,0,4.406413477226587,111.8547670889621,71.60651579907362,4.34201164169438,0.0,0.0001,4.490839117321143,0.03577208489137362,-0.03577208489137362,0.8853747078096236,10.005002542262321,25.76134020618557,4.396406456328689,0.6062927436719362,15.814199878320633,0.058393626318712394,0.6062927436719362,1941,0.0,0.001
17,1.0,0.9565919942530223,10.310481797646823,10.34540609606944,0,4.4444427365920784,115.26782299754299,74.78654843276217,4.380276505801444,0.0,0.0001,4.527647463734193,0.03492429842261657,-0.03492429842261657,0.883569451915416,9.977807872798326,26.314736842105262,4.434490075941339,0.6053988253539153,16.387668460227246,0.5175295508422155,0.6053988253539153,1901,0.0,0.001
18,1.0,0.9560586998786125,10.276365893588999,10.310481797646823,0,4.478864475673181,117.30564470885547,76.68788799827522,4.41452593098582,0.0,0.0001,4.561878035732751,0.034115904057824054,-0.034115904057824054,0.8859224755981543,9.99084396259975,26.572567783094097,4.468885772909014,0.6033786318663015,16.695674031467632,0.07568519178721837,0.6033786318663015,1882,0.0,0.001
19,1.0,0.9541777308511321,10.241987471214772,10.276365893588999,0,4.522010813576425,123.86708900779213,82.27228785311631,4.458874116496885,0.0,0.0001,4.601519040025817,0.0343784223742265,-0.0343784223742265,0.8741806536413617,9.868212934137945,27.780989438576988,4.512275728391092,0.5964969708130843,17.748814205218995,0.39645620480109817,0.5964969708130843,1800,0.0,0.001
20,1.0,0.9566229395759551,10.208949340122912,10.241987471214772,0,4.555972849531765,126.33018680466468,84.78024187435315,4.492757851206158,0.0,0.0001,4.635018767525216,0.03303813109186038,-0.03303813109186038,0.8755883243672623,9.871928795864557,28.118672665916762,4.546230426130257,0.5961134672097282,18.160916143701744,0.5382332603906343,0.5961134672097282,1779,0.0,0.001
21,1.0,0.9512754646091948,10.176146901789513,10.208949340122912,0,4.593004491800864,130.15451067700184,87.90901041832198,4.530090902324011,0.0,0.0001,4.670798233202427,0.03280243833339824,-0.03280243833339824,0.8730559064066375,9.838193836637311,28.731454859114432,4.5833285827262,0.589613752495497,18.702993050905604,0.2595708133208676,0.589613752495497,1740,0.0,0.001
22,1.0,0.9534291127747117,10.142480764724777,10.176146901789513,0,4.626306188355084,130.76034983037832,88.81851191851231,4.56283196749054,0.0,0.0001,4.704691209878174,0.033666137064736645,-0.033666137064736645,0.8794843347316117,9.88935087644306,28.6592082616179,4.616529323428703,0.5904091614261493,18.75039980001989,0.057416846893148035,0.5904091614261493,1744,0.0,0.001
23,1.0,0.9512361210922503,10.110257284762817,10.142480764724777,0,4.664095037414159,137.33551600774805,95.13793682052992,4.601608443320336,0.0,0.0001,4.739784512426191,0.032223479961960066,-0.032223479961960066,0.8697909966913641,9.78799717773181,29.844776119402987,4.654517564853261,0.58403260645302,19.94223960522653,0.09790875879153402,0.58403260645302,1676,0.0,0.001
24,1.0,0.955704121159251,10.078268789086662,10.110257284762817,0,4.691756503929996,136.17324480051775,94.7327720510702,4.628267738964666,0.0,0.0001,4.769193709752073,0.03198849567615447,-0.03198849567615447,0.8806977097354511,9.883689084517725,29.422850412249705,4.681990841653939,0.5878732842324847,19.732343174092826,0.24236230173880272,0.5878732842324847,1699,0.0,0.001
