Wins,TimestepsMean,Traj,LossReg,WeightMin,ReturnsMean,DualReg,Eta,TimestepsStd,WeightMedian,DualAfter,Omega,WeightMean,RewardStd,ReturnsStd,Primal,DeltaOmega,ConfortViolation,Epsilon,ITERATIONS,NormDeltaOmega,OmegaBefore,DualBefore,NormDeltaVar,WeightMax,RewardMean
0.0,13.589562381081816,3680,0.0,0.6327977680165937,-180.01080277595514,0.0001,33.79192837436785,8.261067747925015,0.655555765224364,-12.8645878242348,21.99027696506702,0.6327977680165937,3.7408866428909815,118.0391487895906,-12.750398642975037,-0.009723034932978436,0,0.001,0,0.009723034932978436,22.0,-2.6080822301870827,0.2252707032057421,1.0,-13.24625653047745
0.0,13.170969441517387,3797,0.0,0.6360207007361321,-173.7383789392796,0.0001,34.047468912541866,7.58430039243509,0.6581464327832054,-12.803646648040388,21.97883457045736,0.6360207007361321,3.7884125368311206,108.14756848832596,-12.687723890951045,-0.011442394609662898,0,0.001,1,0.011442394609662898,21.99027696506702,-2.576843772210699,0.2656504905841407,1.0,-13.191041178525376
0.0,12.758550280755488,3919,0.0,0.6426918117862925,-167.5259351199255,0.0001,34.303463144607676,7.239743207917581,0.6607359573928551,-12.737304495982404,21.96595399741258,0.6426918117862925,3.8365053518230017,103.00062029042127,-12.61963199033331,-0.012880573044778743,0,0.001,2,0.012880573044778743,21.97883457045736,-2.5449786169565662,0.3733640563148854,1.0,-13.130494908521795
0.0,12.286802654214794,4070,0.0,0.6435117149539589,-160.5325271248886,0.0001,34.62270957763749,6.948646041808112,0.6637660603417462,-12.664960530208774,21.952836045352225,0.6435117149539589,3.8963911486218206,98.7040138299803,-12.545087365471232,-0.013117952060355265,0,0.001,3,0.013117952060355265,21.96595399741258,-2.5072722593893944,0.5007580012301834,1.0,-13.065416345096875
0.0,12.177344701583435,4106,0.0,0.6457082899216886,-158.60890152111892,0.0001,34.64817105614179,6.786654760614239,0.6645928918146047,-12.62399669604008,21.9386130983101,0.6457082899216886,3.9026651388292515,96.11746351217352,-12.503947160493823,-0.0142229470421249,0,0.001,4,0.0142229470421249,21.952836045352225,-2.4985857406498795,0.1448069091586232,1.0,-13.02512604237417
0.0,11.753173483779971,4255,0.0,0.6458901771158342,-152.2756733006571,0.0001,34.93758022234723,6.425970464996862,0.6674430353610148,-12.548531082380451,21.92402193222651,0.6458901771158342,3.9576909477258275,90.87991645620417,-12.426467712704676,-0.014591166083590679,0,0.001,5,0.014591166083590679,21.9386130983101,-2.4631003255733392,0.22470904453939544,1.0,-12.956337079204848
0.0,11.620641562064156,4303,0.0,0.647871718912833,-150.024003961909,0.0001,34.9868666023892,6.336541927986787,0.6684523261789685,-12.501003900339986,21.908366012245544,0.647871718912833,3.968598937181143,89.3538592611581,-12.37859590435123,-0.01565591998096494,0,0.001,6,0.01565591998096494,21.92402193222651,-2.4515025260124568,0.19233608389912019,1.0,-12.910045673840528
0.0,11.284198645598194,4431,0.0,0.6500564736959611,-144.91165041335307,0.0001,35.205999909005996,5.88500013722748,0.6708582210261694,-12.42797309095894,21.891282301708447,0.6500564736959611,4.011215865726797,82.76654832354488,-12.304026962481036,-0.01708371053709712,0,0.001,7,0.01708371053709712,21.908366012245544,-2.422309656394158,0.1622002846962219,1.0,-12.842160669239753
0.0,11.240611648302226,4448,0.0,0.6516653544327478,-143.91515654234328,0.0001,35.17623585413326,5.80223791445181,0.6713538539973891,-12.389693732623774,21.874004237585794,0.6516653544327478,4.007517105665701,81.3748485159638,-12.265957086076307,-0.017278064122653092,0,0.001,8,0.017278064122653092,21.891282301708447,-2.4184601240541417,0.33196272870899285,1.0,-12.803310350826953
0.0,10.980452448934768,4554,0.0,0.6493492531026646,-139.8971868601511,0.0001,35.33839082108642,5.3926286468076965,0.6732922287756734,-12.323047866026645,21.85697822414124,0.6493492531026646,4.039714269193678,75.401402196359,-12.198167807897091,-0.017026013444553456,0,0.001,9,0.017026013444553456,21.874004237585794,-2.3948886289375877,0.22668438213004025,1.0,-12.740526019236745
0.0,10.913555992141454,4582,0.0,0.6529574078124696,-138.5755000261513,0.0001,35.327955172506485,5.439789057765951,0.6739251989955721,-12.280100414149349,21.839130661290515,0.6529574078124696,4.039708631496095,75.85159552345677,-12.155294099260193,-0.01784756285072575,0,0.001,10,0.01784756285072575,21.85697822414124,-2.3887187434346777,0.2393228620193298,1.0,-12.697457855000385
0.0,10.557761351636747,4736,0.0,0.6566660056049227,-133.2171929619817,0.0001,35.5728162517013,5.050619213457997,0.676589111647187,-12.194901379516171,21.820320876798963,0.6566660056049227,4.087859475565719,70.2004663657521,-12.068359004886299,-0.018809784491551795,0,0.001,11,0.018809784491551795,21.839130661290515,-2.355781382597003,0.31197749898211463,1.0,-12.618083951716908
0.0,10.37004770794441,4822,0.0,0.6581547721162774,-130.22120391583897,0.0001,35.67395899544571,4.911492833356372,0.6780859118189922,-12.131671131439695,21.801300136005445,0.6581547721162774,4.109057138222684,68.07040587724882,-12.00440805412813,-0.019020740793518343,0,0.001,12,0.019020740793518343,21.820320876798963,-2.3376453346791317,0.3547844909234382,1.0,-12.557349819176617
0.0,10.248872488724887,4879,0.0,0.6574173068167757,-128.14402873486665,0.0001,35.708281842258565,4.819324160355336,0.6791679205381377,-12.076692083759552,21.781881492923354,0.6574173068167757,4.117759870918094,66.54212581961914,-11.949184006447936,-0.019418643082090625,0,0.001,13,0.019418643082090625,21.801300136005445,-2.326013557396157,0.19983685314840222,1.0,-12.50331310137635
