ConfortViolation,Omega,NormDeltaOmega,Primal,Epsilon,TimestepsStd,LossReg,ReturnsStd,NormDeltaVar,WeightMean,RewardMean,Traj,OmegaBefore,Wins,ReturnsMean,TimestepsMean,WeightMin,DeltaOmega,DualBefore,Eta,ITERATIONS,DualAfter,WeightMax,WeightMedian,DualReg,RewardStd
0,0.9955915919866817,0.004408408013318321,9.742316649942223,0.001,13.113437581624268,0.0,130.41377805996314,0.3133241446621917,0.502504246101395,9.615528413526608,1311,1.0,0.0,366.6956681278911,38.13664122137405,0.502504246101395,-0.004408408013318321,9.854002662086577,14.502840845931102,0,9.721286057114426,1.0,0.9958097614082067,0.0001,1.5806620750123737
0,0.8724167663127886,0.0036610354958099833,9.762199230613861,0.001,13.787843185622984,0.0,137.31410382099696,0.33443972857663296,0.4970166687092969,9.638437703790597,1262,0.8760778018085986,0.0,382.03024447203995,39.636003172085644,0.4970166687092969,-0.0036610354958099833,9.868570145721177,14.285112894162468,28,9.741794101537023,1.0,0.9962625466393041,0.0001,1.5540298541638218
0,0.752808412713096,0.0039356074850461775,9.777192800128843,0.001,14.864180839511507,0.0,148.1855903440835,0.19108387267017254,0.4924889016057144,9.6559024043953,1223,0.7567440201981421,0.0,394.95453331540904,40.90261865793781,0.4924889016057144,-0.0039356074850461775,9.879359996461448,14.105767337251338,58,9.757297032590976,1.0,0.9966759212314973,0.0001,1.5321312355634316
0,0.6473318848944526,0.002883023316331945,9.782828703613486,0.001,13.367713628736539,0.0,133.38029060775844,0.030383806827539606,0.49335950251880784,9.660962608106853,1230,0.6502149082107845,0.0,392.781336728694,40.6566314076485,0.49335950251880784,-0.002883023316331945,9.885829496876184,14.146653603599045,88,9.762817418152109,1.0,0.9968850489635189,0.0001,1.5374297310716487
0,0.5626339402436994,0.002507430862695892,9.789206980186462,0.001,13.491778375746707,0.0,134.69811053710848,0.4309671845378461,0.49238952816174014,9.667824226325154,1223,0.5651413711063953,0.0,395.5597119616061,40.91571194762684,0.49238952816174014,-0.002507430862695892,9.89134052783037,14.111037610092028,118,9.769296337849184,1.0,0.9970851381542551,0.0001,1.5332076616203523
0,0.5000945951081499,0.0021382207677559384,9.78940084970512,0.001,12.604157046770494,0.0,125.87802013080761,0.1516591686834368,0.4944450422178319,9.666822843273787,1239,0.5022328158759058,0.0,390.31370169231064,40.376413570274636,0.4944450422178319,-0.0021382207677559384,9.893445203392098,14.197129111266118,148,9.76924648961667,1.0,0.997155643859486,0.0001,1.5439646474439308
0,0.44484147159157367,0.001356054243510707,9.795208016032575,0.001,13.737162510321795,0.0,137.25731201469412,0.022943749407917248,0.4923650672958429,9.673784382069993,1221,0.4461975258350844,0.0,396.3191362250029,40.968032786885246,0.4923650672958429,-0.001356054243510707,9.897306881124392,14.113274024731583,178,9.775291058468515,1.0,0.9973374301233363,0.0001,1.5337003563423175
0,0.39710008771462313,0.0025577786711273864,9.797517130304412,0.001,13.581644291471953,0.0,135.73163884216368,0.05601297918235132,0.4926736566502919,9.675916400823157,1223,0.3996578663857505,0.0,395.7333635070476,40.89852700490999,0.4926736566502919,-0.0025577786711273864,9.89986927999445,14.125802047524864,208,9.777564794691777,1.0,0.9975542155360005,0.0001,1.5353401958089494
0,0.3473146146356472,0.0014593199832888537,9.796557101002595,0.001,13.25261561225894,0.0,132.46227197687892,0.35345287300592887,0.4946405335135252,9.67384455128119,1239,0.3487739346189361,0.0,390.4070241707692,40.35702746365105,0.4946405335135252,-0.0014593199832888537,9.900709457469487,14.205970898863237,238,9.776377625552252,1.0,0.9976389445644636,0.0001,1.545317999624092
0,0.3144183478290858,0.0011218428554362614,9.79827452544472,0.001,14.080178683382197,0.0,140.75493001863944,0.20500562245894643,0.4943105554963812,9.675744968960517,1236,0.31554019068452205,0.0,391.4566751606098,40.45748987854251,0.4943105554963812,-0.0011218428554362614,9.902095308235594,14.192600446542396,268,9.778133021929271,1.0,0.9977253517857466,0.0001,1.5437121107228655
0,0.29788925126456595,0.0007655702880142723,9.798308428431426,0.001,12.437568402013488,0.0,124.3580916986984,0.2874402534541507,0.49454449844785925,9.675645971111008,1238,0.2986548215525802,0.0,390.5686022080774,40.36701697655619,0.49454449844785925,-0.0007655702880142723,9.902341082807917,14.202145647233984,298,9.778139820105066,1.0,0.9977425885489554,0.0001,1.5449072003731608
0,0.2940864213088298,0.00022554040722477797,9.797166870677282,0.001,13.281116684908024,0.0,132.78343569610885,0.23141723463568717,0.49514392059270346,9.674165190788205,1243,0.293860880901605,0.0,389.1630558729148,40.227053140096615,0.49514392059270346,0.00022554040722477797,9.901770523443153,14.226571053441333,328,9.776928343424908,1.0,0.9977241900549031,0.0001,1.5479251994558374
0,0.3082217430808535,0.0004575763371461594,9.795984374073129,0.001,13.362367665267731,0.0,133.57195204441024,0.029272252713942192,0.4949549253766882,9.673093651270971,1242,0.3077641667437073,0.0,388.672587735616,40.18372280419017,0.4949549253766882,0.0004575763371461594,9.900448574782914,14.21878489629616,358,9.775768019062033,1.0,0.9976273407180057,0.0001,1.546899651371492
0,0.32685418275074435,0.0004847215309682351,9.793516258117124,0.001,12.392657426764906,0.0,123.89635742995503,0.023393105989916754,0.49608307123225226,9.669985081314183,1252,0.3263694612197761,0.0,386.3252954791373,39.95123900879297,0.49608307123225226,0.0004847215309682351,9.899069401051912,14.26507963683493,388,9.773168439039491,1.0,0.9975564820090385,0.0001,1.5525939897380439
