ITERATIONS,WeightMax,WeightMedian,Omega,OmegaBefore,ConfortViolation,Primal,ReturnsMean,ReturnsStd,RewardMean,Wins,DualReg,DualBefore,NormDeltaOmega,DeltaOmega,RewardStd,Eta,TimestepsMean,DualAfter,WeightMin,TimestepsStd,NormDeltaVar,WeightMean,Traj,LossReg,Epsilon
0,1.0,0.9457678112944098,10.958409887094948,11.0,0,3.7280087795063834,72.92359075646705,43.41037215060095,3.665244106453285,0.0,0.0001,3.8219953832129776,0.04159011290505177,-0.04159011290505177,0.8570147860436061,9.920315917836197,19.89574214086749,3.7181706666188195,0.6404794172992162,11.180903729737231,0.0744015134121734,0.6404794172992162,2514,0.0,0.001
28,1.0,0.9536895677078192,9.951811169050918,9.982637706126098,0,4.8295571494706016,151.5229630825343,108.31135016348469,4.7671560740561585,0.0,0.0001,4.902417502844355,0.030826537075180127,-0.030826537075180127,0.871692647673421,9.760690730551932,31.785123966942148,4.820033186744397,0.5752097238731138,21.96329035614124,0.1653066037697045,0.5752097238731138,1574,0.0,0.001
58,1.0,0.9457304876454894,9.213238980258016,9.23479229214086,0,5.615331040384301,397.1279087521482,273.6614305360894,5.572848847340911,3.851640513552068,0.0001,5.646025397697757,0.02155331188284393,-0.02155331188284393,0.6655450128544932,7.516155540017105,71.26428571428572,5.60968709109041,0.4451312259233145,48.30081494643539,0.046557739963049204,0.4451312259233145,701,0.0,0.001
88,1.0,0.9370904186710476,8.627159987967753,8.644872925502144,0,6.176176600014631,714.1554869814607,394.68615889356096,6.146490707562211,22.790697674418606,0.0001,6.190078154592054,0.01771293753439096,-0.01771293753439096,0.5183820825063843,5.797300398206874,116.18881118881119,6.172824672982253,0.32146833307012807,63.39559642729356,0.0914035525219996,0.32146833307012807,430,0.0,0.001
118,1.0,0.9228362237150743,8.111079895171493,8.129565965193915,0,6.631428223062087,1025.9174843517874,393.24471974333886,6.6117535217125845,51.24223602484472,0.0001,6.637227560713293,0.01848607002242275,-0.01848607002242275,0.3888275367289781,4.216668559204548,155.16822429906543,6.629666988551046,0.19084619901798996,58.84159303844275,0.06138784645553469,0.19084619901798996,322,0.0,0.001
148,1.0,0.9120765825434376,7.5714171912814585,7.590274146275007,0,7.063028917557242,1127.9625300251214,414.84310071466984,7.044952640385762,59.105431309904155,0.0001,7.067277450460607,0.01885695499354867,-0.01885695499354867,0.37225854775226447,3.8732845434980328,160.11217948717947,7.061548829293131,0.1468114365775275,58.234689682605186,0.03555306601853296,0.1468114365775275,313,0.0,0.001
178,1.0,0.8810329928770155,6.983137267348569,7.00318358271528,0,7.508803568736949,1413.6696167353232,284.1871051883391,7.499807616033652,86.46616541353383,0.0001,7.509971829936438,0.020046315366711198,-0.020046315366711198,0.2217788449451233,2.2732242457463476,188.49433962264152,7.508345243364317,0.032319965333382494,37.51146951691734,0.17774435456354828,0.032319965333382494,266,0.0,0.001
208,1.0,0.88524949288053,6.444842187661737,6.4589176616833885,0,7.873390102813473,1469.0250403836617,311.71772219045755,7.863657072041518,84.70149253731343,0.0001,7.874516358123793,0.014075474021651324,-0.014075474021651324,0.2427925896202928,2.3220323707403043,186.81273408239701,7.872906176289379,0.029739169192489666,39.2432458801058,0.05290282415441573,0.029739169192489666,268,0.0,0.001
238,1.0,0.8619715112118564,6.027985442932681,6.043463277099198,0,8.143753928262162,1597.7623760228985,166.62643902902656,8.137484457315228,93.33333333333333,0.0001,8.144209446800145,0.015477834166516935,-0.015477834166516935,0.16979390608567135,1.7608794202389826,196.3464566929134,8.143537047815348,0.00843549979398045,20.178096003119734,0.06542871317646796,0.00843549979398045,255,0.0,0.001
268,1.0,0.8578241285590584,5.630713768435784,5.6417815722416185,0,8.380393861604887,1658.8755058230408,154.0699615333373,8.375151965738956,95.65217391304348,0.0001,8.380705312462718,0.011067803805834053,-0.011067803805834053,0.14488127326364586,1.6042103589570886,198.07142857142858,8.38025929639311,0.004610171293153197,18.19501003084845,0.027907864595368457,0.004610171293153197,253,0.0,0.001
298,1.0,0.8584223647638093,5.3252319355083735,5.336153740606638,0,8.548095313408183,1698.9052870034898,108.12480600669555,8.543184506097115,96.42857142857143,0.0001,8.548363951920201,0.010921805098264237,-0.010921805098264237,0.13598594541891781,1.5528744517620896,198.8605577689243,8.547981746987176,0.0034838224920015295,12.445277752397178,0.3477292928278051,0.0034838224920015295,252,0.0,0.001
328,1.0,0.8673409127627576,5.106794513174977,5.112180743051647,0,8.66277377015934,1720.2691221254524,98.1941844908206,8.657277537390714,94.84126984126983,0.0001,8.663059767893353,0.0053862298766702565,-0.0053862298766702565,0.15741760784348727,1.5943673937189426,198.70916334661354,8.662643208817466,0.0037768667074442376,11.047483339866716,0.06050422670886657,0.0037768667074442376,252,0.0,0.001
