Omega,WeightMin,Eta,WeightMean,NormDeltaVar,DualAfter,RewardMean,LossReg,Primal,WeightMedian,DualBefore,ITERATIONS,TimestepsMean,TimestepsStd,DualReg,Epsilon,Wins,Traj,WeightMax,ReturnsMean,DeltaOmega,NormDeltaOmega,OmegaBefore,RewardStd,ConfortViolation,ReturnsStd
28.063657950609297,0.5929292768874175,58.53080423266253,0.5929292768874175,0.3970222541996817,-25.772451313904224,-26.826074572103582,0.0,-25.429864788625117,0.6065791022287493,-2.470694039801819,0,11.8424543946932,7.26677543022989,0.0001,0.001,0.0,4222,1.0,-317.68129586749455,0.06365795060929713,0.06365795060929713,28.0,8.151171084751894,0,212.78694852271138
30.0,0.62295936661656,76.742800047869,0.62295936661656,0.2763240933844113,-27.832146682227084,-29.638232222973006,0.0,-27.24320098307314,0.6347008382450818,-1.880874346667862,28,6.567319059503481,2.4019112366195046,0.0001,0.001,0.0,7614,1.0,-194.64479652573323,0.04317084999629728,0.04317084999629728,29.956829150003703,12.564792028603788,0,83.86322001535672
30.0,0.6308949595776396,79.36122018792508,0.6308949595776396,0.42085770120981086,-27.019396515437606,-28.958083994677757,0.0,-26.389574510919587,0.6433223486325487,-1.7422122159907616,58,5.716213126000457,1.64245222852121,0.0001,0.001,0.0,8747,1.0,-165.52685856146496,0.0,0.0,30.0,13.336695607063579,0,57.5619809958486
30.0,0.6348006558510071,80.02639387483346,0.6348006558510071,0.0008359273747833375,-26.743875961260887,-28.71755703780972,0.0,-26.103452255536983,0.6456872112407572,-1.7034680986378707,88,5.499505004949951,1.473587642582567,0.0001,0.001,0.0,9092,1.0,-157.93195211623416,0.0,0.0,30.0,13.541334216368453,0,51.63681527717524
30.0,0.6354355325003826,80.40997818456093,0.6354355325003826,0.014779854654545607,-26.582243272236113,-28.576289875602715,0.0,-25.93566566352209,0.6470374295245183,-1.6811436749603292,118,5.377971388619985,1.3649765850771591,0.0001,0.001,0.0,9298,1.0,-153.6813308466568,0.0,0.0,30.0,13.660278613514366,0,47.8123824714971
30.0,0.6372289460368437,80.76807194744546,0.6372289460368437,0.018648793824833056,-26.422560579033792,-28.435788658856776,0.0,-25.770211445644957,0.6483164243128227,-1.6598470461673307,148,5.2649536647009265,1.2485617918146499,0.0001,0.001,0.0,9497,1.0,-149.71409466051423,0.0,0.0,30.0,13.772442318260037,0,43.74156851107759
30.0,0.6371354508890601,81.09008092850372,0.6371354508890601,0.9848067676657817,-26.281469738862715,-28.312021895006588,0.0,-25.62390876223066,0.6494087411375111,-1.6409677370570193,178,5.166373876201302,1.1819199634368827,0.0001,0.001,0.0,9678,1.0,-146.2705907836531,0.0,0.0,30.0,13.873523301877468,0,41.40951974151892
30.0,0.6373089278958385,81.07445146067364,0.6373089278958385,0.6616271487131471,-26.290467902214072,-28.32016186306483,0.0,-25.633160373913856,0.649332382486808,-1.6420215423869122,208,5.171511327195614,1.2204777624803231,0.0001,0.001,0.0,9668,1.0,-146.45593502312812,0.0,0.0,30.0,13.86844039396329,0,42.76601729020297
30.0,0.639271764002076,81.4198785374801,0.639271764002076,0.4439245050257306,-26.13521559308894,-28.18361573796241,0.0,-25.472295204068065,0.6505165155847976,-1.6216271495531167,238,5.067403202919116,1.1021318408308323,0.0001,0.001,0.0,9867,1.0,-142.8178035391994,0.0,0.0,30.0,13.977601650434348,0,38.62071246925031
30.0,0.6381004838463664,81.36660289736278,0.6381004838463664,0.6442926826356975,-26.157146713967748,-28.202668631515127,0.0,-25.49509356047743,0.6503704786010566,-1.62463056525507,268,5.08264714852089,1.1356956466567814,0.0001,0.001,0.0,9838,1.0,-143.34435925842826,0.0,0.0,30.0,13.960883246244261,0,39.786387767406815
30.0,0.6391350106581193,81.4378858809325,0.6391350106581193,1.2563851594706443,-26.12325694231891,-28.172661397039594,0.0,-25.460043296203395,0.650603856312523,-1.6203104936683697,298,5.060734892195566,1.0603587461714605,0.0001,0.001,0.0,9880,1.0,-142.57442931807057,0.0,0.0,30.0,13.983591897788237,0,37.16256449647141
30.0,0.6392085705854851,81.52221691231149,0.6392085705854851,0.6976464429751638,-26.08863294295614,-28.14259771540492,0.0,-25.424045068191717,0.6508769141828418,-1.6155646878205614,328,5.036872859157768,1.0636836857977208,0.0001,0.001,0.0,9927,1.0,-141.7514225824067,0.0,0.0,30.0,14.010061559217325,0,37.2652980739679
30.0,0.6384009915648157,81.44352249693135,0.6384009915648157,0.027407712933998355,-26.125457979062176,-28.175135297698876,0.0,-25.462152525204374,0.650604718859025,-1.620289281015491,358,5.060627530364372,1.1089753499755597,0.0001,0.001,0.0,9881,1.0,-142.58382170043214,0.0,0.0,30.0,13.985013488752518,0,38.855205224716904
30.0,0.6395300628739711,81.64017976824287,0.6395300628739711,0.35707835063032023,-26.028025406939825,-28.088465008072614,0.0,-25.361512863209676,0.6513115510086898,-1.608137917433767,388,4.9995,1.0418731928598604,0.0001,0.001,0.0,10001,1.0,-140.42823950485993,0.0,0.0,30.0,14.048066584823394,0,36.51006147050405
30.0,0.6385998356985337,81.77069195077412,0.6385998356985337,0.9455829322345488,-25.969664694699954,-28.037220796575966,0.0,-25.301019484307314,0.6517305606476944,-1.6005081743697611,418,4.9615957130098245,0.965626227998983,0.0001,0.001,0.0,10078,1.0,-139.11000550990912,0.0,0.0,30.0,14.089510241090137,0,33.85170951857005
30.0,0.640494884406497,81.69867573786297,0.640494884406497,0.7706423813459435,-26.00748168835405,-28.071068931561552,0.0,-25.340013698419156,0.6514341886404078,-1.6050830207376026,448,4.984348519589274,1.036592132752093,0.0001,0.001,0.0,10032,1.0,-139.91676789899614,0.0,0.0,30.0,14.066195412474277,0,36.32907537398263
30.0,0.6394786332782931,81.79244179632337,0.6394786332782931,0.6778722176023146,-25.956011232856522,-28.02478294016988,0.0,-25.287010282249792,0.651826526737911,-1.5989818125104087,478,4.95373030813435,0.9516911506158817,0.0001,0.001,0.0,10094,1.0,-138.8258287611885,0.0,0.0,30.0,14.096730706037489,0,33.35652200088522
30.0,0.6415421506883914,81.95211493899963,0.6415421506883914,0.49204716842774,-25.882176730837227,-27.959695565843596,0.0,-25.21056127075907,0.6523651202573819,-1.589514298435998,508,4.907243816254417,0.8859892626514221,0.0001,0.001,0.0,10189,1.0,-137.20510721632567,0.0,0.0,30.0,14.147727834608988,0,31.061486865754993
30.0,0.6410836190813872,81.92907514322924,0.6410836190813872,0.8357967972225073,-25.889056973048433,-27.965340079785634,0.0,-25.217819084523295,0.6522852486640576,-1.5906344764615266,538,4.912744423700501,0.8962334823982013,0.0001,0.001,0.0,10178,1.0,-137.38641466346607,0.0,0.0,30.0,14.140666123519342,0,31.4100789344658
30.0,0.6406770815251439,82.10098189446606,0.6406770815251439,0.40437219825354626,-25.807839539568985,-27.893573381899536,0.0,-25.13378191627788,0.652862953708869,-1.5803509589810953,568,4.8625753744407705,0.829739192406486,0.0001,0.001,0.0,10283,1.0,-135.63515793053116,0.0,0.0,30.0,14.195797066899132,0,29.088837634839386
30.0,0.6413100907695539,82.04401552856419,0.6413100907695539,0.6228732709361741,-25.839954433452647,-27.92251545816775,0.0,-25.16683186760794,0.6526497728049194,-1.5840932219373551,598,4.8808082780164,0.8556189835023076,0.0001,0.001,0.0,10245,1.0,-136.28507184386606,0.0,0.0,30.0,14.177099252571045,0,29.999742223502107
30.0,0.6402419041408225,82.21901210394644,0.6402419041408225,1.0037790941511637,-25.751920377856607,-27.844159140772458,0.0,-25.075923316602395,0.6532727596059289,-1.5732969427388763,628,4.828295509415741,0.8293685482758917,0.0001,0.001,0.0,10356,1.0,-134.4397771394941,0.0,0.0,30.0,14.233729391556759,0,29.0855667116326
30.0,0.6395295243616524,82.33376105655873,0.6395295243616524,1.977828426548321,-25.69885850711985,-27.797424362181086,0.0,-25.020973252090286,0.6536486931839547,-1.5665403188822347,658,4.7958752997601914,0.7854566948354571,0.0001,0.001,0.0,10426,1.0,-133.31356377398944,0.0,0.0,30.0,14.270566012251571,0,27.55577178479327
30.0,0.6420015255398873,82.33636494792125,0.6420015255398873,0.9042449607488657,-25.698834900818582,-27.797535873788448,0.0,-25.02090676821905,0.6536264936772788,-1.5664644088207116,688,4.795415307884136,0.8177850461525975,0.0001,0.001,0.0,10427,1.0,-133.30060243545333,0.0,0.0,30.0,14.27130925653933,0,28.673357782714927
30.0,0.6424487730402948,82.47953365355589,0.6424487730402948,0.9738734550474033,-25.633926308054424,-27.740527737206822,0.0,-24.95363856566095,0.6540820589958498,-1.5581353028308926,718,4.755635879387425,0.7556646520201826,0.0001,0.001,0.0,10514,1.0,-131.92371822742078,0.0,0.0,30.0,14.317233144749004,0,26.53424991143587
