NormDeltaVar,TimestepsStd,DeltaOmega,Traj,OmegaBefore,NormDeltaOmega,ReturnsStd,TimestepsMean,Theta,ITERATIONS,ReturnsMean,RewardStd,RewardMean,ConfortViolation,Wins,Omega
0.9899999109832045,0.0,0.01085792,20,0.8,0.010857918293277313,53.13605179160378,500.0,0.21131879,0,1165.6,2.3897921583267445,2.3312,0,0.0,0.81085792
0.8913627499875112,0.0,0.01022016,20,0.81085792,0.010220156926764812,65.40366962181862,500.0,0.22190505,1,1144.6,2.3536277020803436,2.2892,0,0.0,0.82107808
0.3226298320063705,0.0,-0.00066786,20,0.82107808,0.0006678577393435248,53.40262165849164,500.0,0.21803011,2,1158.4,2.390405354746345,2.3168,0,0.0,0.82041022
0.24583063957283358,0.0,0.00028232,20,0.82041022,0.00028232409889739074,47.26891155929021,500.0,0.21511048,3,1157.5,2.401077882951738,2.315,0,0.0,0.82069254
0.5216286154585319,0.0,-0.00059914,20,0.82069254,0.0005991392886117719,58.19097868226655,500.0,0.20900967,4,1180.9,2.4585973155439667,2.3618,0,0.0,0.8200934
0.06099828817472641,0.0,0.00391734,20,0.8200934,0.003917344121939892,56.09376079387083,500.0,0.20830463,5,1175.3,2.4419417765376794,2.3506,0,0.0,0.82401075
0.24084011810014516,0.0,0.0041849,20,0.82401075,0.004184903456801337,43.41647152867216,500.0,0.20553805,6,1191.1,2.4647764929096514,2.3822,0,0.0,0.82819565
0.23486721384606213,0.0,0.00422604,20,0.82819565,0.004226035814393292,55.97240391478643,500.0,0.20286641,7,1181.7,2.437117239691189,2.3634,0,0.0,0.83242169
0.33467747873596565,0.0,0.00238643,20,0.83242169,0.0023864342678572292,58.04782510999013,500.0,0.19910428,8,1181.5,2.447167955004315,2.363,0,0.0,0.83480812
0.19441543002050565,0.0,0.0040293,20,0.83480812,0.004029304642475973,68.87699180423024,500.0,0.19694304,9,1176.6,2.426035811771953,2.3532,0,0.0,0.83883742
