Wins,Traj,DeltaOmega,ConfortViolation,Theta,OmegaBefore,RewardStd,NormDeltaOmega,ITERATIONS,ReturnsStd,Omega,TimestepsMean,TimestepsStd,NormDeltaVar,ReturnsMean,RewardMean
0.0,20,0.01085792,0,0.21131879,0.8,2.3873184622081736,0.010857918595535976,0,49.233728276456986,0.81085792,500.0,0.0,0.9899999658354766,1154.2,2.3084
0.0,20,0.00830566,0,0.21222255,0.81085792,2.4040332776398916,0.008305655046262017,1,64.85676526007137,0.81916357,500.0,0.0,0.07734641126544872,1166.0,2.332
0.0,20,0.00621033,0,0.20800395,0.81916357,2.4082401790519152,0.00621032547525302,2,50.941044355215176,0.8253739,500.0,0.0,0.3631316458023335,1169.1,2.3382
0.0,20,0.00746859,0,0.20794562,0.8253739,2.4192841833897893,0.007468593347952024,3,55.04352822993817,0.83284249,500.0,0.0,0.005058499426471741,1169.9,2.3398
0.0,20,0.00752281,0,0.20706062,0.83284249,2.406833970177419,0.007522809951634124,4,58.36128853957904,0.8403653,500.0,0.0,0.07688224294973622,1176.6,2.3532
0.0,20,0.00781969,0,0.20894007,0.8403653,2.3995598263014823,0.00781969116197656,5,43.875277776898464,0.84818499,500.0,0.0,0.1629845759416746,1160.4,2.3208
0.0,20,0.0078451,0,0.21025402,0.84818499,2.423003417248932,0.00784510066209021,6,80.79226448119894,0.85603009,500.0,0.0,0.11330429891328819,1173.1,2.3462
0.0,20,0.00485779,0,0.2086098,0.85603009,2.403142975355399,0.004857791923479904,7,64.92487966873716,0.86088789,500.0,0.0,0.14186646078447396,1168.6,2.3372
0.0,20,0.00352493,0,0.2041115,0.86088789,2.429785702484892,0.0035249314996761427,8,80.96814188308882,0.86441282,500.0,0.0,0.3923863839132231,1175.6,2.3512
0.0,20,0.00444456,0,0.2014572,0.86441282,2.4875847804647786,0.004444557869371812,9,68.32942265232452,0.86885738,500.0,0.0,0.23455635953545695,1200.7,2.4014
0.0,20,0.00368223,0,0.19803637,0.86885738,2.467240004539485,0.003682234498049608,10,42.77510958489761,0.87253961,500.0,0.0,0.3057276882108084,1198.7,2.3974
0.0,20,0.00416441,0,0.19540932,0.87253961,2.4812091810244454,0.004164412156658748,11,70.80360160330828,0.87670402,500.0,0.0,0.2374952977549185,1199.5,2.399
0.0,20,0.00480957,0,0.19337547,0.87670402,2.460386928919921,0.0048095727391638254,12,70.83756065817062,0.88151359,500.0,0.0,0.1855336923925428,1189.8,2.3796
0.0,20,0.00357285,0,0.19062344,0.88151359,2.457198404687745,0.003572850653854931,13,55.36786071359449,0.88508645,500.0,0.0,0.25342480355323005,1188.0,2.376
0.0,20,0.00446557,0,0.18775023,0.88508645,2.4877386036318208,0.0044655724499158556,14,46.43317779347005,0.88955202,500.0,0.0,0.267586667102929,1205.4,2.4108
0.0,20,0.00461667,0,0.18450042,0.88955202,2.470861865827388,0.004616671166721487,15,51.863185401592915,0.89416869,500.0,0.0,0.3064826667809726,1192.9,2.3858
0.0,20,0.00454161,0,0.18154741,0.89416869,2.483220489606189,0.004541610450324973,16,54.79781017522507,0.8987103,500.0,0.0,0.2821354294778189,1202.0,2.404
0.0,20,0.00439363,0,0.17878088,0.8987103,2.5661595819434146,0.004393632952956805,17,62.363049957486844,0.90310393,500.0,0.0,0.26757674100355544,1242.5,2.485
0.0,20,0.00410085,0,0.1755054,0.90310393,2.490970284848858,0.004100845917697216,18,65.118660919893,0.90720478,500.0,0.0,0.32102526883557303,1197.4,2.3948
0.0,20,0.00408891,0,0.17286929,0.90720478,2.540502241683719,0.004088909035824928,19,51.80453648089132,0.91129369,500.0,0.0,0.2618032171844824,1229.7,2.4594
0.0,20,0.00104405,0,0.16968601,0.91129369,2.5272375353337884,0.0010440450964163128,20,56.2760162058403,0.91233773,500.0,0.0,0.3203885424915285,1218.1,2.4362
0.0,20,0.00199745,0,0.16663272,0.91233773,2.596861112959259,0.0019974519077103903,21,49.89699389742833,0.91433518,500.0,0.0,0.31183070365230137,1255.3,2.5106
0.0,20,0.00196031,0,0.16349783,0.91433518,2.514583695167055,0.0019603058067132473,22,44.57566600736325,0.91629549,500.0,0.0,0.3249576908236982,1218.9,2.4378
0.0,20,0.001694,0,0.15945356,0.91629549,2.593551935088249,0.0016940049898394038,23,65.85218295546474,0.9179895,500.0,0.0,0.42671556087635665,1254.7,2.5094
0.0,20,0.00125026,0,0.1572621,0.9179895,2.560862034550085,0.0012502598184356284,24,58.18410435849296,0.91923976,500.0,0.0,0.23489527603432947,1237.9,2.4758
0.0,20,0.00116666,0,0.15453389,0.91923976,2.5914117851086496,0.0011666597339563545,25,62.00774145217677,0.92040641,500.0,0.0,0.2961792161703336,1256.8,2.5136
0.0,20,0.0017856,0,0.1512133,0.92040641,2.57233116841514,0.0017855999575573378,26,66.42070460330875,0.92219201,500.0,0.0,0.36631145854628144,1244.7,2.4894
0.0,20,0.00245665,0,0.14779512,0.92219201,2.5685599078082646,0.0024566544515834954,27,66.27065715684431,0.92464867,500.0,0.0,0.3840496035082275,1245.0,2.49
0.0,20,0.00300294,0,0.14542754,0.92464867,2.606539192108954,0.003002935154773456,28,61.3159033204274,0.9276516,500.0,0.0,0.2703342775365307,1259.4,2.5188
0.0,20,0.00312551,0,0.14314105,0.9276516,2.6088375878923546,0.003125507215034462,29,46.38739052803035,0.93077711,500.0,0.0,0.264563939933371,1261.9,2.5238
0.0,20,0.00357747,0,0.14206416,0.93077711,2.578896632282884,0.003577467779064536,30,52.70825362312814,0.93435458,500.0,0.0,0.12582378348534462,1245.2,2.4904
0.0,20,0.00339554,0,0.14002494,0.93435458,2.65218276896597,0.0033955362809587886,31,55.121320738893765,0.93775012,500.0,0.0,0.24046184403287185,1285.8,2.5716
0.0,20,0.00262561,0,0.13823715,0.93775012,2.6491930771463226,0.0026256099688989343,32,58.75534018282934,0.94037573,500.0,0.0,0.2132366598990565,1279.9,2.5598
0.0,20,0.00261929,0,0.13648183,0.94037573,2.6549905837874452,0.0026192904034884057,33,69.96534856627243,0.94299502,500.0,0.0,0.21162943510857346,1287.5,2.575
0.0,20,0.00216737,0,0.13471172,0.94299502,2.6637783015859258,0.0021673721682438085,34,75.71069937597987,0.94516239,500.0,0.0,0.2157451651806035,1287.7,2.5754
0.0,20,0.00230256,0,0.13319944,0.94516239,2.7065060502426372,0.0023025552378095338,35,66.86964931865577,0.94746494,500.0,0.0,0.18622456774311402,1317.5,2.635
0.0,20,0.00272802,0,0.13234437,0.94746494,2.616462313888736,0.0027280192152296934,36,82.2870585207662,0.95019296,500.0,0.0,0.10608769810603036,1268.2,2.5364
0.0,20,0.00211863,0,0.13176103,0.95019296,2.6904735568297267,0.0021186323089942283,37,63.612813174705614,0.9523116,500.0,0.0,0.07270836375738554,1309.9,2.6198
0.0,20,0.00124222,0,0.13100295,0.9523116,2.6592786691131116,0.0012422205677672382,38,71.41960515152685,0.95355382,500.0,0.0,0.0948969635291661,1288.2,2.5764
0.0,20,0.00162259,0,0.13025853,0.95355382,2.650497643839737,0.0016225857946208233,39,57.93133866915212,0.9551764,500.0,0.0,0.09364284550873947,1283.4,2.5668
