TimestepsStd,Omega,DeltaOmega,RewardStd,Wins,Theta,ConfortViolation,NormDeltaVar,ReturnsMean,ReturnsStd,RewardMean,TimestepsMean,NormDeltaOmega,OmegaBefore,Traj,ITERATIONS
0.0,0.81085792,0.01085792,2.4106589223695662,0.0,0.18914208,0,0.98999992809145,1171.7,34.06038754917507,2.3434,500.0,0.010857918307558112,0.8,20,0
0.0,0.82101243,0.01015451,2.4139954515284407,0.0,0.1859042,0,0.30360298089948046,1165.7,56.40664854429839,2.3314,500.0,0.010154514114214086,0.81085792,20,1
0.0,0.82983646,0.00882402,2.4831747340853805,0.0,0.18526751,0,0.060178672976650915,1200.9,68.61916641872007,2.4018,500.0,0.008824023115308943,0.82101243,20,2
0.0,0.83862333,0.00878687,2.4193198300348797,0.0,0.18057192,0,0.44883485822820646,1176.7,61.65152066251084,2.3534,500.0,0.008786872491595266,0.82983646,20,3
0.0,0.84575327,0.00712994,2.4135324816542245,0.0,0.1740086,0,0.6428879847989251,1171.8,75.6489259672601,2.3436,500.0,0.007129943699818009,0.83862333,20,4
0.0,0.85254669,0.00679342,2.4253410069513937,0.0,0.16658375,0,0.7507909881393537,1169.5,61.07331659571142,2.339,500.0,0.006793416671202146,0.84575327,20,5
0.0,0.85964083,0.00709414,2.5098008207823983,0.0,0.15876671,0,0.8199731293970842,1213.6,65.81063743803124,2.4272,500.0,0.007094138420402629,0.85254669,20,6
0.0,0.86410778,0.00446695,2.540759697413354,0.0,0.15136768,0,0.806871414500236,1224.8,52.51437898328419,2.4496,500.0,0.004466949128901221,0.85964083,20,7
0.0,0.86536325,0.00125547,2.5197291203619487,0.0,0.14533324,0,0.6824021220713128,1212.7,56.38182331212782,2.4254,500.0,0.0012554749201405535,0.86410778,20,8
0.0,0.86305064,-0.00231261,2.58112284868427,0.0,0.13877426,0,0.7689394304364043,1248.9,57.98094514579768,2.4978,500.0,0.002312610149617811,0.86536325,20,9
0.0,0.85994894,-0.0031017,2.5649821519846876,0.0,0.13195719,0,0.8322202266216792,1239.2,86.88244932090717,2.4784,500.0,0.003101701142766644,0.86305064,20,10
0.0,0.8578118,-0.00213714,2.550923785611793,0.0,0.1255014,0,0.8224327416767991,1223.6,58.74895743755799,2.4472,500.0,0.0021371352340674443,0.85994894,20,11
0.0,0.85766414,-0.00014767,2.5582868017483884,0.0,0.12013734,0,0.711377433108705,1240.4,68.52619936929233,2.4808,500.0,0.00014766835847312976,0.8578118,20,12
0.0,0.85770756,4.3424627e-05,2.5401050686930255,0.0,0.11538081,0,0.6541282661805248,1228.4,56.26579778160086,2.4568,500.0,4.3424627039434505e-05,0.85766414,20,13
0.0,0.85917691,0.00146935,2.5650370445668034,0.0,0.11065669,0,0.6733090162848612,1243.2,56.26508686565764,2.4864,500.0,0.001469351660919771,0.85770756,20,14
0.0,0.8626677,0.00349079,2.5097703400909017,0.0,0.1063272,0,0.6395393113214674,1211.1,38.34305673782413,2.4222,500.0,0.003490792702911749,0.85917691,20,15
