ReturnsStd,Wins,Traj,NormDeltaVar,DeltaOmega,ConfortViolation,Omega,ITERATIONS,RewardMean,RewardStd,TimestepsMean,ReturnsMean,OmegaBefore,Theta,NormDeltaOmega,TimestepsStd
54.073561007205726,0.0,20,0.9899998828844616,0.01085787,0,0.81085787,0,2.329,2.3993663746914518,500.0,1164.5,0.8,0.18914208,0.010857869847998525,0.0
70.9430052929815,0.0,20,0.9594992186702562,0.00808368,0,0.81894155,1,2.3866,2.463927847969579,500.0,1193.3,0.81085787,0.17905556,0.008083681648575869,0.0
45.76199296359371,0.0,20,0.9012883194249248,0.00805754,0,0.8269991,2,2.3776,2.4559760259416215,500.0,1188.8,0.81894155,0.16996865,0.008057544989612642,0.0
48.56449320233868,0.0,20,0.7765015355137699,0.00837721,0,0.83537631,3,2.3886,2.4641002495840136,500.0,1194.3,0.8269991,0.16243723,0.008377213953637441,0.0
48.47380736026416,0.0,20,0.8018467839711789,0.00830527,0,0.84368158,4,2.3914,2.469980979683852,500.0,1195.7,0.83537631,0.15494469,0.008305265476308832,0.0
71.13726168471766,0.0,20,0.3144831389273435,0.00819559,0,0.85187717,5,2.4286,2.512827499053606,500.0,1214.3,0.84368158,0.15208412,0.008195591818536685,0.0
63.70706397252976,0.0,20,0.19753735214736423,0.00770547,0,0.85958263,6,2.3882,2.485980844656692,500.0,1194.1,0.85187717,0.15030955,0.007705465329583161,0.0
50.465433714573386,0.0,20,0.330052095676173,0.00727219,0,0.86685482,7,2.4564,2.5280227530621633,500.0,1228.2,0.85958263,0.14738261,0.0072721896409534414,0.0
96.10015608728219,0.0,20,0.5441218292009324,0.00722447,0,0.87407929,8,2.4908,2.571831129759495,500.0,1245.4,0.86685482,0.14266036,0.007224469625486507,0.0
46.7524330917654,0.0,20,0.6281627272024934,0.00615886,0,0.88023815,9,2.4318,2.5192754434559155,500.0,1215.9,0.87407929,0.13736632,0.006158862290357003,0.0
61.57686253780717,0.0,20,0.6555706119799822,0.00425956,0,0.88449771,10,2.4786,2.567049286632417,500.0,1239.3,0.88023815,0.13201845,0.00425955500339259,0.0
48.93781768734687,0.0,20,0.6853863590565901,0.00491689,0,0.8894146,11,2.5026,2.595957095177037,500.0,1251.3,0.88449771,0.12661717,0.004916894296227214,0.0
57.563443260458286,0.0,20,0.4469429459608527,0.00525801,0,0.89467261,12,2.557,2.64328413153032,500.0,1278.5,0.8894146,0.12319762,0.005258005776725971,0.0
66.73792025527915,0.0,20,0.458706030200446,0.00544929,0,0.9001219,13,2.427,2.5238999583977177,500.0,1213.5,0.89467261,0.11977092,0.005449290551964303,0.0
49.97709475349683,0.0,20,0.2657426456960046,0.00538681,0,0.90550871,14,2.4554,2.56097849268595,500.0,1227.7,0.9001219,0.11782362,0.0053868086574920815,0.0
68.05703490455635,0.0,20,0.41469789028830917,0.00239074,0,0.90789945,15,2.4976,2.5886664984118752,500.0,1248.8,0.90550871,0.11483964,0.002390739330227265,0.0
66.52600995099587,0.0,20,0.20988504712924438,0.00325222,0,0.91115167,16,2.6094,2.6886858574403965,500.0,1304.7,0.90789945,0.11335461,0.0032522209451624207,0.0
71.35341617610189,0.0,20,0.1456036149537283,0.00337785,0,0.91452952,17,2.5846,2.661624098177652,500.0,1292.3,0.91115167,0.11233426,0.0033778491953263545,0.0
56.96279487525168,0.0,20,0.2276831737403171,0.00371982,0,0.91824934,18,2.5404,2.6308872723854972,500.0,1270.2,0.91452952,0.11075481,0.003719818350678916,0.0
62.35535261707691,0.0,20,0.16594728435757844,0.00394773,0,0.92219707,19,2.5718,2.6604970888914727,500.0,1285.9,0.91824934,0.1096159,0.003947734240919765,0.0
50.41616804161142,0.0,20,0.1153724602695867,0.00398437,0,0.92618144,20,2.5638,2.6425990161203043,500.0,1281.9,0.92219707,0.10883016,0.0039843692674984554,0.0
61.81221562118608,0.0,20,0.03677937537980824,0.00350675,0,0.92968819,21,2.649,2.7148478778745595,500.0,1324.5,0.92618144,0.10908011,0.003506751121565621,0.0
66.46833832735703,0.0,20,0.013809763865996416,0.0031068,0,0.93279499,22,2.5172,2.6157416080339435,500.0,1258.6,0.92968819,0.10917409,0.003106803020787141,0.0
78.18305442997223,0.0,20,0.06269675206943859,0.00322008,0,0.93601508,23,2.6118,2.7020919229367455,500.0,1305.9,0.93279499,0.10874799,0.0032200847220644757,0.0
51.234753829797995,0.0,20,0.2120943464083922,0.0028707,0,0.93888577,24,2.586,2.669495083344414,500.0,1293.0,0.93601508,0.10731736,0.002870695340968177,0.0
71.4744010118308,0.0,20,0.12608239407480326,0.00304709,0,0.94193286,25,2.6022,2.6825650336944307,500.0,1301.1,0.93888577,0.10647478,0.003047089127878322,0.0
74.30639272633277,0.0,20,0.17886386493539774,0.00233462,0,0.94426748,26,2.6312,2.7288068015160034,500.0,1315.6,0.94193286,0.10528946,0.002334617702539399,0.0
56.89288180431714,0.0,20,0.05700441752403407,0.00274658,0,0.94701406,27,2.604,2.696661639879946,500.0,1302.0,0.94426748,0.10491415,0.0027465801090560404,0.0
49.61965336436763,0.0,20,0.044491521646602195,0.00296676,0,0.94998082,28,2.6134,2.7082356692134453,500.0,1306.7,0.94701406,0.10462205,0.0029667619321872563,0.0
71.92739394695181,0.0,20,0.12389678046809749,0.0029824,0,0.95296322,29,2.651,2.717167458954269,500.0,1325.5,0.94998082,0.1038124,0.0029823995188866803,0.0
74.18214070785501,0.0,20,0.3079390433607223,0.00280967,0,0.95577289,30,2.6458,2.7191436813820635,500.0,1322.9,0.95296322,0.10182401,0.0028096653353488765,0.0
