WeightMax,DualReg,TimestepsMean,OmegaBefore,LossReg,ConfortViolation,DeltaOmega,DualBefore,ReturnsMean,ITERATIONS,NormDeltaVar,Traj,Primal,RewardStd,TimestepsStd,WeightMean,Eta,Omega,NormDeltaOmega,RewardMean,WeightMin,WeightMedian,DualAfter,ReturnsStd,Epsilon,Wins
1.0,0.0,500.0,[[0.8]],0.0,0,[[-0.5643326]],6.9560502700565925,1167.5353535353536,0,36.61251276372189,100,5.159065021991012,2.4102368759937267,0.0,0.0505927493894146,3.3512659511201797,[[0.2356674]],0.5643325975868878,2.33496,0.0505927493894146,0.09189050217516943,5.1590650201247215,58.174817199439005,0.4701,0.0
1.0,0.0,500.0,[[0.2356674]],0.0,0,[[-0.17568952]],9.451460696398753,2248.6464646464647,1,22.50494320688696,100,8.60472243607457,4.2770075811950585,0.0,0.07856153566382884,3.9310137474509634,[[0.05997788]],0.175689521147399,4.49752,0.07856153566382884,0.13066761712413352,8.604722170682106,129.75994254592393,0.4701,0.0
1.0,0.0,500.0,[[0.05997788]],0.0,0,[[-0.05997788]],10.221881703633626,4021.7373737373737,2,245.05934546033836,100,10.000000000001704,3.723471707962879,0.0,0.0,0.005077120008000004,[[2.26411532e-09]],0.05997787900159786,8.0438,0.0,1.0,10.001124635022702,135.96423964333275,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,3,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,4,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,5,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,6,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,7,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,8,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,9,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,10,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,11,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,12,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,13,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,14,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,15,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,16,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,17,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,18,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
1.0,0.0,500.0,[[2.26411532e-09]],0.0,0,[[0.]],10.468098088311146,4990.0,19,0.0,100,9.999999999997792,0.4467661580737735,0.0,0.0,0.004432769671480481,[[2.26411532e-09]],0.0,9.98,0.0,1.0,10.002074970605841,0.0,0.4701,0.0
