RewardStd,Epsilon,WeightMedian,WeightMax,TimestepsMean,ReturnsMean,WeightMean,RewardMean,OmegaBefore,ReturnsStd,LossReg,ITERATIONS,Omega,WeightMin,DualAfter,Primal,Eta,Wins,DualBefore,NormDeltaOmega,Traj,TimestepsStd,DeltaOmega,ConfortViolation,NormDeltaVar,DualReg
2.4022579295321305,1.8,0.004961458898136796,1.0,500.0,1168.6315789473683,0.0013167755301793877,2.3322,[[0.8]],59.0202556900379,0.0,0,[[0.97600965]],0.0013167755301793877,8.1071101379133,8.107110156573043,1.5077113454971076,0.0,8.25889734718286,0.1760096488424424,20,0.0,[[0.17600965]],0,33.136091384926345,0.0
2.887475236257447,1.8,7.248652103885452e-08,1.0,500.0,1425.578947368421,1.1893825722196142e-09,2.8474,[[0.97600965]],92.87814075696667,0.0,1,[[0.99999474]],1.1893825722196142e-09,8.19678175575761,8.196792377282872,0.486621994661092,0.0,8.320048682406885,0.023985086689141455,20,0.0,[[0.02398509]],0,120.6957765792854,0.0
2.9962277884032784,1.8,0.0,1.0,500.0,1492.2105263157894,0.0,2.9852,[[0.99999474]],66.55395828108864,0.0,2,[[0.99999994]],0.0,8.001874143648067,8.000000000000078,0.0046061062993545225,0.0,8.412194602070986,5.2085059398798705e-06,20,0.0,[[5.20850594e-06]],0,64.91513232117919,0.0
2.995323281383831,1.8,0.0,1.0,500.0,1495.6842105263158,0.0,2.9938,[[0.99999994]],76.24962649197833,0.0,3,[[0.99999994]],0.0,8.001882397247899,7.999999999999964,0.004599110589977887,0.0,8.414610817205041,0.0,20,0.0,[[0.]],0,0.0,0.0
3.0182347092298834,1.8,0.0,1.0,500.0,1518.3157894736842,0.0,3.0382,[[0.99999994]],60.3298412951047,0.0,4,[[0.99999996]],0.0,8.001970588382981,7.999999999999866,0.004525228758337704,0.0,8.440601407757566,1.2269208204962467e-08,20,0.0,[[1.22692082e-08]],0,3.5355339059327378,0.0
3.0002537492685515,1.8,0.0,1.0,500.0,1498.6315789473683,0.0,2.9912,[[0.99999996]],72.04400009812409,0.0,5,[[0.99999996]],0.0,8.001887853604268,7.99999999999993,0.004594416502085494,0.0,8.41618275751037,0.0,20,0.0,[[0.]],0,0.0,0.0
2.9729227100615985,1.8,0.0,1.0,500.0,1489.157894736842,0.0,2.9584,[[0.99999996]],64.51867388422048,0.0,6,[[0.99999996]],0.0,8.001802579996271,8.000000000000028,0.0046683377782395655,0.0,8.39162050762527,0.0,20,0.0,[[0.]],0,0.0,0.0
2.984189799593853,1.8,0.0,1.0,500.0,1485.157894736842,0.0,2.9682,[[0.99999996]],70.13465481553455,0.0,7,[[0.99999996]],0.0,8.001833787334352,8.000000000000018,0.004640922215834132,0.0,8.40053992232335,0.0,20,0.0,[[0.]],0,0.0,0.0
2.9853708312368834,1.8,0.0,1.0,500.0,1487.578947368421,0.0,2.981,[[0.99999996]],82.25910014573891,0.0,8,[[0.99999996]],0.0,8.001850617973124,8.0,0.00462640253505411,0.0,8.405403954276368,0.0,20,0.0,[[0.]],0,0.0,0.0
2.9378696431257803,1.8,0.0,1.0,500.0,1450.842105263158,0.0,2.9014,[[0.99999996]],94.75800933119044,0.0,9,[[0.99999996]],0.0,8.001670563340138,8.000000000000028,0.00478881292237039,0.0,8.354623958516356,0.0,20,0.0,[[0.]],0,0.0,0.0
2.9892868982417866,1.8,0.0,1.0,500.0,1490.421052631579,0.0,2.9872,[[0.99999996]],57.240320523463254,0.0,10,[[0.99999996]],0.0,8.001864505862134,8.00000000000013,0.004614436639066381,0.0,8.40942009055054,0.0,20,0.0,[[0.]],0,0.0,0.0
3.024724119651245,1.8,0.0,1.0,500.0,1517.8947368421052,0.0,3.038,[[0.99999996]],97.72027464944175,0.0,11,[[0.99999996]],0.0,8.00198098169769,7.9999999999999085,0.004516670573940904,0.0,8.443683149317378,0.0,20,0.0,[[0.]],0,0.0,0.0
3.019719192242882,1.8,0.0,1.0,500.0,1524.0,0.0,3.036,[[0.99999996]],79.63072667996285,0.0,12,[[0.99999996]],0.0,8.001970586902063,7.999999999999868,0.004525225357579257,0.0,8.440592227500717,0.0,20,0.0,[[0.]],0,0.0,0.0
3.057848387346894,1.8,0.0,1.0,500.0,1551.0526315789473,0.0,3.1018,[[0.99999996]],66.89935385118731,0.0,13,[[0.99999996]],0.0,8.002102305539518,8.000000000000012,0.004419012462312714,0.0,8.480578173775367,0.0,20,0.0,[[0.]],0,0.0,0.0
3.0060906440092587,1.8,0.0,1.0,500.0,1500.421052631579,0.0,3.0148,[[0.99999996]],80.7323816787511,0.0,14,[[0.99999996]],0.0,8.00192436877737,8.000000000000012,0.004563643125196241,0.0,8.426903304682002,0.0,20,0.0,[[0.]],0,0.0,0.0
3.0131623520812814,1.8,0.0,1.0,500.0,1516.6315789473683,0.0,3.0292,[[0.99999996]],86.0478511467928,0.0,15,[[0.99999996]],0.0,8.001952246465484,7.999999999999936,0.0045403972578209,0.0,8.435146172809286,0.0,20,0.0,[[0.]],0,0.0,0.0
3.017603791089877,1.8,0.0,1.0,500.0,1516.0,0.0,3.0356,[[0.99999996]],68.94696665210381,0.0,16,[[0.99999996]],0.0,8.001966673561661,8.00000000000012,0.004528456263779773,0.0,8.439432126480416,0.0,20,0.0,[[0.]],0,0.0,0.0
2.9919276996612063,1.8,0.0,1.0,500.0,1499.3684210526317,0.0,2.9808,[[0.99999996]],83.4595461578563,0.0,17,[[0.99999996]],0.0,8.001861718403363,8.00000000000007,0.004616771112380443,0.0,8.408595920796554,0.0,20,0.0,[[0.]],0,0.0,0.0
3.002665056245868,1.8,0.0,1.0,500.0,1497.0526315789473,0.0,2.9984,[[0.99999996]],77.63712736639842,0.0,18,[[0.99999996]],0.0,8.001900108267654,8.000000000000117,0.004584038323090804,0.0,8.419766217970938,0.0,20,0.0,[[0.]],0,0.0,0.0
2.954741213710602,1.8,0.0,1.0,500.0,1458.6315789473683,0.0,2.9206,[[0.99999996]],70.54689409129206,0.0,19,[[0.99999996]],0.0,8.001725068448401,7.999999999999997,0.004737960677886666,0.0,8.369736812700404,0.0,20,0.0,[[0.]],0,0.0,0.0
