Eta,Primal,Epsilon,WeightMax,ConfortViolation,Traj,NormDeltaVar,ITERATIONS,OmegaBefore,TimestepsMean,WeightMedian,ReturnsStd,TimestepsStd,RewardMean,WeightMean,DeltaOmega,NormDeltaOmega,DualReg,Wins,WeightMin,DualBefore,DualAfter,Omega,ReturnsMean,LossReg,RewardStd
1.000078539423267,9.465590220010418,0.001,1.0,0,249,0.019632220863078004,419,3.215849733734188,200.8951612903226,0.8717367129506558,16.62925108307616,1.6476696563832436,9.463255334370924,6.739009098530825e-05,-0.010083285794105112,0.010083285794105112,0.0001,99.59839357429718,6.739009098530825e-05,9.465711848754822,9.465711842595693,3.205766447940083,1901.1279424677464,0.0,0.06344801733065494
1.0000614414134257,9.469694120845457,0.001,1.0,0,250,0.17408308414255583,420,3.205766447940083,200.2008032128514,0.876325599502985,77.5763167055655,8.04204809159082,9.466951216845683,6.74694764413541e-05,-0.01040940925838063,0.01040940925838063,0.0001,98.4,6.74694764413541e-05,9.469832801139443,9.469832797369763,3.1953570386817023,1895.2885904564812,0.0,0.09602979813761028
1.0000293061070615,9.473080821112095,0.001,1.0,0,250,0.0696921010560672,421,3.1953570386817023,200.3975903614458,0.8796365616847309,58.93370753851541,6.0505363545373205,9.470552365447935,6.749491145734882e-05,-0.011068533112989165,0.011068533112989165,0.0001,98.8,6.749491145734882e-05,9.473251571449143,9.473251570591481,3.184288505568713,1897.8934190972634,0.0,0.08603661741024399
0.9999864459684015,9.476658678077854,0.001,1.0,0,249,0.043147309522873566,422,3.184288505568713,200.82258064516128,0.8830478004475597,23.81006473350882,2.384588918034403,9.47436844658629,6.748216998491826e-05,-0.010308315147085523,0.010308315147085523,0.0001,99.19678714859438,6.748216998491826e-05,9.476872207108014,9.476872206924549,3.1739801904216276,1902.681668101642,0.0,0.0745524905589459
1.0,9.479457811105181,0.001,1.0,0,249,0.07101712398416407,423,3.1739801904216276,200.9959677419355,0.863253470645292,3.6163577913555716,0.063371909860894,9.477271151622132,6.575908929455702e-05,-0.009955022042511086,0.009955022042511086,0.0001,99.59839357429718,6.575908929455702e-05,9.479651195966383,9.479651195966383,3.1640251683791165,1904.888728026499,0.0,0.0621809488478203
0.9999851563092301,9.483028317067648,0.001,1.0,0,250,0.0904563836901482,424,3.1640251683791165,200.71887550200802,0.8766967573623572,37.04043228231251,3.782394900761086,9.480591781218804,6.657467749502982e-05,-0.01000139486578222,0.01000139486578222,0.0001,98.8,6.657467749502982e-05,9.483243134033179,9.483243133813128,3.1540237735133343,1902.9325579441838,0.0,0.08545193276208998
0.9999425999074959,9.486156447919967,0.001,1.0,0,250,0.19546206888381182,425,3.1540237735133343,200.66265060240963,0.8781317808640003,51.40325470784221,5.312583625839296,9.484103146660928,6.643696120427344e-05,-0.009440896032497204,0.009440896032497204,0.0001,99.6,6.643696120427344e-05,9.486413747427342,9.486413744136682,3.144582877480837,1903.1082512526184,0.0,0.06095404284612541
1.0000523172445372,9.48875135529559,0.001,1.0,0,250,0.04582951003806032,426,3.144582877480837,200.3975903614458,0.8743584766947801,66.94855148805426,6.919978223326481,9.486174639615228,6.600877252791926e-05,-0.009982519493071162,0.009982519493071162,0.0001,98.8,6.600877252791926e-05,9.488899142280484,9.48889913954728,3.134600357987766,1900.9928813204276,0.0,0.08643733239690018
0.9999574221872234,9.492869789471015,0.001,1.0,0,250,0.09429668032166605,427,3.134600357987766,200.13654618473896,0.8772493262737169,104.06985798907075,10.849714046852542,9.490635078495648,6.593703217484385e-05,-0.010429183243186202,0.010429183243186202,0.0001,99.2,6.593703217484385e-05,9.49311229260036,9.49311229078977,3.1241711747445797,1899.4188973907515,0.0,0.07428855619027772
1.0001089666824787,9.49477496886484,0.001,1.0,0,250,0.046249700936171215,428,3.1241711747445797,200.28112449799198,0.8773099147973418,69.62750676373771,7.148544740588468,9.491782544887311,6.586242971307887e-05,-0.010688071648173647,0.010688071648173647,0.0001,98.0,6.586242971307887e-05,9.494866228577182,9.494866216721178,3.113483103096406,1901.0235779651566,0.0,0.10547193562935545
1.0000440237463901,9.49825279989222,0.001,1.0,0,250,0.4891620804868393,429,3.113483103096406,200.28112449799198,0.8819426082570784,64.09707174204736,6.601180764872626,9.49569240411118,6.595902127491389e-05,-0.00913160264428825,0.00913160264428825,0.0001,98.8,6.595902127491389e-05,9.498408862798039,9.498408860862673,3.104351500452118,1901.8053918313565,0.0,0.0864070892869249
1.0713637995685605,9.500466244914053,0.001,1.0,0,251,0.1422830224568224,430,3.104351500452118,199.884,0.876800229912711,83.89797969507055,8.625459060247172,9.497154724746173,0.00012313144433083906,-0.00973464318793038,0.00973464318793038,0.0001,97.21115537848605,0.00012313144433083906,9.50061681192925,9.500610331494002,3.0946168572641874,1898.3196218005605,0.0,0.12166627010598262
1.0582005924412643,9.502177891567971,0.001,1.0,0,250,0.06836171344185529,431,3.0946168572641874,200.29317269076304,0.87549304188417,60.235483012557346,6.157764678651481,9.499204555319688,0.00010990080252194183,-0.008154473191780642,0.008154473191780642,0.0001,98.0,0.00010990080252194183,9.502336884934305,9.502332481880446,3.086462384072407,1902.6290698103494,0.0,0.10601580932413276
1.0942300729578,9.503764591562446,0.001,1.0,0,251,0.09164896138817741,432,3.086462384072407,199.868,0.8867191579405381,88.11365688136858,9.031643039890362,9.500515190959577,0.0001492821800562609,-0.008051023091302234,0.008051023091302234,0.0001,97.60956175298804,0.0001492821800562609,9.503900841054733,9.503889088972578,3.0784113609811046,1898.8788044398525,0.0,0.11491319775796824
1.1407034017398008,9.506149866046247,0.001,1.0,0,251,0.03243470364963975,433,3.0784113609811046,199.72,0.8972908496118384,97.81322518240353,10.054730230095682,9.502467057987804,0.0002147216142130126,-0.008008853991093634,0.008008853991093634,0.0001,96.81274900398407,0.0002147216142130126,9.50627343345257,9.5062492205932,3.070402506990011,1897.828017079107,0.0,0.13038490547509068
1.0765256988702858,9.509433345194235,0.001,1.0,0,250,0.18223515703105964,434,3.070402506990011,200.37751004016064,0.8798522478778017,49.834983563448766,5.075539442010991,9.506249207189425,0.00012777042252771394,-0.008725084614611411,0.008725084614611411,0.0001,97.6,0.00012777042252771394,9.509580759544551,9.509573147258827,3.0616774223753995,1904.8283830396288,0.0,0.11450335946953032
