Traj,LossReg,ThetaBefore,WeightMean,Omega,Primal,TimestepsStd,Epsilon,OmegaBefore,Eta,ITERATIONS,Wins,NormDeltaOmega,NormDeltaVar,ReturnsMean,TimestepsMean,DualBefore,WeightMedian,DualAfter,RewardMean,ReturnsStd,RewardStd,WeightMin,DeltaOmega,ConfortViolation,WeightMax,Theta,DualReg
20,0.0,0.7081478226181048,0.6495774721525486,0.5847278700988862,3.1101859089219035,0.0,0.01,0.5507979025745755,23.178560871781073,0,0.0,0.033929967524310656,220.50469209387364,1333.0526315789473,500.0,7.929080308627023,0.7081165811211563,3.1101858917716596,2.662,75.41706751142051,3.054857770829928,0.6495774721525486,[[0.03392997]],0,1.0,0.9999999184242627,0.0
20,0.0,0.9999999184242627,0.672876578587042,0.5572589403361942,3.387848233177978,0.0,0.01,0.5847278700988862,25.240201146172375,1,0.0,0.027468929762691996,5.071386510735465e-07,1446.6315789473683,500.0,8.257883928862178,0.7283637602861892,3.3878482369213287,2.8978,95.9781831165241,3.3547511323494628,0.672876578587042,[[-0.02746893]],0,1.0,0.9999999184242656,0.0
20,0.0,0.9999999184242656,0.6832058537368983,0.5291603959836405,3.5706760158866664,0.0,0.01,0.5572589403361942,26.249539199193784,2,0.0,0.028098544352553656,4.610785708791809e-07,1532.421052631579,500.0,8.374720519038616,0.7372949563277057,3.5706762764715156,3.0594,80.02783449293634,3.512103591866276,0.6832058537368983,[[-0.02809854]],0,1.0,0.9999999184242683,0.0
20,0.0,0.9999999184242683,0.6939617051966007,0.5007019356464133,3.8354119870320487,0.0,0.01,0.5291603959836405,27.371875684219322,3,0.0,0.02845846033722721,4.308015775222884e-07,1650.2105263157894,500.0,8.514734134026849,0.7465663385342609,3.835411995806874,3.3002,107.44672067556793,3.691758383209822,0.6939617051966007,[[-0.02845846]],0,1.0,0.9999999184242707,0.0
20,0.0,0.9999999184242707,0.7014473250103425,0.4720769278818306,4.026355877623761,0.0,0.01,0.5007019356464133,28.20003640128427,4,0.0,0.02862500776458271,3.7334410762923653e-07,1733.4736842105262,500.0,8.611956325931992,0.7530018630079197,4.02635594088473,3.4734,88.87564844447884,3.825479373882442,0.7014473250103425,[[-0.02862501]],0,1.0,0.9999999184242729,0.0
20,0.0,0.9999999184242729,0.7097875559193244,0.4390909792418052,4.3258203001505215,0.0,0.01,0.4720769278818306,29.172416122592605,5,0.0,0.03298594864002541,5.117279613386927e-07,1874.2105263157894,500.0,8.741201358839652,0.7601559597258274,4.325820296029948,3.7516,109.02804030801987,3.9885708518214895,0.7097875559193244,[[-0.03298595]],0,1.0,0.9999999184242758,0.0
20,0.0,0.9999999184242758,0.7152712757007278,0.4120707159006304,4.5725622093347935,0.0,0.01,0.4390909792418052,29.842425873378563,6,0.0,0.0270202633411748,4.907184631974815e-07,1992.0,500.0,8.83739776691118,0.7648506283067389,4.5725621910754715,3.9834,120.72064315687904,4.10503647243237,0.7152712757007278,[[-0.02702026]],0,1.0,0.9999999184242787,0.0
20,0.0,0.9999999184242787,0.7213541359787534,0.37373422142110785,4.946819508937893,0.0,0.01,0.4120707159006304,30.616141682126248,7,0.0,0.03833649447952253,5.838497258991993e-07,2156.6315789473683,500.0,8.96771388828573,0.7700498152062569,4.946819448895199,4.3398,117.62393711195632,4.24802730217215,0.7213541359787534,[[-0.03833649]],0,1.0,0.999999918424282,0.0
20,0.0,0.999999918424282,0.7254421773383752,0.33513524557120783,5.335942394216948,0.0,0.01,0.37373422142110785,31.155180157119926,8,0.0,0.03859897584990002,6.195642754391883e-07,2358.2105263157896,500.0,9.088280721523317,0.773539047851947,5.335942600866262,4.7156,164.06532041501302,4.360082182711698,0.7254421773383752,[[-0.03859898]],0,1.0,0.9999999184242854,0.0
20,0.0,0.9999999184242854,0.7272638003847417,0.3043886428830956,5.658603133445668,0.0,0.01,0.33513524557120783,31.40052571427039,9,0.0,0.030746602688112246,5.675578336195031e-07,2517.684210526316,500.0,9.178794275925812,0.7750925754788407,5.658601661669404,5.0312,156.50695381610936,4.425090570824511,0.7272638003847417,[[-0.0307466]],0,1.0,0.9999999184242887,0.0
20,0.0,0.9999999184242887,0.7273624665029021,0.27158292567097986,6.052097938322249,0.0,0.01,0.3043886428830956,31.41390723554522,10,0.0,0.032805717212115726,6.910942715876445e-07,2706.4210526315787,500.0,9.278345420722784,0.7751766982833916,6.052098265915147,5.4218,103.2453979040502,4.464043543694438,0.7273624665029021,[[-0.03280572]],0,1.0,0.9999999184242927,0.0
20,0.0,0.9999999184242927,0.7252159588601854,0.2334240430105548,6.505838748035022,0.0,0.01,0.27158292567097986,31.124936678600456,11,0.0,0.03815888266042505,9.509211622571456e-07,2947.684210526316,500.0,9.383573858315845,1.0,6.505838736126469,5.8782,137.5779406398152,4.467120410286698,0.7252159588601854,[[-0.03815888]],0,1.0,0.999999918424298,0.0
20,0.0,0.999999918424298,0.7198546089241384,0.1997561132640624,6.961340494076066,0.0,0.01,0.2334240430105548,30.42232088679727,12,0.0,0.03366792974649241,1.1232395138449647e-06,3172.842105263158,500.0,9.478948260321395,1.0,6.961340493805912,6.3446,99.35860790082015,4.412170762787858,0.7198546089241384,[[-0.03366793]],0,1.0,0.9999999184243045,0.0
20,0.0,0.9999999184243045,0.7121353105793973,0.1698484227384658,7.371934751489718,0.0,0.01,0.1997561132640624,29.456179193995144,13,0.0,0.02990769052559661,1.3150094559932768e-06,3384.9473684210525,500.0,9.558818162532793,1.0,7.371933648746606,6.7716,101.07083169436463,4.316553421423162,0.7121353105793973,[[-0.02990769]],0,1.0,0.999999918424312,0.0
20,0.0,0.999999918424312,0.7014384126454016,0.14127112671346442,7.766272833588881,0.0,0.01,0.1698484227384658,28.19902602199746,14,0.0,0.028577296025001364,1.6549234658214118e-06,3603.7894736842104,500.0,9.631027004074861,1.0,7.766272452067418,7.1882,115.22772827267266,4.1792560055588845,0.7014384126454016,[[-0.0285773]],0,1.0,0.9999999184243216,0.0
