WeightMedian,ThetaBefore,Primal,NormDeltaVar,DualReg,NormDeltaOmega,WeightMin,WeightMax,OmegaBefore,DualBefore,DeltaOmega,RewardMean,ReturnsMean,Traj,Omega,TimestepsMean,Wins,Theta,ITERATIONS,ConfortViolation,Epsilon,Eta,LossReg,ReturnsStd,WeightMean,RewardStd,DualAfter,TimestepsStd
0.7543203931816521,0.8157523925185395,4.135213500155503,214.13850051854862,0.0,0.039532729349765094,0.7029829815884816,1.0,0.4131451899726525,8.616290862491475,[[0.03953273]],3.5778,1790.6315789473683,20,0.4526779193224176,500.0,0.0,0.999999930192573,0,0,0.01,28.37502510090514,0.0,121.5549304143326,0.7029829815884816,3.8638513377199186,4.135213604091059,0.0
0.7636004604632352,0.999999930192573,4.496471379850843,4.3431953145045554e-07,0.0,0.0332663933713131,0.7138101630018725,1.0,0.4526779193224176,8.809231273635127,[[-0.03326639]],3.9114,1945.8947368421052,20,0.4194115259511045,500.0,0.0,0.999999930192575,1,0,0.01,29.66142402704338,0.0,110.7685565952446,0.7138101630018725,4.072806162831715,4.496471367002366,0.0
0.7681458546052979,0.999999930192575,4.7776082974250205,4.175763592684234e-07,0.0,0.03074919588539904,0.7191253757641112,1.0,0.4194115259511045,8.912045244208734,[[-0.0307492]],4.1774,2082.842105263158,20,0.38866233006570544,500.0,0.0,0.9999999301925773,2,0,0.01,30.328804155588234,0.0,132.4876411943849,0.7191253757641112,4.192389442787967,4.77760825687864,0.0
0.7716942168936319,0.9999999301925773,5.117152398856805,4.82118963418543e-07,0.0,0.030753273448727025,0.7232801679032935,1.0,0.38866233006570544,9.021520802591901,[[-0.03075327]],4.504,2249.2631578947367,20,0.3579090566169784,500.0,0.0,0.9999999301925795,3,0,0.01,30.868139467389742,0.0,95.380038795096,0.7232801679032935,4.2990678059318865,5.117152355082986,0.0
0.7744935007569282,0.9999999301925795,5.470664077146184,5.086812961963005e-07,0.0,0.03769255282763867,0.7265612338920924,1.0,0.3579090566169784,9.127940036916032,[[-0.03769255]],4.8464,2420.7368421052633,20,0.32021650378933975,500.0,0.0,0.9999999301925819,4,0,0.01,31.30551707014008,0.0,93.06751488500059,0.7265612338920924,4.394224281941011,5.470664074229917,0.0
0.7752504283140472,0.9999999301925819,5.774467817899879,4.5525499103860056e-07,0.0,0.025160606294749976,0.7274489453255009,1.0,0.32021650378933975,9.208867920062378,[[-0.02516061]],5.1458,2574.1052631578946,20,0.29505589749458977,500.0,0.0,0.9999999301925842,5,0,0.01,31.425643751813066,0.0,106.37663709512343,0.7274489453255009,4.43940788394128,5.774467301950492,0.0
0.774821195507877,0.9999999301925842,6.197355384584126,6.634325870891189e-07,0.0,0.035658054900266745,0.7269455219675853,1.0,0.29505589749458977,9.313061547990143,[[-0.03565805]],5.5672,2791.7894736842104,20,0.259397842594323,500.0,0.0,0.9999999301925875,6,0,0.01,31.35742469160121,0.0,117.76496617253252,0.7269455219675853,4.469975856758065,6.197356341438029,0.0
1.0,0.9999999301925875,6.636163880220535,8.334839378676406e-07,0.0,0.03599654496546634,0.724022336447958,1.0,0.259397842594323,9.411790131002249,[[-0.03599654]],6.0108,3004.5263157894738,20,0.2234012976288567,500.0,0.0,0.9999999301925915,7,0,0.01,30.966172230259584,0.0,131.0762608163068,0.724022336447958,4.4573403908609,6.636163449594868,0.0
1.0,0.9999999301925915,7.200898342803275,1.2949350889357447e-06,0.0,0.040915842835703486,0.7156996471148853,1.0,0.2234012976288567,9.526108026121214,[[-0.04091584]],6.593,3290.4210526315787,20,0.1824854547931532,500.0,0.0,0.9999999301925979,8,0,0.01,29.895841039212755,0.0,147.196365726544,0.7156996471148853,4.361462025513922,7.200898343454568,0.0
1.0,0.9999999301925979,7.616200896071226,1.3097799467232107e-06,0.0,0.028678351504534683,0.7057306403370099,1.0,0.1824854547931532,9.60348767534429,[[-0.02867835]],7.0294,3520.6315789473683,20,0.15380710328861852,500.0,0.0,0.9999999301926044,9,0,0.01,28.69262263866602,0.0,119.02596378690517,0.7057306403370099,4.233005509091619,7.6162003233739695,0.0
1.0,0.9999999301926044,8.048628308212209,1.9832606596992264e-06,0.0,0.03168626668988275,0.6909710718250454,1.0,0.15380710328861852,9.68004574228757,[[-0.03168627]],7.4914,3748.9473684210525,20,0.12212083659873577,500.0,0.0,0.9999999301926139,10,0,0.01,27.052081618819223,0.0,128.4160482200072,0.6909710718250454,4.046446099974644,8.048628652063059,0.0
1.0,0.9999999301926139,8.442418542480276,2.5716936704611726e-06,0.0,0.026506834436865315,0.6710719651412502,1.0,0.12212083659873577,9.745703735523135,[[-0.02650683]],7.9218,3956.5263157894738,20,0.09561400216187045,500.0,0.0,0.9999999301926266,11,0,0.01,25.0702658645035,0.0,107.85339387630377,0.6710719651412502,3.808501642378535,8.442418539924493,0.0
1.0,0.9999999301926266,8.848644502175596,4.259293120867369e-06,0.0,0.025168612455982467,0.6397858206164552,1.0,0.09561400216187045,9.810250280255348,[[-0.02516861]],8.3784,4181.0526315789475,20,0.07044538970588798,500.0,0.0,0.9999999301926474,12,0,0.01,22.390308059794155,0.0,105.1582635260379,0.6397858206164552,3.4743651851813167,8.848644284009556,0.0
1.0,0.9999999301926474,9.181830982819758,6.992244379944168e-06,0.0,0.02139601495559925,0.5998097481843389,1.0,0.07044538970588798,9.862110682069527,[[-0.02139601]],8.7652,4385.894736842105,20,0.049049374750288734,500.0,0.0,0.9999999301926814,13,0,0.01,19.564005938417584,0.0,105.97809840113297,0.5998097481843389,3.1147502243358134,9.181829947095462,0.0
