Primal,NormDeltaOmega,DualReg,ReturnsStd,OmegaBefore,LossReg,NormDeltaVar,ThetaBefore,TimestepsStd,RewardStd,RewardMean,Eta,WeightMin,DeltaOmega,DualBefore,ITERATIONS,WeightMax,WeightMedian,WeightMean,Wins,Theta,DualAfter,Omega,TimestepsMean,ReturnsMean,ConfortViolation,Epsilon,Traj
2.3969085548938716,0.08734962095660649,0.0,28.547865233993985,0.08734964290217502,0.0,2.264897874987712,0.23047709955172804,0.0,2.089986401869639,2.0822,16.66334336013758,0.5487459676336102,[[-0.08734962]],7.087410452702564,0,1.0,0.6187241583114587,0.5487459676336102,0.0,0.2597869159057427,2.396908463527553,2.194556852801656e-08,500.0,1042.421052631579,0,0.01,20
2.5029022384831863,3.5116584087461137e-16,0.0,52.6797674134657,2.194556852801656e-08,0.0,1.1773577503757693,0.2597869159057427,0.0,2.2699837532458247,2.1624,17.965211673579365,0.5731365127461634,[[-3.51165841e-16]],7.337164092767397,1,1.0,0.640628803948529,0.5731365127461634,0.0,0.27594589369192635,2.502902202780856,2.194556817685072e-08,500.0,1082.0,0,0.01,20
2.516740174317937,3.189540447758123e-16,0.0,61.54916058708737,2.194556817685072e-08,0.0,0.6822690773421733,0.27594589369192635,0.0,2.313143307276918,2.1702,18.263456179577805,0.5783699925978903,[[-3.18954045e-16]],7.375477222102755,2,1.0,0.6453043638170564,0.5783699925978903,0.0,0.2855894560362281,2.5167401470531336,2.1945567857896675e-08,500.0,1084.7368421052631,0,0.01,20
2.5633085014556505,1.896843332150014e-16,0.0,56.22274655259113,2.1945567857896675e-08,0.0,0.27300698751004226,0.2855894560362281,0.0,2.368611196460914,2.209,18.64708972994581,0.5849220352691148,[[-1.89684333e-16]],7.434979340713852,3,1.0,0.651146013429343,0.5849220352691148,0.0,0.2895044557029231,2.5633084823726158,2.1945567668212342e-08,500.0,1104.9473684210527,0,0.01,20
2.622813205697884,2.44141070701993e-16,0.0,67.75677537647644,2.1945567668212342e-08,0.0,0.9252032159454462,0.2895044557029231,0.0,2.4625131146858896,2.2554,19.29246333551361,0.595509983119574,[[-2.44141071e-16]],7.524073143024262,4,1.0,0.660558426563021,0.595509983119574,0.0,0.3030052464314657,2.622813196724362,2.194556742407127e-08,500.0,1127.578947368421,0,0.01,20
2.715037669163493,3.3135668169259153e-16,0.0,72.13407031162869,2.194556742407127e-08,0.0,1.1406675531357173,0.3030052464314657,0.0,2.5906817558318505,2.3298,20.16722777878879,0.6090505729664413,[[-3.31356682e-16]],7.642806460885161,5,1.0,0.6725470698148135,0.6090505729664413,0.0,0.3201285647495559,2.715037666731689,2.194556709271459e-08,500.0,1170.2105263157894,0,0.01,20
2.7810778164707197,2.292642406201166e-16,0.0,58.23383943551775,2.194556709271459e-08,0.0,0.9440558646105863,0.3201285647495559,0.0,2.6847465727699515,2.3828,20.805268867266747,0.6183828731528686,[[-2.29264241e-16]],7.724657060223075,6,1.0,0.6807787047142074,0.6183828731528686,0.0,0.33467914327622267,2.7810778157506775,2.194556686345035e-08,500.0,1188.6315789473683,0,0.01,20
2.8349335359737378,1.815051084523505e-16,0.0,75.99956261719893,2.194556686345035e-08,0.0,1.089918899614199,0.33467914327622267,0.0,2.773280483470794,2.4244,21.40417069411026,0.626755562879663,[[-1.81505108e-16]],7.795736918793283,7,1.0,0.6881427803633272,0.626755562879663,0.0,0.35187608990584046,2.8349335357991183,2.194556668194524e-08,500.0,1210.5263157894738,0,0.01,20
2.937602396656824,2.163844296777351e-16,0.0,75.54844715171855,2.194556668194524e-08,0.0,1.3373126228571302,0.35187608990584046,0.0,2.905774003600418,2.5088,22.293163734970893,0.6385418854989734,[[-2.1638443e-16]],7.904029869617971,8,1.0,0.6984760388082967,0.6385418854989734,0.0,0.37350932540079596,2.9376022614689283,2.194556646556081e-08,500.0,1255.8947368421052,0,0.01,20
3.1542769627713074,2.856993625217635e-16,0.0,60.73346702289026,2.194556646556081e-08,0.0,1.4553742180510296,0.37350932540079596,0.0,3.1110823261366773,2.6974,23.647428464076025,0.6551579273972841,[[-2.85699363e-16]],8.077048857438669,9,1.0,0.7129791016092791,0.6551579273972841,0.0,0.3976384377632825,3.154276959792548,2.194556617986145e-08,500.0,1345.157894736842,0,0.01,20
