LossReg,Eta,NormDeltaVar,TimestepsStd,RewardStd,DualBefore,WeightMax,ReturnsMean,NormDeltaOmega,DualAfter,TimestepsMean,WeightMin,WeightMedian,Traj,DeltaOmega,Wins,Omega,Primal,ThetaBefore,ReturnsStd,Epsilon,Theta,OmegaBefore,RewardMean,DualReg,WeightMean,ConfortViolation,ITERATIONS
0.0,17.32160346322359,19.912112475970957,0.0,2.2552117771952154,6.395165488039571,1.0,1115.6842105263158,0.6535893346623055,2.5601205154592384,500.0,0.5614044106415738,0.6301162159389475,20,[[-0.65358933]],0.0,2.508023040246658e-07,2.560120515244133,0.11500694312440574,70.173508745394,0.01,0.3437246761984061,0.6535895854646095,2.2272,0.0,0.5614044106415738,0,0
0.0,21.891022821158046,1.037794894058834,0.0,2.8459929725844373,7.859548403732667,1.0,1242.6315789473683,2.621294661247429e-14,2.9025500579266668,500.0,0.6333017589900218,0.693886687451382,20,[[-2.62129466e-14]],0.0,2.508022778117192e-07,2.9025503628425513,0.3437246761984061,59.37588605549686,0.01,0.3602927435919368,2.508023040246658e-07,2.482,0.0,0.6333017589900218,0,1
0.0,22.57914077464447,1.0280646743647894,0.0,2.948989223445891,7.942696914786739,1.0,1268.842105263158,2.4084231266796304e-14,2.986321364153258,500.0,0.6421799945642914,0.7016578974008948,20,[[-2.40842313e-14]],0.0,2.508022537274879e-07,2.986321436023949,0.3602927435919368,63.71752064913645,0.01,0.3770404165982794,2.508022778117192e-07,2.5516,0.0,0.6421799945642914,0,2
0.0,23.38529934162332,1.3145783977708456,0.0,3.070292748257078,8.036142430937414,1.0,1314.842105263158,2.681298390527629e-14,3.0851681686514496,500.0,0.652059755395335,0.7102805419374231,20,[[-2.68129839e-14]],0.0,2.50802226914504e-07,3.085168175959104,0.3770404165982794,70.73245600436883,0.01,0.398886041115825,2.508022537274879e-07,2.6338,0.0,0.652059755395335,0,3
0.0,24.197473696738374,1.2690389317504636,0.0,3.193602980960532,8.130152573814025,1.0,1369.6842105263158,2.2890157221409332e-14,3.198216830733948,500.0,0.6614861172118075,0.7184831495626893,20,[[-2.28901572e-14]],0.0,2.508022040243468e-07,3.1982168307145273,0.398886041115825,67.7713280715913,0.01,0.4203647981716345,2.50802226914504e-07,2.73,0.0,0.6614861172118075,0,4
0.0,25.37898277759741,1.477807382935219,0.0,3.3764446152721064,8.275031147740656,1.0,1464.6315789473683,2.8288533140024733e-14,3.415373641549704,500.0,0.6743359670839434,0.7296272732482005,20,[[-2.82885331e-14]],0.0,2.5080217573581365e-07,3.4153788532190053,0.4203647981716345,71.92701748908644,0.01,0.44575693406608563,2.508022040243468e-07,2.9224,0.0,0.6743359670839434,0,5
0.0,26.524889591259875,1.8707068297842115,0.0,3.555588817622195,8.407515694594018,1.0,1557.3684210526317,2.512316588099817e-14,3.6275069747558577,500.0,0.6859130580808082,0.739631257669309,20,[[-2.51231659e-14]],0.0,2.5080215061264777e-07,3.6275069684190764,0.44575693406608563,83.67116747080787,0.01,0.47829364008124725,2.5080217573581365e-07,3.1104,0.0,0.6859130580808082,0,6
0.0,28.0008596522747,2.3614826812779715,0.0,3.793570977324663,8.590696927595163,1.0,1725.578947368421,2.4203734857220117e-14,3.986906069180633,500.0,0.6996802090577814,0.7514838848320667,20,[[-2.42037349e-14]],0.0,2.508021264089129e-07,3.986905906327603,0.47829364008124725,107.64772752360929,0.01,0.5195958928346355,2.5080215061264777e-07,3.4382,0.0,0.6996802090577814,0,7
0.0,28.77814083520833,1.6044736011759493,0.0,3.9213740397977848,8.686017474279721,1.0,1822.2105263157894,2.4856710226917853e-14,4.191322519432755,500.0,0.706461930011246,0.7573053253124156,20,[[-2.48567102e-14]],0.0,2.508021015522027e-07,4.191322251171565,0.5195958928346355,78.37533107282944,0.01,0.5475401822852934,2.508021264089129e-07,3.6258,0.0,0.706461930011246,0,8
0.0,29.96534880343887,2.6978004969332776,0.0,4.126564474232773,8.854685340177197,1.0,2006.842105263158,3.144808318852779e-14,4.617715025541922,500.0,0.7162551707024566,0.7656921878970308,20,[[-3.14480832e-14]],0.0,2.508020701041195e-07,4.617715048290814,0.5475401822852934,119.78632869796238,0.01,0.5937725061858409,2.508021015522027e-07,4.0258,0.0,0.7162551707024566,0,9
