WeightMax,NormDeltaVar,OmegaBefore,Omega,DualReg,Traj,ReturnsMean,RewardStd,ThetaBefore,WeightMean,DualBefore,WeightMedian,NormDeltaOmega,LossReg,ITERATIONS,Wins,Theta,ReturnsStd,Epsilon,WeightMin,DualAfter,ConfortViolation,TimestepsStd,DeltaOmega,Eta,RewardMean,Primal,TimestepsMean
1.0,0.9937096291761467,6.868144385714815e-08,6.868144193618179e-08,0.0,20,1225.6842105263158,2.8043430317990703,0.33920509223835665,0.6295806788552268,7.823713421511128,0.6906231201362283,1.9209663540317837e-15,0.0,7,0.0,0.35496647915119867,48.92642449485161,0.01,0.6295806788552268,2.8652135538385517,0,0.0,[[-1.92096635e-15]],21.612216437458407,2.4504,2.865214049797096,500.0
1.0,0.8337513990356307,6.868144193618179e-08,6.868144021067998e-08,0.0,20,1245.3684210526317,2.879089967333428,0.35496647915119867,0.6362290803828669,7.88329123960044,0.6964513949053657,1.7255018150451597e-15,0.0,8,0.0,0.36843970804224446,99.19476351115132,0.01,0.6362290803828669,2.91872474210549,0,0.0,[[-1.72550182e-15]],22.11427550386287,2.4936,2.9187249384461094,500.0
1.0,1.167953328585595,6.868144021067998e-08,6.868143813591047e-08,0.0,20,1290.5263157894738,2.997721207851057,0.36843970804224446,0.6462402247729593,7.9783828139002235,0.7052046860540381,2.074769511333256e-15,0.0,9,0.0,0.38765986286021153,71.87369654364277,0.01,0.6462402247729593,3.0180297699893632,0,0.0,[[-2.07476951e-15]],22.90510067473285,2.5766,3.0180298010075983,500.0
1.0,1.4404713237748892,6.868143813591047e-08,6.868143593027505e-08,0.0,20,1369.157894736842,3.168937007893972,0.38765986286021153,0.659601543641408,8.11631454824917,0.7168451160211606,2.2056354134697756e-15,0.0,10,0.0,0.41184908193912345,77.23188812230535,0.01,0.659601543641408,3.191612362211978,0,0.0,[[-2.20563541e-15]],24.031567018767394,2.7268,3.191612362792433,500.0
1.0,1.740142973719787,6.868143593027505e-08,6.868143394401475e-08,0.0,20,1437.157894736842,3.3442910818288523,0.41184908193912345,0.6721702139265653,8.249198024475742,0.7277520053594878,1.9862602990524652e-15,0.0,11,0.0,0.4416380891847902,72.49048079640652,0.01,0.6721702139265653,3.373240676046067,0,0.0,[[-1.9862603e-15]],25.173465568332546,2.8846,3.3732406700321227,500.0
1.0,1.422878999727806,6.868143394401475e-08,6.868143230864362e-08,0.0,20,1498.3157894736842,3.4733217530197225,0.4416380891847902,0.6807699345681655,8.342929122041596,0.7351911895998118,1.6353711302404182e-15,0.0,12,0.0,0.46632230219229626,84.43063339781172,0.01,0.6807699345681655,3.5120939607152435,0,0.0,[[-1.63537113e-15]],26.00571480798216,3.006,3.512093983446573,500.0
1.0,1.2127052898679562,6.868143230864362e-08,6.86814308780929e-08,0.0,20,1593.3684210526317,3.609909245396621,0.46632230219229626,0.68920850771399,8.448841109024666,0.7424727242049008,1.4305507285395662e-15,0.0,13,0.0,0.48749618412259316,104.5109969163738,0.01,0.68920850771399,3.7025663168230043,0,0.0,[[-1.43055073e-15]],26.866450603264383,3.1782,3.702566305024477,500.0
1.0,1.9137630737356137,6.86814308780929e-08,6.86814292992862e-08,0.0,20,1709.2631578947369,3.7916150859495223,0.48749618412259316,0.6996080478225557,8.586552261222279,0.7514218810034822,1.5788066935392496e-15,0.0,14,0.0,0.5209721185009191,97.40898159456785,0.01,0.6996080478225557,3.97328699325998,0,0.0,[[-1.57880669e-15]],27.992775321242565,3.4248,3.9732868177175855,500.0
1.0,2.119953449400051,6.86814292992862e-08,6.86814269923322e-08,0.0,20,1874.2105263157894,3.980878892907947,0.5209721185009191,0.7093744828133466,8.737642020483106,0.7598020304311044,2.3069540006094276e-15,0.0,15,0.0,0.5578237423454173,138.03721044756026,0.01,0.7093744828133466,4.321380985529435,0,0.0,[[-2.306954e-15]],29.12295854576299,3.7482,4.321380492714135,500.0
1.0,1.582825856183042,6.86814269923322e-08,6.868142500145412e-08,0.0,20,1980.842105263158,4.093049322937607,0.5578237423454173,0.714724886826036,8.827336288971068,0.7643831829371357,1.9908780844528793e-15,0.0,16,0.0,0.5849511882613035,113.53703924173112,0.01,0.714724886826036,4.545834860888041,0,0.0,[[-1.99087808e-15]],29.774524906749715,3.9582,4.545834876957998,500.0
1.0,1.8536233492196539,6.868142500145412e-08,6.868142288857437e-08,0.0,20,2124.1052631578946,4.212118972678716,0.5849511882613035,0.7199139924600767,8.932515911132048,0.7688196800764946,2.1128797470917134e-15,0.0,17,0.0,0.6160665841142928,113.91497047629412,0.01,0.7199139924600767,4.840216052505677,0,0.0,[[-2.11287975e-15]],30.429957433974952,4.2376,4.840216099376809,500.0
1.0,1.7228482019357836,6.868142288857437e-08,6.868142073098703e-08,0.0,20,2254.842105263158,4.304765726494301,0.6160665841142928,0.7235011415286583,9.026878831360474,0.7718828230434492,2.1575873371878774e-15,0.0,18,0.0,0.6441644309233703,97.73932202165143,0.01,0.7235011415286583,5.133647116860517,0,0.0,[[-2.15758734e-15]],30.897273336119955,4.5198,5.133647206943269,500.0
1.0,1.6618251586957982,6.868142073098703e-08,6.868141885616566e-08,0.0,20,2370.4210526315787,4.372407917841152,0.6441644309233703,0.7259293979070576,9.098031426897858,0.7739546386087213,1.8748213754939087e-15,0.0,19,0.0,0.670359847743752,99.83898394255343,0.01,0.7259293979070576,5.364868679546277,0,0.0,[[-1.87482138e-15]],31.220485231525533,4.743,5.364868679999574,500.0
1.0,2.5072255807427783,6.868141885616566e-08,6.868141606022984e-08,0.0,20,2590.7368421052633,4.443645705949114,0.670359847743752,0.7275092449267282,9.21729661043635,0.7753018374522359,2.7959358110801803e-15,0.0,20,0.0,0.7079232002920065,126.59793051657809,0.01,0.7275092449267282,5.806849377108148,0,0.0,[[-2.79593581e-15]],31.43383170647058,5.1778,5.806849313706167,500.0
1.0,2.5142528622232696,6.868141606022984e-08,6.868141289605758e-08,0.0,20,2797.7894736842104,4.469594773578473,0.7079232002920065,0.7267588644356133,9.320859001902123,1.0,3.1641722675915547e-15,0.0,21,0.0,0.7429420561906588,108.36953298169352,0.01,0.7267588644356133,6.231477365046089,0,0.0,[[-3.16417227e-15]],31.332193915478587,5.6016,6.231475489392095,500.0
