Theta,RewardStd,ReturnsStd,NormDeltaVar,TimestepsMean,TimestepsStd,WeightMedian,Traj,OmegaBefore,Epsilon,WeightMean,DualAfter,NormDeltaOmega,ITERATIONS,WeightMin,LossReg,ThetaBefore,ConfortViolation,Wins,Omega,ReturnsMean,Primal,DualReg,WeightMax,DualBefore,DeltaOmega,RewardMean,Eta
0.7154222898433942,4.449160981578437,143.17484419785598,1.4494147213515536,500.0,0.0,0.7751504292614306,20,0.01443741933499054,0.01,0.7273316557540261,5.9007998751251725,0.014437306427974639,0,0.7273316557540261,0.0,0.6943228533720279,0,0.0,1.1290701590230584e-07,2640.7368421052633,5.900799872390567,0.0,1.0,9.238560299883234,[[-0.01443731]],5.2716,31.4097275203334
0.7545657183534286,4.467728187792987,127.07613265403032,2.8749505131064126,500.0,0.0,1.0,20,1.1290701590230584e-07,0.01,0.725909187837154,6.380805915700769,1.0557924915582261e-14,1,0.725909187837154,0.0,0.7154222898433942,0,0.0,1.1290700534438092e-07,2873.157894736842,6.3808059170936104,0.0,1.0,9.354924652261147,[[-1.05579249e-14]],5.7522,31.217771786501817
0.7847555221699155,4.447808898772519,124.10789694093802,2.43549410725295,500.0,0.0,1.0,20,1.1290700534438092e-07,0.01,0.7229768932069421,6.737312798978392,9.690953262735848e-15,2,0.7229768932069421,0.0,0.7545657183534286,0,0.0,1.1290699565342766e-07,3057.5789473684213,6.737312423761759,0.0,1.0,9.433376358921276,[[-9.69095326e-15]],6.114,30.828229651381005
0.8184889836292755,4.357790265719542,115.5391552630188,3.0363692161441946,500.0,0.0,1.0,20,1.1290699565342766e-07,0.01,0.7154102732438024,7.215279098388363,1.4374942890656172e-14,3,0.7154102732438024,0.0,0.7847555221699155,0,0.0,1.1290698127848477e-07,3298.4210526315787,7.215280801169405,0.0,1.0,9.528861675382212,[[-1.43749429e-14]],6.608,29.859740546541545
0.8428270999897711,4.256343214544616,124.218643802547,2.4753110485793606,500.0,0.0,1.0,20,1.1290698127848477e-07,0.01,0.7074880765741369,7.5567105138373165,1.3883367465300927e-14,4,0.7074880765741369,0.0,0.8184889836292755,0,0.0,1.129069673951173e-07,3492.2105263157896,7.55671116997158,0.0,1.0,9.59292302193424,[[-1.38833675e-14]],6.9662,28.898852361813223
0.8679417174010631,4.109768728286301,126.28429431916604,2.906654911341075,500.0,0.0,1.0,20,1.129069673951173e-07,0.01,0.6960627797168433,7.91617920541313,1.8677387533337422e-14,5,0.6960627797168433,0.0,0.8428270999897711,0,0.0,1.1290694871772977e-07,3685.4736842105262,7.916179527025178,0.0,1.0,9.656976234726097,[[-1.86773875e-14]],7.349,27.60026041824427
0.8991236371019378,3.85353871655651,130.50067659900384,4.352052979221558,500.0,0.0,1.0,20,1.1290694871772977e-07,0.01,0.6750176574320771,8.373135813757129,3.4803273627998256e-14,6,0.6750176574320771,0.0,0.8679417174010631,0,0.0,1.1290691391445614e-07,3932.315789473684,8.373136675653218,0.0,1.0,9.734178196960103,[[-3.48032736e-14]],7.8456,25.44422892952855
0.922259466557733,3.5757375966365315,90.19240744159568,4.084641409414036,500.0,0.0,1.0,20,1.1290691391445614e-07,0.01,0.6498143056136483,8.736272728464998,4.291806497816332e-14,7,0.6498143056136483,0.0,0.8991236371019378,0,0.0,1.1290687099639116e-07,4130.526315789473,8.73627226109772,0.0,1.0,9.792513819465222,[[-4.2918065e-14]],8.2508,23.198161635152857
0.943588671442658,3.240337951510613,93.58824179762158,4.90815041033985,500.0,0.0,1.0,20,1.1290687099639116e-07,0.01,0.6146922176711652,9.073931908479159,7.036242442329144e-14,8,0.6146922176711652,0.0,0.922259466557733,0,0.0,1.1290680063396674e-07,4319.368421052632,9.07393149323848,0.0,1.0,9.845278355942,[[-7.03624244e-14]],8.6386,20.54934162395547
0.960476297963453,2.9053187019671354,76.0182220464442,5.3358345589282195,500.0,0.0,1.0,20,1.1290680063396674e-07,0.01,0.5727367494682237,9.337463806807609,1.0796036410704238e-13,9,0.5727367494682237,0.0,0.943588671442658,0,0.0,1.1290669267360263e-07,4474.421052631579,9.337463654199857,0.0,1.0,9.88604815190011,[[-1.07960364e-13]],8.9518,17.94272024974143
0.9745182805058961,2.5030980803795924,79.00559256476528,6.477902907177878,500.0,0.0,1.0,20,1.1290669267360263e-07,0.01,0.5103106488018838,9.576587714953366,2.0224329094893404e-13,10,0.5103106488018838,0.0,0.960476297963453,0,0.0,1.1290649043031169e-07,4626.105263157895,9.576587733837894,0.0,1.0,9.922933314921774,[[-2.02243291e-13]],9.25,14.864680347146733
0.9873838025717183,2.00898398201678,47.456759732637984,10.229933683726934,500.0,0.0,1.0,20,1.1290649043031169e-07,0.01,0.40611509913666716,9.788695813615167,6.087099826808059e-13,11,0.40611509913666716,0.0,0.9745182805058961,0,0.0,1.12905881720329e-07,4763.473684210527,9.78869590182358,0.0,1.0,9.957031252525912,[[-6.08709983e-13]],9.5344,11.097317587428538
0.9957599252058572,1.492313519338346,46.035996995726954,15.69782796245076,500.0,0.0,1.0,20,1.12905881720329e-07,0.01,0.2451293513353199,9.92931885099833,2.512878228886194e-12,12,0.2451293513353199,0.0,0.9873838025717183,0,0.0,1.1290336884210012e-07,4874.9473684210525,9.929318851078122,0.0,1.0,9.982119898091902,[[-2.51287823e-12]],9.7506,7.112531123194302
