DeltaOmega,RewardMean,TimestepsMean,NormDeltaVar,RewardStd,Wins,Omega,ConfortViolation,ReturnsStd,ITERATIONS,NormDeltaOmega,ReturnsMean,Traj,TimestepsStd,Theta,OmegaBefore
[[0.00275716]],2.8026,500.0,0.8077184632278289,2.8484791099813247,0.0,0.9465746961185935,0,70.64212624206607,67,0.0027571620067239344,1401.3,40,0.0,0.031596600006792055,0.9438175341118695
[[0.00247768]],2.8051,500.0,0.7676279029714834,2.8526503448547635,0.0,0.9490523728387955,0,76.84918672308771,68,0.002477676720202049,1402.55,40,0.0,0.029993177404666112,0.9465746961185935
[[0.00206636]],2.8266,500.0,0.7533349285803297,2.8761662747483845,0.0,0.9511187281972799,0,72.02159398402677,69,0.0020663553584844285,1413.3,40,0.0,0.0284964165217791,0.9490523728387955
[[0.00197431]],2.8272,500.0,0.7743677292928268,2.8685432121549086,0.0,0.9530930381919275,0,57.61978826757349,70,0.0019743099946475384,1413.6,40,0.0,0.027033512077103004,0.9511187281972799
[[0.00204681]],2.7464,500.0,0.7798947949633046,2.8217170375500094,0.0,0.9551398447661902,0,70.94899576456315,71,0.002046806574262705,1373.2,40,0.0,0.025634060368001928,0.9530930381919275
[[0.00225407]],2.8103,500.0,0.8000081549043756,2.862239317387699,0.0,0.9573939186459138,0,86.56314169437245,72,0.0022540738797236504,1405.15,40,0.0,0.024271878620314175,0.9551398447661902
[[0.00223361]],2.7925,500.0,0.7023668070247027,2.850498859848921,0.0,0.9596275289075471,0,82.12087128130095,73,0.0022336102616332676,1396.25,40,0.0,0.023134335663806686,0.9573939186459138
[[0.00241677]],2.8073,500.0,0.6740787401756378,2.8558828249772437,0.0,0.9620443021905678,0,66.2433204179863,74,0.002416773283020701,1403.65,40,0.0,0.022091639088983775,0.9596275289075471
[[0.00190789]],2.8492,500.0,0.6594705720941221,2.8955930929604046,0.0,0.9639521941519307,0,73.05778534831178,75,0.001907891961362873,1424.6,40,0.0,0.021116049820837944,0.9620443021905678
[[0.00179709]],2.8049,500.0,0.6176741955198679,2.8589396618326877,0.0,0.9657492860712531,0,68.37468464278281,76,0.0017970919193224244,1402.45,40,0.0,0.020240593244959807,0.9639521941519307
[[0.00178427]],2.8397,500.0,0.5738895610341643,2.886711608387648,0.0,0.9675335555896066,0,76.89393669204354,77,0.0017842695183535318,1419.85,40,0.0,0.019459107216824135,0.9657492860712531
[[0.00150257]],2.829,500.0,0.5314520862452738,2.8813120275319015,0.0,0.9690361261074202,0,72.35571850241003,78,0.0015025705178135507,1414.5,40,0.0,0.018761828659163166,0.9675335555896066
[[0.00154562]],2.8375,500.0,0.4891157071579215,2.8821508895267782,0.0,0.970581745830718,0,68.24029234990131,79,0.0015456197232978086,1418.75,40,0.0,0.01814178810544258,0.9690361261074202
[[0.00155703]],2.8774,500.0,0.4982979484306185,2.9238620418891177,0.0,0.9721387735506839,0,79.05257744058697,80,0.0015570277199659088,1438.7,40,0.0,0.017530798377640842,0.970581745830718
[[0.00146596]],2.8519,500.0,0.5044282433444778,2.8969063481583244,0.0,0.9736047377160404,0,80.43815947670608,81,0.0014659641653564925,1425.95,40,0.0,0.016932886204837752,0.9721387735506839
[[0.00143058]],2.8713,500.0,0.45881440607846,2.9179164330048937,0.0,0.9750353164333035,0,82.11928823364215,82,0.0014305787172631534,1435.65,40,0.0,0.016406473596293047,0.9736047377160404
[[0.00097418]],2.8912,500.0,0.4561586548244634,2.9229031047915357,0.0,0.9760094934934063,0,80.50118011557346,83,0.0009741770601027211,1445.6,40,0.0,0.01589906999658452,0.9750353164333035
[[0.00092168]],2.863,500.0,0.4676280489806999,2.909919414691754,0.0,0.9769311741299591,0,67.7521217379943,84,0.0009216806365528463,1431.5,40,0.0,0.01539493867862612,0.9760094934934063
[[0.00089641]],2.8824,500.0,0.47117867781974354,2.9209194168959884,0.0,0.9778275803349735,0,77.53167094807128,85,0.0008964062050144106,1441.2,40,0.0,0.014902901072179443,0.9769311741299591
[[0.00090736]],2.8981,500.0,0.4226268977552152,2.9346918730933234,0.0,0.9787349410839153,0,84.90463768252003,86,0.0009073607489418212,1449.05,40,0.0,0.014474761350929677,0.9778275803349735
[[0.00098831]],2.8985,500.0,0.3913651176733879,2.9311597960534326,0.0,0.9797232555945162,0,81.46985638872822,87,0.000988314510600885,1449.25,40,0.0,0.014089110813429907,0.9787349410839153
[[0.00096936]],2.9121,500.0,0.3869562379423357,2.9423585080679744,0.0,0.9806926116520203,0,77.5261085054577,88,0.0009693560575040339,1456.05,40,0.0,0.013717767071002652,0.9797232555945162
[[0.00098513]],2.8901,500.0,0.3746051180995664,2.9223829300760706,0.0,0.9816777444830997,0,72.48584344546182,89,0.0009851328310794827,1445.05,40,0.0,0.013367476111830399,0.9806926116520203
[[0.00091169]],2.8763,500.0,0.35918867630041973,2.9155271067167257,0.0,0.9825894296869635,0,79.91293700021292,90,0.0009116852038637546,1438.15,40,0.0,0.013039893113439567,0.9816777444830997
[[0.00067976]],2.9164,500.0,0.32264668915718886,2.939287505501971,0.0,0.9832691894779579,0,72.71285993550246,91,0.0006797597909944386,1458.2,40,0.0,0.012752398128201463,0.9825894296869635
[[0.00070904]],2.9055,500.0,0.2946468940188325,2.9405220199821662,0.0,0.9839782321050923,0,69.35948024603414,92,0.0007090426271343375,1452.75,40,0.0,0.012495323091706683,0.9832691894779579
[[0.0005236]],2.9024,500.0,0.324068490022988,2.937903034478844,0.0,0.9845018295789225,0,76.55168188877369,93,0.0005235974738302396,1451.2,40,0.0,0.01221848451862157,0.9839782321050923
[[0.00069489]],2.9257,500.0,0.3858219010369055,2.9504710657791575,0.0,0.9851967166284646,0,83.4264796092943,94,0.0006948870495421255,1462.85,40,0.0,0.011896782963413352,0.9845018295789225
[[0.00054193]],2.9249,500.0,0.3926381132085339,2.9470595497885688,0.0,0.985738648302616,0,82.8510561187967,95,0.0005419316741513969,1462.45,40,0.0,0.011577990614416434,0.9851967166284646
[[0.00058927]],2.9365,500.0,0.3764970655717548,2.949096090330052,0.0,0.9863279153242421,0,81.57718737490279,96,0.0005892670216260942,1468.25,40,0.0,0.011280237891790938,0.985738648302616
[[0.00056979]],2.9566,500.0,0.40655847293562886,2.9737041614794166,0.0,0.9868977086831077,0,73.38058326287684,97,0.0005697933588655335,1478.3,40,0.0,0.01096720869392243,0.9863279153242421
[[0.0005335]],2.9272,500.0,0.4649551063467925,2.9427028664138004,0.0,0.9874312087247225,0,89.4854178064784,98,0.0005335000416147873,1463.6,40,0.0,0.01061973644889846,0.9868977086831077
[[0.00042714]],2.9067,500.0,0.4360993056894813,2.940560339459131,0.0,0.9878583509463317,0,87.15433150452134,99,0.00042714222160922244,1453.35,40,0.0,0.010303736418305625,0.9874312087247225
