ITERATIONS,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaVar,RewardMean,RewardStd,ReturnsMean,NormDeltaOmega,TimestepsMean,ReturnsStd,Omega,Wins,Traj,TimestepsStd
0,0.2524481913160757,0,0.795343461913328,[[-0.01285253]],0.9899999989516353,4.5113,4.2836867660929645,2255.65,0.012852531655094673,500.0,138.25620239251475,0.23959565966098104,0.0,40,0.0
1,0.23959565966098104,0,0.806315278716387,[[-0.0124103]],0.9828891826338371,4.78,4.347919042484577,2390.0,0.012410296386074215,500.0,115.82314103839526,0.22718536327490682,0.0,40,0.0
2,0.22718536327490682,0,0.8162580283953612,[[-0.01187915]],0.9279275632970005,4.768,4.356578473986209,2384.0,0.011879148024829228,500.0,110.72578742099783,0.2153062152500776,0.0,40,0.0
3,0.2153062152500776,0,0.826024298280683,[[-0.01138733]],0.9501496380467493,5.0457,4.408481769271594,2522.85,0.01138732907607748,500.0,123.29954379477647,0.2039188861740001,0.0,40,0.0
4,0.2039188861740001,0,0.8355345699957297,[[-0.01069016]],0.9666111671985362,5.289,4.435727561516825,2644.5,0.010690162189627428,500.0,114.65317265562257,0.19322872398437269,0.0,40,0.0
5,0.19322872398437269,0,0.8446145768486614,[[-0.01036927]],0.9657206055054068,5.3173,4.439923502719388,2658.65,0.01036926959068632,500.0,115.9684332049028,0.18285945439368637,0.0,40,0.0
6,0.18285945439368637,0,0.8533677794571759,[[-0.00996258]],0.9755899143831748,5.5163,4.453654040223601,2758.15,0.009962578791140375,500.0,134.51497128572714,0.172896875602546,0.0,40,0.0
7,0.172896875602546,0,0.8618118012393327,[[-0.00959752]],0.9879619966183988,5.6836,4.458417997451563,2841.8,0.009597518107421266,500.0,136.8362525064173,0.16329935749512473,0.0,40,0.0
8,0.16329935749512473,0,0.8697471501859358,[[-0.00920855]],0.9757796270235666,5.8981,4.452933458968369,2949.05,0.009208551439569557,500.0,143.18169401149018,0.15409080605555517,0.0,40,0.0
9,0.15409080605555517,0,0.8770909225828855,[[-0.00862129]],0.949154429236998,6.063,4.441129473456049,3031.5,0.008621291980816348,500.0,99.23280707507976,0.14546951407473882,0.0,40,0.0
10,0.14546951407473882,0,0.8841220777730375,[[-0.00809944]],0.9556017179650489,6.2192,4.42013024242499,3109.6,0.008099435060821225,500.0,111.38330215970436,0.1373700790139176,0.0,40,0.0
11,0.1373700790139176,0,0.890777367268384,[[-0.00768393]],0.9521188400575582,6.4276,4.388753608941837,3213.8,0.007683925853138235,500.0,105.16158994613956,0.12968615316077936,0.0,40,0.0
12,0.12968615316077936,0,0.8970135885675422,[[-0.00738972]],0.9395390368902916,6.5495,4.3617255473034975,3274.75,0.007389716988421627,500.0,119.76450851567003,0.12229643617235773,0.0,40,0.0
13,0.12229643617235773,0,0.9030564049132034,[[-0.00703695]],0.9597391542382177,6.7053,4.329336197386385,3352.65,0.007036950742709075,500.0,146.0009503393728,0.11525948542964866,0.0,40,0.0
14,0.11525948542964866,0,0.9088455788118528,[[-0.00665264]],0.9709213572991509,6.8186,4.2968702610155685,3409.3,0.006652637379319107,500.0,122.21583367141918,0.10860684805032955,0.0,40,0.0
15,0.10860684805032955,0,0.9142733918420115,[[-0.0063253]],0.9620884269616568,6.9578,4.256644119491316,3478.9,0.006325296273878553,500.0,125.23094665457097,0.102281551776451,0.0,40,0.0
16,0.102281551776451,0,0.919446519978892,[[-0.00597302]],0.969774049949983,7.1403,4.191696066033414,3570.15,0.0059730187451989825,500.0,126.10502567304762,0.09630853303125202,0.0,40,0.0
17,0.09630853303125202,0,0.9243002125291738,[[-0.00562818]],0.9630143275898604,7.2932,4.128587380690882,3646.6,0.005628176984337777,500.0,108.21940676237327,0.09068035604691424,0.0,40,0.0
18,0.09068035604691424,0,0.9289293795572735,[[-0.00532004]],0.9728158588007929,7.4372,4.065569598469567,3718.6,0.005320036234326739,500.0,139.7155682091298,0.0853603198125875,0.0,40,0.0
19,0.0853603198125875,0,0.933242804180247,[[-0.00504189]],0.9606375979295976,7.5668,4.0038403764386015,3783.4,0.00504188885737511,500.0,113.89047370171045,0.08031843095521239,0.0,40,0.0
20,0.08031843095521239,0,0.9372950431461535,[[-0.00478499]],0.9564899835543486,7.6588,3.955803655390394,3829.4,0.004784987975295835,500.0,130.7480018967785,0.07553344297991656,0.0,40,0.0
21,0.07553344297991656,0,0.9411090148463178,[[-0.00450158]],0.9544763605772033,7.7922,3.8834545394532425,3896.1,0.004501577019731473,500.0,114.22604781747462,0.07103186596018508,0.0,40,0.0
22,0.07103186596018508,0,0.9446562437704554,[[-0.00419938]],0.9412327602898145,7.9236,3.8012317793052297,3961.8,0.004199382409435917,500.0,100.52541967084744,0.06683248355074917,0.0,40,0.0
23,0.06683248355074917,0,0.9480247422320277,[[-0.00392703]],0.947936536526214,8.0297,3.7342894786023217,4014.85,0.003927030198861647,500.0,113.15201058752778,0.06290545335188752,0.0,40,0.0
24,0.06290545335188752,0,0.9511732912270096,[[-0.00369461]],0.9400854824126625,8.1413,3.6571347131326735,4070.65,0.0036946118028431812,500.0,108.1336094838233,0.05921084154904434,0.0,40,0.0
25,0.05921084154904434,0,0.954130951706285,[[-0.00350446]],0.9370225083515891,8.2084,3.6070721423337235,4104.2,0.003504462350724727,500.0,121.97196399173049,0.05570637919831961,0.0,40,0.0
26,0.05570637919831961,0,0.9569241615056736,[[-0.00331636]],0.9393075231507027,8.3371,3.509496201736084,4168.55,0.003316356068066066,500.0,123.01868760477004,0.052390023130253545,0.0,40,0.0
27,0.052390023130253545,0,0.959511624143132,[[-0.00316121]],0.9235374147715092,8.3979,3.457495566157678,4198.95,0.0031612069207011956,500.0,120.66895831157241,0.04922881620955235,0.0,40,0.0
28,0.04922881620955235,0,0.9619509860046267,[[-0.00297188]],0.9239830794199335,8.4807,3.3865509755501986,4240.35,0.002971875722169025,500.0,114.07180852428,0.046256940487383325,0.0,40,0.0
29,0.046256940487383325,0,0.9641740293957723,[[-0.00279295]],0.8930058824050349,8.5636,3.31166952457518,4281.8,0.0027929548361106393,500.0,93.62136508297664,0.043463985651272685,0.0,40,0.0
30,0.043463985651272685,0,0.9662435905746108,[[-0.00258574]],0.8806702561894326,8.6871,3.1930696187211454,4343.55,0.0025857421930996147,500.0,95.10992324673593,0.04087824345817307,0.0,40,0.0
31,0.04087824345817307,0,0.9681873078710296,[[-0.00241886]],0.8759225188967221,8.7309,3.148394065233893,4365.45,0.002418858849429009,500.0,100.40217876122011,0.03845938460874406,0.0,40,0.0
32,0.03845938460874406,0,0.9700333548552481,[[-0.00226646]],0.8812184003752748,8.7862,3.091001384664847,4393.1,0.0022664612415232016,500.0,109.79612925782037,0.03619292336722086,0.0,40,0.0
33,0.03619292336722086,0,0.9717439169056776,[[-0.0020825]],0.8648288835673981,8.8366,3.036527694588014,4418.3,0.002082495140811623,500.0,87.77761673684243,0.03411042822640924,0.0,40,0.0
34,0.03411042822640924,0,0.9733296104457408,[[-0.00193806]],0.8483613223661379,8.9512,2.904757917624117,4475.6,0.0019380595479274454,500.0,86.629325288842,0.03217236867848179,0.0,40,0.0
35,0.03217236867848179,0,0.9748146715057057,[[-0.00180575]],0.8402416128970884,8.9816,2.8676927032023496,4490.8,0.0018057540330000364,500.0,91.68947595007836,0.030366614645481755,0.0,40,0.0
36,0.030366614645481755,0,0.9761803810576773,[[-0.00166504]],0.8164581359918586,8.9948,2.8506793856903654,4497.4,0.0016650428563514987,500.0,75.10019973342281,0.028701571789130256,0.0,40,0.0
37,0.028701571789130256,0,0.9774424401145652,[[-0.00158519]],0.7961618011513281,9.0749,2.7504163303034685,4537.45,0.0015851874236315379,500.0,90.85811741391079,0.02711638436549872,0.0,40,0.0
38,0.02711638436549872,0,0.9786069743479459,[[-0.00146735]],0.7742285033354932,9.1298,2.6765559885793535,4564.9,0.0014673547872470737,500.0,63.84348048156523,0.025649029578251645,0.0,40,0.0
39,0.025649029578251645,0,0.9796990395017002,[[-0.00135463]],0.7644582991651276,9.2269,2.5376596284766006,4613.45,0.0013546274315581822,500.0,67.37059818644926,0.024294402146693463,0.0,40,0.0
40,0.024294402146693463,0,0.9807209127030484,[[-0.00126846]],0.752710798656878,9.207,2.566778330904327,4603.5,0.0012684583368690015,500.0,75.76641736283959,0.02302594380982446,0.0,40,0.0
41,0.02302594380982446,0,0.9816728470443958,[[-0.00117512]],0.7372485320203452,9.2689,2.474771260136985,4634.45,0.0011751155040531473,500.0,64.57319490314848,0.021850828305771314,0.0,40,0.0
42,0.021850828305771314,0,0.9825927347863348,[[-0.0010988]],0.7490384395575944,9.3099,2.4103032983423476,4654.95,0.0010988029638841906,500.0,82.27513293820923,0.020752025341887123,0.0,40,0.0
43,0.020752025341887123,0,0.983452712463369,[[-0.00102604]],0.736289953263757,9.3234,2.3893539796354997,4661.7,0.0010260387929392524,500.0,69.18894420353587,0.01972598654894787,0.0,40,0.0
44,0.01972598654894787,0,0.9842719656625687,[[-0.00097139]],0.7372876806755428,9.352,2.3423270480443166,4676.0,0.0009713867498423803,500.0,83.68631907307191,0.01875459979910549,0.0,40,0.0
45,0.01875459979910549,0,0.9850374670573531,[[-0.00091695]],0.7238986483105521,9.3788,2.2975879874337783,4689.4,0.0009169490075467829,500.0,74.14337461971905,0.017837650791558708,0.0,40,0.0
46,0.017837650791558708,0,0.9857405546199756,[[-0.00087585]],0.6977609208289337,9.4222,2.222104218978039,4711.1,0.0008758527559679374,500.0,69.60452571492746,0.01696179803559077,0.0,40,0.0
47,0.01696179803559077,0,0.9864018621803701,[[-0.00081681]],0.6879615913971691,9.4279,2.2110860657152176,4713.95,0.0008168114810323153,500.0,67.75468618479464,0.016144986554558455,0.0,40,0.0
48,0.016144986554558455,0,0.9870397991385201,[[-0.00076233]],0.6956598746233311,9.4353,2.198388935106798,4717.65,0.0007623280737330818,500.0,74.1483479249538,0.015382658480825373,0.0,40,0.0
49,0.015382658480825373,0,0.9876242409094991,[[-0.00071447]],0.6676497519018483,9.4662,2.1416483278073457,4733.1,0.0007144735237528572,500.0,53.01877026110659,0.014668184957072516,0.0,40,0.0
50,0.014668184957072516,0,0.988173965458298,[[-0.00066735]],0.6570383886405295,9.5045,2.0682068924553945,4752.25,0.000667353247856755,500.0,58.48108668620993,0.01400083170921576,0.0,40,0.0
51,0.01400083170921576,0,0.9887021570587279,[[-0.00063105]],0.6603710120542345,9.5382,2.001784393984527,4769.1,0.0006310491487433005,500.0,69.02311207124755,0.01336978256047246,0.0,40,0.0
52,0.01336978256047246,0,0.9891985987120785,[[-0.00058793]],0.6491133027830926,9.5439,1.9892141136639867,4771.95,0.0005879262052677376,500.0,54.19130465305297,0.012781856355204723,0.0,40,0.0
