NormDeltaVar,ITERATIONS,ReturnsMean,Wins,Traj,NormDeltaOmega,RewardStd,ConfortViolation,OmegaBefore,TimestepsMean,ReturnsStd,DeltaOmega,Theta,RewardMean,Omega,TimestepsStd
1.271723184735503,50,2636.55,0.0,40,0.011978743361297284,4.4371856384424575,0,0.18458569859579516,500.0,129.87454523500747,[[-0.01197874]],0.8254524029382726,5.2731,0.17260695523449787,0.0
1.2727727648990523,51,2702.95,0.0,40,0.011426396433719954,4.45259982369851,0,0.17260695523449787,500.0,121.29632104890896,[[-0.0114264]],0.83791940783535,5.4059,0.16118055880077792,0.0
1.27538004723489,52,2845.3,0.0,40,0.010806941572505724,4.453388781590935,0,0.16118055880077792,500.0,132.47305386379526,[[-0.01080694]],0.8496814535170263,5.6906,0.1503736172282722,0.0
1.2563973189999906,53,2922.25,0.0,40,0.010315697832025905,4.456054280414456,0,0.1503736172282722,500.0,122.60684116312596,[[-0.0103157]],0.8605724439527794,5.8445,0.1400579193962463,0.0
1.240697626115871,54,3059.1,0.0,40,0.00998148436665866,4.433151109538225,0,0.1400579193962463,500.0,132.77797257075437,[[-0.00998148]],0.8706706448221132,6.1182,0.13007643502958763,0.0
1.244318296205197,55,3145.3,0.0,40,0.00946460148858104,4.413156652556081,0,0.13007643502958763,500.0,154.6347632325927,[[-0.0094646]],0.8801660723242941,6.2906,0.12061183354100659,0.0
1.2382053853106392,56,3212.25,0.0,40,0.008610925067035494,4.390216367105385,0,0.12061183354100659,500.0,114.52876276289724,[[-0.00861093]],0.8890109630359573,6.4245,0.1120009084739711,0.0
1.214742039685131,57,3357.85,0.0,40,0.008248348203982792,4.322635019290895,0,0.1120009084739711,500.0,141.66043025488804,[[-0.00824835]],0.8971277256190725,6.7157,0.1037525602699883,0.0
1.1971237839674025,58,3414.1,0.0,40,0.007755961719314322,4.295682106487862,0,0.1037525602699883,500.0,126.94876919450617,[[-0.00775596]],0.9046081519974905,6.8282,0.09599659855067398,0.0
1.2015491721067164,59,3560.9,0.0,40,0.0073099786355509955,4.197090034774093,0,0.09599659855067398,500.0,157.95565833486307,[[-0.00730998]],0.9116231944912012,7.1218,0.08868661991512299,0.0
1.1732717933825185,60,3634.25,0.0,40,0.006791880147062057,4.14114811978514,0,0.08868661991512299,500.0,122.30387360995562,[[-0.00679188]],0.9180201768897993,7.2685,0.08189473976806093,0.0
1.16530340824567,61,3718.2,0.0,40,0.006248714820376866,4.067622775037036,0,0.08189473976806093,500.0,130.0359950167645,[[-0.00624871]],0.9239535492108414,7.4364,0.07564602494768406,0.0
1.1228588223464655,62,3797.5,0.0,40,0.0057684898690328335,3.991938752035156,0,0.07564602494768406,500.0,110.51221651926089,[[-0.00576849]],0.9292955010677273,7.595,0.06987753507865123,0.0
1.102522340848914,63,3850.3,0.0,40,0.00527140748095567,3.9336954177973666,0,0.06987753507865123,500.0,108.23636172747123,[[-0.00527141]],0.9342014397730793,7.7006,0.06460612759769556,0.0
1.0741885189880662,64,3974.1,0.0,40,0.004844283954030401,3.786095186336446,0,0.06460612759769556,500.0,105.20641615414908,[[-0.00484428]],0.9386753230652916,7.9482,0.05976184364366516,0.0
1.049843441623473,65,4005.6,0.0,40,0.004411039443599579,3.744953211990772,0,0.05976184364366516,500.0,99.89013965352136,[[-0.00441104]],0.942771740307859,8.0112,0.05535080420006558,0.0
1.0308649612055305,66,4113.3,0.0,40,0.0040641497718005015,3.59258297607724,0,0.05535080420006558,500.0,110.78767982045657,[[-0.00406415]],0.946542904316413,8.2266,0.05128665442826508,0.0
1.0378576558770902,67,4134.2,0.0,40,0.003741937417742383,3.562016485082572,0,0.05128665442826508,500.0,127.57256758410092,[[-0.00374194]],0.95010193017661,8.2684,0.047544717010522694,0.0
1.0253634068074504,68,4179.2,0.0,40,0.0034506487904907013,3.4899211223178095,0,0.047544717010522694,500.0,107.6901109666064,[[-0.00345065]],0.9533968183531715,8.3584,0.04409406822003199,0.0
1.0225673772627957,69,4210.1,0.0,40,0.0031052215096374,3.4391615199056877,0,0.04409406822003199,500.0,98.2272365487292,[[-0.00310522]],0.956475955062166,8.4202,0.04098884671039459,0.0
0.9964035180966349,70,4292.75,0.0,40,0.0028221814650544533,3.293416121597755,0,0.04098884671039459,500.0,95.30444638105821,[[-0.00282218]],0.9592888553036386,8.5855,0.03816666524534014,0.0
