Traj,Omega,NormDeltaVar,ReturnsStd,NormDeltaOmega,RewardMean,DeltaOmega,RewardStd,Theta,OmegaBefore,Wins,ITERATIONS,TimestepsMean,TimestepsStd,ReturnsMean,ConfortViolation
40,0.8792151484824082,0.9899999580179264,53.80696980875247,0.007554890183530283,2.1838,[[0.00755489]],2.189478832964594,0.3964501421926566,0.8716602582988779,0.0,0,500.0,0.0,1091.9,0
40,0.8853113692154462,0.9899198721630169,51.7702617339337,0.006096220733037949,2.1984,[[0.00609622]],2.2010537112937523,0.37999422100749963,0.8792151484824082,0.0,1,500.0,0.0,1099.2,0
40,0.8905043362135432,0.8326050322478942,61.812438068725285,0.005192966998097015,2.1993,[[0.00519297]],2.2001998795564006,0.3663621837022083,0.8853113692154462,0.0,2,500.0,0.0,1099.65,0
40,0.8928276061542786,0.7662430753074769,54.39439309340624,0.002323269940735395,2.205,[[0.00232327]],2.2054421325439484,0.3540023940732205,0.8905043362135432,0.0,3,500.0,0.0,1102.5,0
40,0.8963965756258208,0.8118019792195295,46.601260712560126,0.0035689694715421716,2.2253,[[0.00356897]],2.23594273406096,0.34111749216560944,0.8928276061542786,0.0,4,500.0,0.0,1112.65,0
40,0.8997299419837702,0.7865473517710821,53.66665631469879,0.003333366357949452,2.2286,[[0.00333337]],2.2407458668934326,0.32885317031169503,0.8963965756258208,0.0,5,500.0,0.0,1114.3,0
40,0.9038348455299129,0.8470671797465492,58.46860268554397,0.00410490354614268,2.2617,[[0.0041049]],2.2784453274107768,0.31590153878394545,0.8997299419837702,0.0,6,500.0,0.0,1130.85,0
40,0.9076893746781176,0.8643088030069404,51.927256811813194,0.0038545291482047217,2.2428,[[0.00385453]],2.2784749636544177,0.30297459676156335,0.9038348455299129,0.0,7,500.0,0.0,1121.4,0
40,0.9096149015188139,0.8583054626207005,55.694681074587365,0.0019255268406962456,2.2769,[[0.00192553]],2.3158424795309376,0.29043871589111714,0.9076893746781176,0.0,8,500.0,0.0,1138.45,0
40,0.9119901069810162,0.8052195281000607,62.21221744962963,0.002375205462202379,2.2816,[[0.00237521]],2.3285835694687878,0.2789613212625888,0.9096149015188139,0.0,9,500.0,0.0,1140.8,0
40,0.914628934616567,0.7996669635061693,56.502654804885054,0.002638827635550789,2.307,[[0.00263883]],2.3545171479519955,0.26784253981960504,0.9119901069810162,0.0,10,500.0,0.0,1153.5,0
40,0.9172000582862823,0.79700124710007,55.47215517716974,0.002571123669715236,2.3416,[[0.00257112]],2.392009498308901,0.257044597612457,0.914628934616567,0.0,11,500.0,0.0,1170.8,0
40,0.919823688479701,0.8180158915448192,61.066991902336234,0.0026236301934187134,2.3343,[[0.00262363]],2.3939180249122987,0.24626223897713018,0.9172000582862823,0.0,12,500.0,0.0,1167.15,0
40,0.9225585084792353,0.8311893916184037,53.073887176275306,0.002734819999534288,2.3475,[[0.00273482]],2.4052117890115206,0.23562250745431007,0.919823688479701,0.0,13,500.0,0.0,1173.75,0
40,0.9248926734701565,0.8579480854423736,59.053683204352296,0.002334164990921206,2.3745,[[0.00233416]],2.4418742289479205,0.22497828644233825,0.9225585084792353,0.0,14,500.0,0.0,1187.25,0
40,0.9265730057221493,0.8928306783766686,66.18942513725285,0.001680332251992822,2.3692,[[0.00168033]],2.4312324775718177,0.2142684879535545,0.9248926734701565,0.0,15,500.0,0.0,1184.6,0
40,0.928763539371523,0.8181736826861901,65.28636917458346,0.002190533649373716,2.4006,[[0.00219053]],2.4732002830341098,0.20478408987045313,0.9265730057221493,0.0,16,500.0,0.0,1200.3,0
40,0.9309433731626655,0.8427330209833741,72.17000762089471,0.0021798337911425048,2.4334,[[0.00217983]],2.5115263168041855,0.1953446255358028,0.928763539371523,0.0,17,500.0,0.0,1216.7,0
40,0.9328789313282612,0.8487484091676691,59.823991842738145,0.0019355581655956522,2.4346,[[0.00193556]],2.5111596603959696,0.1861745613048534,0.9309433731626655,0.0,18,500.0,0.0,1217.3,0
40,0.935178278396517,0.8477694240482094,58.912625981193536,0.0022993470682558526,2.4569,[[0.00229935]],2.5387875826858775,0.17735009292718507,0.9328789313282612,0.0,19,500.0,0.0,1228.45,0
40,0.9370453314252287,0.8366701856151728,54.21344390462572,0.001867053028711707,2.4809,[[0.00186705]],2.5672816732879156,0.16896617771947162,0.935178278396517,0.0,20,500.0,0.0,1240.45,0
40,0.9391960536517902,0.8595261113729755,73.30238740996094,0.00215072222656143,2.5172,[[0.00215072]],2.586678209596238,0.1606851883723613,0.9370453314252287,0.0,21,500.0,0.0,1258.6,0
40,0.9405478092856766,0.8487473545538862,48.108627084962635,0.0013517556338864534,2.4972,[[0.00135176]],2.574488718172989,0.1528331224060544,0.9391960536517902,0.0,22,500.0,0.0,1248.6,0
40,0.9421608807427423,0.8397037697830605,58.67742325630872,0.0016130714570656846,2.5032,[[0.00161307]],2.576429653609817,0.14537696640318157,0.9405478092856766,0.0,23,500.0,0.0,1251.6,0
40,0.9428448067082703,0.7681069164358014,59.62128395128706,0.0006839259655280205,2.5239,[[0.00068393]],2.6069385857745098,0.13882329833983567,0.9421608807427423,0.0,24,500.0,0.0,1261.95,0
40,0.9440567585222446,0.7462068940104309,65.02982008278971,0.0012119518139742658,2.5613,[[0.00121195]],2.6399890738410265,0.1326955911040611,0.9428448067082703,0.0,25,500.0,0.0,1280.65,0
