Traj,Wins,DeltaOmega,NormDeltaOmega,ITERATIONS,TimestepsStd,TimestepsMean,RewardMean,NormDeltaVar,Omega,ConfortViolation,OmegaBefore,RewardStd,ReturnsStd,ReturnsMean
250,0.0,-0.10000000148914534,0.10000000148914534,0,11.327590388074597,21.736,6.4003133530928125,0.3162277665411966,7.899999998510855,0,8.0,1.4120654141526994,76.27373669206965,139.11721104282537
250,0.0,-0.09918304484722462,0.09918304484722462,1,14.324752842544964,27.116,6.537446912324114,0.29580357837385535,7.80081695366363,0,7.899999998510855,1.2863464287215929,97.64404013641922,177.2694104745807
250,0.0,-0.09669701083795079,0.09669701083795079,2,17.878986995912268,33.768,6.660119054056216,0.29802158323593697,7.704119942825679,0,7.80081695366363,1.171381921582974,123.46936967734464,224.8989002173703
250,0.0,-0.09642161425271834,0.09642161425271834,3,20.772857675341637,37.128,6.752359497550235,0.27639468589592736,7.607698328572961,0,7.704119942825679,1.1315882191468174,145.24285237530648,250.70160342504514
250,0.0,-0.09771475890177417,0.09771475890177417,4,21.391289442200534,40.144,6.837250668526546,0.271342743114076,7.509983569671187,0,7.607698328572961,1.101137573819824,150.87163352626442,274.4745908373297
250,0.0,-0.09824515573694814,0.09824515573694814,5,21.563973288798145,45.084,6.933268073635901,0.2646582733935238,7.411738413934239,0,7.509983569671187,1.0527707526181806,154.30434955950395,312.57945783180094
250,0.0,-0.09944366403740634,0.09944366403740634,6,18.733841464045756,44.428,6.996820332361699,0.22962029588530453,7.312294749896832,0,7.411738413934239,1.0700967975929512,135.2922700808432,310.8547337261655
250,0.0,-0.0999709273306717,0.0999709273306717,7,24.919544458115602,51.452,7.10161821182977,0.2151655684659863,7.212323822566161,0,7.312294749896832,1.0080465168199937,182.15798935029895,365.3924602350653
250,0.0,-0.10096312624233228,0.10096312624233228,8,23.772826167706693,52.856,7.174081570002972,0.20251668935249198,7.111360696323828,0,7.212323822566161,1.004632984798255,175.54489587705947,379.193255464077
250,0.0,-0.10201211277613531,0.10201211277613531,9,21.96936922171413,52.896,7.244982338290141,0.19737676098517234,7.009348583547693,0,7.111360696323828,1.0139258197612928,163.80691656717372,383.2305857661953
250,0.0,-0.10304935983033303,0.10304935983033303,10,20.51142471892189,56.116,7.325780948869464,0.19922896478630736,6.90629922371736,0,7.009348583547693,0.9949152566473207,154.3569838673602,411.0935237267588
250,0.0,-0.10406770183135006,0.10406770183135006,11,24.08293171522105,59.58,7.404406353234787,0.2045347853512374,6.80223152188601,0,6.90629922371736,0.9755473161741017,183.18507304871022,441.1545305257286
250,0.4,-0.10491945021796845,0.10491945021796845,12,28.997114615078516,65.188,7.488346148276568,0.22131030724368445,6.697312071668041,0,6.80223152188601,0.941193539791987,222.74211665340306,488.1503087138529
250,0.0,-0.10592915328040498,0.10592915328040498,13,24.895212391140593,64.02,7.5504191360694675,0.23452019604929752,6.5913829183876365,0,6.697312071668041,0.9594675376683052,192.91894896803873,483.37783309116736
250,0.0,-0.10699616936951273,0.10699616936951273,14,27.783575291887832,68.788,7.6313182195170075,0.2451151516570326,6.484386749018124,0,6.5913829183876365,0.9353823915714622,217.2528844009431,524.9431176841359
250,0.4,-0.10800175167572679,0.10800175167572679,15,27.145934796945195,71.332,7.701702012389643,0.257668517539778,6.376384997342397,0,6.484386749018124,0.9250246851128143,214.32328287961127,549.377807947778
250,1.2,-0.10885757085024661,0.10885757085024661,16,32.55211206665399,82.8,7.79340372097984,0.2655352630048481,6.26752742649215,0,6.376384997342397,0.8652431738418265,259.494939810996,645.2938280971307
250,1.2,-0.109862862382899,0.109862862382899,17,36.66468186143172,91.652,7.867617385402741,0.2695882898459571,6.157664564109251,0,6.26752742649215,0.8303192626337658,294.55423871483544,721.082868606932
250,4.0,-0.11079749352939494,0.11079749352939494,18,38.009380105442396,102.468,7.948081232141935,0.27491934318630973,6.046867070579856,0,6.157664564109251,0.7823524731952117,308.86729100325203,814.4239876951198
250,8.0,-0.11204430103549523,0.11204430103549523,19,46.67305929548651,112.256,8.020365491984183,0.2774843587265492,5.934822769544361,0,6.046867070579856,0.7391121927439698,382.09555628891616,900.3341486681762
250,17.2,-0.1132819110168315,0.1132819110168315,20,42.92994647096593,141.236,8.113011368992977,0.2883218818877758,5.82154085852753,0,5.934822769544361,0.6332757152236608,356.440922208206,1145.849273711092
250,33.6,-0.11455571623907446,0.11455571623907446,21,39.30861869870271,162.364,8.212365389486575,0.2839728795803476,5.706985142288455,0,5.82154085852753,0.5355066719745014,331.1032774002734,1333.392494098598
250,41.199999999999996,-0.1155569176160931,0.1155569176160931,22,38.000387576970844,166.612,8.277249210816098,0.27226611195024253,5.591428224672362,0,5.706985142288455,0.5032042316029417,321.57923375363436,1379.0890455124918
250,37.6,-0.11652302788581981,0.11652302788581981,23,35.127666816912274,167.468,8.34113646069838,0.24969539302141922,5.474905196786542,0,5.591428224672362,0.5203636570580218,299.6506129683942,1396.8734408002363
250,46.0,-0.11774999484599835,0.11774999484599835,24,37.91187676705019,168.36,8.408105135808832,0.23730381361802538,5.357155201940544,0,5.474905196786542,0.48853663448782025,324.8589525649428,1415.5885806647743
250,48.8,-0.11880061359653737,0.11880061359653737,25,35.3536702479389,173.7,8.480868907691475,0.23368818065899946,5.238354588344007,0,5.357155201940544,0.47168477753715116,305.93980792036456,1473.126929266009
250,48.4,-0.1191163884367139,0.1191163884367139,26,36.55733994699286,173.664,8.541623264262366,0.23104703645012664,5.119238199907293,0,5.238354588344007,0.47698746129811653,318.17292162172595,1483.3724625648595
