TimestepsStd,WeightMean,ReturnsStd,DualBefore,DualAfter,RewardMean,WeightMedian,TimestepsMean,NormDeltaOmega,ConfortViolation,Epsilon,Omega,ReturnsMean,Primal,WeightMin,DeltaOmega,OmegaBefore,DualReg,WeightMax,RewardStd,LossReg,Wins,Traj,ITERATIONS,Eta,NormDeltaVar
0.0,0.0023621524626060543,59.878549325442556,8.128824258934154,7.8841116089144325,2.34992,0.007918562341632445,500.0,0.16598779024834232,0,1.6301,[[0.96598779]],1175.5353535353536,7.884114323626251,0.0023621524626060543,[[0.16598779]],[[0.8]],0.0,1.0,2.427796530518981,0.0,0.0,100,0,1.6533893945123574,28.001960900347758
0.0,1.307524417800471e-07,78.65863525327764,8.127578693660235,8.098706557858609,2.80884,3.1128618459771176e-06,500.0,0.03396645669394871,0,1.6301,[[0.99995425]],1403.6969696969697,8.09870638906576,1.307524417800471e-07,[[0.03396646]],[[0.96598779]],0.0,1.0,2.8657037276033965,0.0,0.0,100,1,0.6309164163682351,94.93963650088075
0.0,0.0,82.91073009189452,8.22884794670069,8.001183572035627,2.96292,0.0,500.0,4.574546250479816e-05,0,1.6301,[[0.99999999]],1482.1818181818182,7.999999999999815,0.0,[[4.57454625e-05]],[[0.99995425]],0.0,1.0,2.984128863437368,0.0,0.0,100,2,0.005297054574341475,124.33632325244429
0.0,0.0,74.73408561492342,8.244236096332934,8.001246670044862,2.99396,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1496.2626262626263,8.000000000000357,0.0,[[0.]],[[0.99999999]],0.0,1.0,2.994255085726665,0.0,0.0,100,3,0.0052180769978180525,0.0
0.0,0.0,76.99212271728994,8.26523442491782,8.001331134501495,3.0264,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1513.030303030303,8.00000000000054,0.0,[[0.]],[[0.99999999]],0.0,1.0,3.0150461091001577,0.0,0.0,100,4,0.005118318667303932,0.0
0.0,0.0,72.93089900019494,8.259353558101193,8.001307649743836,3.01612,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1507.4747474747476,7.99999999999966,0.0,[[0.]],[[0.99999999]],0.0,1.0,3.0099933796604934,0.0,0.0,100,5,0.0051451497497131075,0.0
0.0,0.0,76.16014788392587,8.255894699599711,8.00129378236732,3.01184,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1506.4444444444443,7.999999999999702,0.0,[[0.]],[[0.99999999]],0.0,1.0,3.0058376227600854,0.0,0.0,100,6,0.005161460277474033,0.0
0.0,0.0,83.96871942730218,8.2467017288518,8.00125667291375,2.99672,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1497.959595959596,8.000000000000153,0.0,[[0.]],[[0.99999999]],0.0,1.0,2.997383732790982,0.0,0.0,100,7,0.005205710753308341,0.0
0.0,0.0,79.75886523780311,8.247735616182464,8.001260862634503,2.99828,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1498.909090909091,7.999999999999857,0.0,[[0.]],[[0.99999999]],0.0,1.0,2.998425760561699,0.0,0.0,100,8,0.005200619216022856,0.0
0.0,0.0,68.6998561696518,8.229759812105101,8.001187375085832,2.96912,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1483.1919191919192,7.999999999999506,0.0,[[0.]],[[0.99999999]],0.0,1.0,2.981812607391685,0.0,0.0,100,9,0.005292810384649692,0.0
0.0,0.0,71.70549912122542,8.254852090445713,8.001289569097876,3.00624,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1503.7575757575758,8.000000000000158,0.0,[[0.]],[[0.99999999]],0.0,1.0,3.0075041250844534,0.0,0.0,100,10,0.005165949848304853,0.0
0.0,0.0,88.48630135793532,8.23339593486158,8.001202346726531,2.97472,0.0,500.0,0.0,0,1.6301,[[0.99999999]],1487.5151515151515,8.000000000000112,0.0,[[0.]],[[0.99999999]],0.0,1.0,2.9853510550017397,0.0,0.0,100,11,0.005273418004666444,0.0
