Iterations, Theta_mean, Theta_std, Omega_mean, Omega_std, Ret_mean, Ret_std
0.000000000000000000e+00,2.024481059999999888e-01,1.086432269349470875e-02,8.064225790000000282e-01,8.870682000000289225e-03,1.167219999999999800e+03,1.181429642424805948e+01
1.000000000000000000e+00,2.033528980000000319e-01,1.812416589449335202e-02,8.140664220000000117e-01,1.185383892562728511e-02,1.168519999999999982e+03,9.439364385381036726e+00
2.000000000000000000e+00,2.017180589999999774e-01,2.138977117429752620e-02,8.193774149999999423e-01,1.687773792731611308e-02,1.173390000000000100e+03,7.633799840184441798e+00
3.000000000000000000e+00,2.026131369999999987e-01,2.554751183866524680e-02,8.254789980000000194e-01,2.037963184007493891e-02,1.179049999999999955e+03,1.488551309159348968e+01
4.000000000000000000e+00,2.029022859999999873e-01,2.945718204877825416e-02,8.316707290000000530e-01,2.153670891825697209e-02,1.178779999999999973e+03,1.555749337136287380e+01
5.000000000000000000e+00,2.023769890000000071e-01,3.237023618163434313e-02,8.370955749999999806e-01,2.303622154975733943e-02,1.171809999999999945e+03,1.193268201202059409e+01
6.000000000000000000e+00,2.020087799999999711e-01,3.600623036046150804e-02,8.418392850000000482e-01,2.414162663193439654e-02,1.186639999999999873e+03,1.355966076271820953e+01
7.000000000000000000e+00,2.023003210000000052e-01,3.976024039181941944e-02,8.471560820000000325e-01,2.523478674828054380e-02,1.187880000000000109e+03,2.017884040275855639e+01
8.000000000000000000e+00,2.025397610000000126e-01,4.228871952621796049e-02,8.528720539999999906e-01,2.536875182340083204e-02,1.185589999999999918e+03,1.858356531992717464e+01
9.000000000000000000e+00,2.010119419999999990e-01,4.439940667132091096e-02,8.571261760000000729e-01,2.526294329157083643e-02,1.187429999999999836e+03,2.469781569289072110e+01
1.000000000000000000e+01,1.996982360000000012e-01,4.657405868617232880e-02,8.617994890000000296e-01,2.503219081842634683e-02,1.197109999999999900e+03,2.096947543454533758e+01
1.100000000000000000e+01,1.983438760000000023e-01,4.870071385357389870e-02,8.666885420000000062e-01,2.479611173976265653e-02,1.189289999999999964e+03,1.940651694663418070e+01
1.200000000000000000e+01,1.967768710000000199e-01,5.078786373361346418e-02,8.711604630000000515e-01,2.418762100884873020e-02,1.189379999999999882e+03,2.103529415054611107e+01
1.300000000000000000e+01,1.953473890000000102e-01,5.248549586890181168e-02,8.757905029999999424e-01,2.320320924607976315e-02,1.186500000000000227e+03,2.950135590104294181e+01
1.400000000000000000e+01,1.947544920000000013e-01,5.525916483401333706e-02,8.803171949999999413e-01,2.253454174111125738e-02,1.194509999999999764e+03,2.427119486139893567e+01
1.500000000000000000e+01,1.936721280000000267e-01,5.752217765886490086e-02,8.838287830000000067e-01,2.317157963304662671e-02,1.187570000000000164e+03,3.081382968733359817e+01
1.600000000000000000e+01,1.925666909999999843e-01,5.945357581544013365e-02,8.871502099999999391e-01,2.371289141190377134e-02,1.209519999999999982e+03,3.137603544108147346e+01
1.700000000000000000e+01,1.911404240000000032e-01,6.164859252868944844e-02,8.903269119999999148e-01,2.366332859995769894e-02,1.196919999999999845e+03,3.592213245340536787e+01
1.800000000000000000e+01,1.894725740000000047e-01,6.345509538933642724e-02,8.931583129999998150e-01,2.397513848592371100e-02,1.201380000000000109e+03,3.150281892148705509e+01
1.900000000000000000e+01,1.878303660000000264e-01,6.493667371496467111e-02,8.961422810000000405e-01,2.402046403166909275e-02,1.206289999999999736e+03,4.414946092536123246e+01
