RewardStd,Traj,ITERATIONS,ReturnsMean,TimestepsMean,Wins,Theta,NormDeltaVar,ReturnsStd,DeltaOmega,TimestepsStd,Omega,ConfortViolation,OmegaBefore,NormDeltaOmega,RewardMean
2.4316351617790035,20,0,1181.9,500.0,0.0,0.21131879,0.989999863611601,36.069238971733235,0.01085792,0.0,0.81085792,0,0.8,0.010857918236483077,2.3638
2.384555606397133,20,1,1155.8,500.0,0.0,0.21805106,0.5704881293086075,63.27685200766549,0.01041124,0.0,0.82126916,0,0.81085792,0.01041123840645286,2.3116
2.4454783090430383,20,2,1183.6,500.0,0.0,0.21330159,0.4011101223219171,58.6023890297998,0.00904559,0.0,0.83031475,0,0.82126916,0.009045593178202416,2.3672
2.383569592019499,20,3,1157.0,500.0,0.0,0.21465092,0.11461012044602015,50.4955443578936,0.00866705,0.0,0.8389818,0,0.83031475,0.008667050633264894,2.314
2.4486832706579262,20,4,1176.6,500.0,0.0,0.21132097,0.2838013844839793,65.30267988375363,0.00464524,0.0,0.84362704,0,0.8389818,0.004645239559778025,2.3532
2.4207885987834623,20,5,1174.2,500.0,0.0,0.20609143,0.45238709076788197,42.922721255763825,0.00360869,0.0,0.84723573,0,0.84362704,0.003608687311426051,2.3484
2.4887582124425025,20,6,1200.8,500.0,0.0,0.19902952,0.6246079969177352,62.38397230058374,0.00054212,0.0,0.84777784,0,0.84723573,0.0005421153801171696,2.4016
2.467471831652795,20,7,1191.3,500.0,0.0,0.19388437,0.4656325728392048,54.91183843216324,0.00340319,0.0,0.85118104,0,0.84777784,0.003403194109131258,2.3826
2.428305013790484,20,8,1178.7,500.0,0.0,0.1871953,0.6196167422428545,66.02204177394093,0.00443499,0.0,0.85561603,0,0.85118104,0.004434993518375729,2.3574
2.498041440809179,20,9,1208.2,500.0,0.0,0.18005938,0.6800972231216633,48.393801255945995,0.00261524,0.0,0.85823127,0,0.85561603,0.002615240380935968,2.4164
2.506310746894726,20,10,1211.9,500.0,0.0,0.1727994,0.7138656858459527,43.80627808887672,0.00303386,0.0,0.86126513,0,0.85823127,0.00303386015939211,2.4238
2.504810571680022,20,11,1209.0,500.0,0.0,0.1663336,0.6560300207616372,70.7488515807854,0.00397258,0.0,0.86523771,0,0.86126513,0.0039725808264367,2.418
2.4828307715186715,20,12,1197.2,500.0,0.0,0.16124697,0.5305884396457792,76.58041525089818,0.00302834,0.0,0.86826605,0,0.86523771,0.0030283382261814262,2.3944
2.534286834594695,20,13,1226.6,500.0,0.0,0.15684256,0.47045871145728313,66.57657245608249,0.00405373,0.0,0.87231978,0,0.86826605,0.004053729774470161,2.4532
2.530200932732418,20,14,1224.1,500.0,0.0,0.15225574,0.5015167067031854,52.68956253376943,0.00421186,0.0,0.87653164,0,0.87231978,0.004211858316243711,2.4482
2.5032770841439027,20,15,1206.4,500.0,0.0,0.14741697,0.5426876075742193,61.114973615309694,0.00289432,0.0,0.87942595,0,0.87653164,0.002894316154454346,2.4128
2.5906342003455447,20,16,1251.9,500.0,0.0,0.14224472,0.5966341039923364,54.90892459336642,-0.00072738,0.0,0.87869857,0,0.87942595,0.000727382133223653,2.5038
2.5558735414726605,20,17,1231.9,500.0,0.0,0.1363588,0.7013981193829686,70.84483043948937,-0.00168353,0.0,0.87701504,0,0.87869857,0.0016835336597802453,2.4638
2.5641979252779996,20,18,1241.5,500.0,0.0,0.1310958,0.6490967024634777,61.2172361349318,-0.00105233,0.0,0.87596271,0,0.87701504,0.0010523276401810389,2.483
2.5914449328511693,20,19,1257.3,500.0,0.0,0.12653794,0.5802569033486549,69.94647953971665,0.00043725,0.0,0.87639996,0,0.87596271,0.0004372508868446534,2.5146
