NormDeltaOmega,OmegaBefore,NormDeltaVar,Omega,ConfortViolation,TimestepsStd,ReturnsStd,Wins,ReturnsMean,Traj,RewardStd,ITERATIONS,DeltaOmega,Theta,TimestepsMean,RewardMean
0.010857918332624839,0.8,0.9899999454062822,0.81085792,0,0.0,47.89770349400897,0.0,1148.1,20,2.358954336141334,0,0.01085792,0.21131879,500.0,2.2962
0.009829079120089346,0.81085792,0.9609353868449304,0.820687,0,0.0,48.639387331667734,0.0,1164.1,20,2.3988090294977633,1,0.00982908,0.22274707,500.0,2.3282
0.007766253253277289,0.820687,0.9355910669947924,0.82845325,0,0.0,68.47035855025152,0.0,1177.1,20,2.431407485387836,2,0.00776625,0.23429114,500.0,2.3542
0.008274755799338118,0.82845325,0.8908540703403212,0.83672801,0,0.0,38.42017699074277,0.0,1150.3,20,2.3791678461176295,3,0.00827476,0.24566315,500.0,2.3006
0.008033331464098903,0.83672801,0.9160941938056926,0.84476134,0,0.0,50.134219850317805,0.0,1170.4,20,2.4061287081118503,4,0.00803333,0.25773945,500.0,2.3408
0.0049731341887389036,0.84476134,0.42479473764615605,0.84973447,0,0.0,50.8538100834146,0.0,1143.7,20,2.3368785248703023,5,0.00497313,0.26346902,500.0,2.2874
0.005279287315645642,0.84973447,0.4718291275630335,0.85501376,0,0.0,49.39878541016976,0.0,1171.6,20,2.400127863260622,6,0.00527929,0.26992809,500.0,2.3432
0.005380284181430106,0.85501376,0.3634259275617584,0.86039404,0,0.0,61.456000520697735,0.0,1146.6,20,2.3541524504585505,7,0.00538028,0.27497067,500.0,2.2932
0.0049573700953814415,0.86039404,0.3252254118406288,0.86535141,0,0.0,63.97898092342517,0.0,1156.7,20,2.3812140684953125,8,0.00495737,0.27953247,500.0,2.3134
0.0036609086608756503,0.86535141,0.03283709647874744,0.86901232,0,0.0,43.29191610451078,0.0,1138.9,20,2.328438781673248,9,0.00366091,0.27906979,500.0,2.2778
0.0037410968812350287,0.86901232,0.012366868132657416,0.87275342,0,0.0,56.55934935976545,0.0,1159.2,20,2.38315367527988,10,0.0037411,0.27924398,500.0,2.3184
0.004155312510838338,0.87275342,0.0032581252287844364,0.87690873,0,0.0,68.80872037758006,0.0,1160.4,20,2.3724011802391263,11,0.00415531,0.27928989,500.0,2.3208
0.004477694928568421,0.87690873,0.07003485442581692,0.88138643,0,0.0,58.142153382894236,0.0,1140.7,20,2.3312687618547976,12,0.00447769,0.28027775,500.0,2.2814
0.004639081017087543,0.88138643,0.19159046916896294,0.88602551,0,0.0,60.727176782722246,0.0,1135.1,20,2.319868953195417,13,0.00463908,0.28299107,500.0,2.2702
0.004954781446690815,0.88602551,0.3500304843763793,0.89098029,0,0.0,52.40229002629561,0.0,1150.0,20,2.3469980826579304,14,0.00495478,0.28798905,500.0,2.3
0.0041783705017586215,0.89098029,0.16886458484824018,0.89515866,0,0.0,44.38592119129668,0.0,1143.3,20,2.341081040886881,15,0.00417837,0.29041893,500.0,2.2866
0.004250863256145876,0.89515866,0.15548228963984023,0.89940952,0,0.0,48.07442147337813,0.0,1161.5,20,2.3586587290237646,16,0.00425086,0.29266691,500.0,2.323
0.004737385550618534,0.89940952,0.31159753876723606,0.90414691,0,0.0,57.96024499603155,0.0,1147.9,20,2.329828826330381,17,0.00473739,0.29720258,500.0,2.2958
0.004432237386500337,0.90414691,0.19203303281986273,0.90857915,0,0.0,57.3205024402264,0.0,1146.6,20,2.339836267776017,18,0.00443224,0.30001795,500.0,2.2932
0.0035162533231882787,0.90857915,0.005171527266886855,0.9120954,0,0.0,54.81049169638966,0.0,1132.9,20,2.3081053615465645,19,0.00351625,0.30009398,500.0,2.2658
