TimestepsMean,NormDeltaOmega,RewardStd,Traj,Omega,ReturnsStd,ITERATIONS,DeltaOmega,NormDeltaVar,OmegaBefore,Theta,Wins,ReturnsMean,RewardMean,TimestepsStd,ConfortViolation
500.0,0.010857918668076283,2.4084610771195787,20,0.81085792,70.17257298973725,0,0.01085792,0.9899999167215903,0.8,0.21131879,0.0,1164.1,2.3282,0.0,0
500.0,0.009925996265433779,2.4081328866987386,20,0.82078391,61.73167744359455,1,0.009926,0.9546924744853804,0.81085792,0.22267142,0.0,1168.0,2.336,0.0,0
500.0,0.005781211214371362,2.3993699172907874,20,0.82656513,67.72887124410092,2,0.00578121,0.11595527124746496,0.82078391,0.22126965,0.0,1166.0,2.332,0.0,0
500.0,0.006397741729676332,2.429398929776664,20,0.83296287,67.99257312383463,3,0.00639774,0.11880069527560622,0.82656513,0.21984004,0.0,1178.9,2.3578,0.0,0
500.0,0.0062441540768393144,2.3683164568950663,20,0.83920702,54.17850127126072,4,0.00624415,0.2547829508432464,0.83296287,0.21679647,0.0,1157.7,2.3154,0.0,0
500.0,0.005245891671613823,2.399244672808507,20,0.84445291,56.9767496440434,5,0.00524589,0.329811600258072,0.83920702,0.21290206,0.0,1162.5,2.325,0.0,0
500.0,0.004606999118674238,2.484285321777674,20,0.84905991,60.858770937310254,6,0.004607,0.10375885031442422,0.84445291,0.21168748,0.0,1188.1,2.3762,0.0,0
500.0,0.004894917538875276,2.4681606430700573,20,0.85395483,42.972549377480505,7,0.00489492,0.15201962281091141,0.84905991,0.20991714,0.0,1197.6,2.3952,0.0,0
500.0,0.0053064387775414446,2.4321095287836028,20,0.85926127,62.8378070909544,8,0.00530644,0.1085302184515129,0.85395483,0.20865992,0.0,1174.1,2.3482,0.0,0
500.0,0.0005832738137975246,2.421456619475146,20,0.85984454,77.2362609141587,9,0.00058327,0.4146591427698425,0.85926127,0.20390762,0.0,1173.6,2.3472,0.0,0
500.0,0.001344440399460245,2.50980699656368,20,0.86118898,70.8194182410446,10,0.00134444,0.39530551554747007,0.85984454,0.19945253,0.0,1218.9,2.4378,0.0,0
500.0,0.002572532519533266,2.404140420191799,20,0.86376152,48.573552474572004,11,0.00257253,0.20139410200314956,0.86118898,0.19721109,0.0,1168.9,2.3378,0.0,0
500.0,0.0025313550624271874,2.4797233394070397,20,0.86629287,62.0528806744699,12,0.00253136,0.22993210706950507,0.86376152,0.19467532,0.0,1204.8,2.4096,0.0,0
500.0,0.0027213772365706212,2.4317203786619874,20,0.86901425,57.4978260458602,13,0.00272138,0.14593217310923734,0.86629287,0.1930788,0.0,1178.0,2.356,0.0,0
500.0,0.0027836970838044373,2.4834375852837534,20,0.87179795,57.01543650626556,14,0.0027837,0.18979322694561063,0.86901425,0.19101735,0.0,1203.8,2.4076,0.0,0
500.0,0.004037798270755455,2.440086424698929,20,0.87583574,46.41379105395292,15,0.0040378,0.08095231903494238,0.87179795,0.19014322,0.0,1188.4,2.3768,0.0,0
500.0,0.004788033872760611,2.4936545951675027,20,0.88062378,73.56704425216498,16,0.00478803,0.08012884938165499,0.87583574,0.19100845,0.0,1201.3,2.4026,0.0,0
500.0,0.005268797441254747,2.443213220330964,20,0.88589257,57.29668402272508,17,0.0052688,0.09836526673057477,0.88062378,0.1920747,0.0,1177.7,2.3554,0.0,0
500.0,0.00496092418272065,2.454475088486335,20,0.8908535,76.03545225748314,18,0.00496092,0.03754614962010905,0.88589257,0.19166717,0.0,1184.9,2.3698,0.0,0
500.0,0.005353979984057178,2.462449114195053,20,0.89620748,64.79591036477534,19,0.00535398,0.149906477256895,0.8908535,0.1932982,0.0,1189.7,2.3794,0.0,0
