DualReg,RewardStd,Eta,WeightMax,DualBefore,NormDeltaOmega,LossReg,ConfortViolation,DeltaOmega,TimestepsMean,TimestepsStd,WeightMedian,ReturnsMean,NormDeltaVar,Traj,ITERATIONS,OmegaBefore,DualAfter,WeightMean,WeightMin,RewardMean,Omega,Epsilon,Primal,Wins,ReturnsStd
0.0,2.4156278600811008,1.7144541423182467,1.0,8.057960154645675,0.16009286233984965,0.0,0,[[0.16009286]],500.0,0.0,0.009407874635935815,1167.7373737373737,25.631149337772012,100,0,[[0.8]],7.764171561362712,0.0029299782872640153,0.0029299782872640153,2.33696,[[0.96009286]],1.5701,7.764171504779637,0.0,54.65679620029446
0.0,2.8555871631592686,0.828640796001648,1.0,8.064034772909693,0.0394473780688247,0.0,0,[[0.03944738]],500.0,0.0,6.414501636968523e-05,1400.888888888889,64.34103075106103,100,1,[[0.96009286]],8.05916679708899,5.740551935006144e-06,5.740551935006144e-06,2.79756,[[0.99954024]],1.5701,8.059157271262082,0.0,77.62912200723333
0.0,2.9942985823060466,0.007385084545006336,1.0,8.180938608936126,0.00045975006306286925,0.0,0,[[0.00045975]],500.0,0.0,0.0,1492.060606060606,154.06652082011828,100,2,[[0.99954024]],8.001296910677176,0.0,0.0,2.984,[[0.99999999]],1.5701,7.999999999999798,0.0,78.34523677215618
0.0,2.9958006659989915,0.0073528811466003815,1.0,8.184466973667421,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1496.5454545454545,0.0,100,3,[[0.99999999]],8.001317304250245,0.0,0.0,2.99236,[[0.99999999]],1.5701,7.999999999999454,0.0,77.05740648036537
0.0,2.994876165987502,0.007371812931969073,1.0,8.18238379347954,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1493.8989898989898,0.0,100,4,[[0.99999999]],8.00130527500365,0.0,0.0,2.98748,[[0.99999999]],1.5701,7.999999999999439,0.0,91.22394410886692
0.0,2.994958749899571,0.007369621071126539,1.0,8.182624540479065,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1493.2121212121212,0.0,100,5,[[0.99999999]],8.00130666736639,0.0,0.0,2.98808,[[0.99999999]],1.5701,7.99999999999983,0.0,74.18721509383707
0.0,3.020417443731909,0.00538738488961707,1.0,8.20998413508383,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1517.111111111111,0.0,100,6,[[0.99999999]],8.001103672498036,0.0,0.0,3.03284,[[0.99999999]],1.5701,8.000000000000227,0.0,77.56247255774201
0.0,2.987730082587783,0.007438412945403319,1.0,8.175488566723342,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1488.989898989899,0.0,100,7,[[0.99999999]],8.00126536562188,0.0,0.0,2.97744,[[0.99999999]],1.5701,7.999999999999709,0.0,89.89303351054058
0.0,3.0028238773527822,0.007289766111059044,1.0,8.191460539788393,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1501.858585858586,0.0,100,8,[[0.99999999]],8.001357374595,0.0,0.0,3.00296,[[0.99999999]],1.5701,7.999999999999662,0.0,86.01256780391122
0.0,2.9836478247943403,0.0074829749241969185,1.0,8.171050389014571,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1484.6060606060605,0.0,100,9,[[0.99999999]],8.001239492449935,0.0,0.0,2.97024,[[0.99999999]],1.5701,7.99999999999969,0.0,87.86373956841254
0.0,2.996547239474125,0.0073504873519574165,1.0,8.18470293700445,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1494.4444444444443,0.0,100,10,[[0.99999999]],8.001318647517335,0.0,0.0,2.99196,[[0.99999999]],1.5701,7.999999999999671,0.0,74.60958616641484
0.0,3.0111604224285364,0.0054474894806534535,1.0,8.20005757522563,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1508.4040404040404,0.0,100,11,[[0.99999999]],8.00106152104048,0.0,0.0,3.01652,[[0.99999999]],1.5701,8.000000000000586,0.0,92.84721012566602
0.0,3.0167900288883223,0.005415075244384547,1.0,8.205302127128007,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1512.3636363636363,0.0,100,12,[[0.99999999]],8.00108383444407,0.0,0.0,3.02404,[[0.99999999]],1.5701,7.999999999999614,0.0,74.84198229636615
0.0,2.9973837327909814,0.00733263600045382,1.0,8.186701728851798,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1498.989898989899,0.0,100,13,[[0.99999999]],8.001330160366496,0.0,0.0,2.99672,[[0.99999999]],1.5701,8.000000000000153,0.0,79.18951758881596
0.0,2.9922703083779045,0.007407220611541206,1.0,8.178612949382204,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1490.5050505050506,0.0,100,14,[[0.99999999]],8.001283451611334,0.0,0.0,2.98004,[[0.99999999]],1.5701,8.000000000000519,0.0,82.84162494167559
0.0,2.99649700523795,0.007346972172090763,1.0,8.18510441928923,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1496.1818181818182,0.0,100,15,[[0.99999999]],8.001320968092253,0.0,0.0,2.99324,[[0.99999999]],1.5701,8.000000000000014,0.0,79.63202792496051
0.0,2.972213207964731,0.007602828760141429,1.0,8.159916677226933,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1476.6868686868686,0.0,100,16,[[0.99999999]],8.001174013778636,0.0,0.0,2.95408,[[0.99999999]],1.5701,7.999999999999683,0.0,88.11065660501342
0.0,3.010052957939444,0.005431306752015418,1.0,8.202826065821364,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1513.111111111111,0.0,100,17,[[0.99999999]],8.001073387227857,0.0,0.0,3.02648,[[0.99999999]],1.5701,7.999999999999453,0.0,78.78225828178292
0.0,3.0130188659216848,0.005426008214156089,1.0,8.203595124987679,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1512.020202020202,0.0,100,18,[[0.99999999]],8.00107661960371,0.0,0.0,3.02444,[[0.99999999]],1.5701,7.999999999999849,0.0,85.91162710999286
0.0,2.994684047174259,0.007351155249170606,1.0,8.184714928589104,0.0,0.0,0,[[0.]],500.0,0.0,0.0,1497.7171717171718,0.0,100,19,[[0.99999999]],8.001318767335377,0.0,0.0,2.99476,[[0.99999999]],1.5701,7.999999999999671,0.0,73.53416582457415
