Iterations,Theta_mean,Theta_std,Omega_mean,Omega_std,Ret_mean,Ret_std
0.000000000000000000e+00,2.000000000000000111e-01,0.0,8.000000000000000444e-01,0.0,1.174139999999999873e+03,1.622098640650438739e+01
1.000000000000000000e+00,2.665290840146170015e-01,3.123960174742253515e-01,7.334709159853736171e-01,3.123960174742457796e-01,1.677319999999999709e+03,8.433526247068896282e+02
2.000000000000000000e+00,2.540543107163457659e-01,3.729877681800833900e-01,7.459456892836543451e-01,3.729877681800835010e-01,2.066300000000000182e+03,1.461938010313706855e+03
3.000000000000000000e+00,2.369315384362666865e-01,3.815442951645083847e-01,7.630684615637328694e-01,3.815442951645082181e-01,2.104579999999999927e+03,1.442834223187127009e+03
4.000000000000000000e+00,2.302441978683923973e-01,3.848840724408777447e-01,7.697558021316071031e-01,3.848840724408774672e-01,2.111520000000000437e+03,1.439515949755333622e+03
5.000000000000000000e+00,2.288228423686448632e-01,3.856097921481871360e-01,7.711771576313545262e-01,3.856097921481867474e-01,2.119800000000000182e+03,1.435152803014368828e+03
6.000000000000000000e+00,2.273349351132587515e-01,3.863344259814694981e-01,7.726650648867408044e-01,3.863344259814693871e-01,2.127800000000000182e+03,1.431244862348857396e+03
7.000000000000000000e+00,2.266901661342642649e-01,3.866674933486222709e-01,7.733098338657355963e-01,3.866674933486221599e-01,2.121719999999999800e+03,1.434349383379098526e+03
8.000000000000000000e+00,3.191209514131388980e-01,4.360120533130790177e-01,6.808790485868574383e-01,4.360120533130843468e-01,2.385279999999999745e+03,1.548008186541660280e+03
9.000000000000000000e+00,3.260807794315731534e-01,4.412088875563280888e-01,6.739192205684265691e-01,4.412088875563280332e-01,2.481019999999999982e+03,1.642566519688015433e+03
1.000000000000000000e+01,4.153536076402041255e-01,4.676802714184076781e-01,5.846463923597938761e-01,4.676802714184100651e-01,2.754580000000000382e+03,1.679102682863677728e+03
1.100000000000000000e+01,5.123837661932930665e-01,4.777191681262908940e-01,4.876162338067061564e-01,4.777191681262914491e-01,3.112400000000000546e+03,1.723710196059651025e+03
1.200000000000000000e+01,5.171202705496956709e-01,4.828876489229139146e-01,4.828797294503042181e-01,4.828876489229139146e-01,3.193380000000000109e+03,1.796732746849124396e+03
1.300000000000000000e+01,5.173943516865696646e-01,4.826132742071874149e-01,4.826056483134298913e-01,4.826132742071870263e-01,3.193400000000000546e+03,1.796665277674169147e+03
1.400000000000000000e+01,5.170235454936791264e-01,4.829846621467417389e-01,4.829764545063207071e-01,4.829846621467415169e-01,3.197340000000000146e+03,1.792737727722602585e+03
1.500000000000000000e+01,5.172720705902674743e-01,4.827323759379513191e-01,4.827279294097321372e-01,4.827323759379510415e-01,3.194300000000000182e+03,1.795831647454738231e+03
1.600000000000000000e+01,5.175169803694080750e-01,4.824911216216871135e-01,4.824830196305917029e-01,4.824911216216868359e-01,3.194860000000000127e+03,1.795164529618385586e+03
1.700000000000000000e+01,5.172108374195880653e-01,4.827905894549964216e-01,4.827891625804118236e-01,4.827905894549961441e-01,3.194480000000000018e+03,1.795580405774132942e+03
1.800000000000000000e+01,5.174010287163743893e-01,4.826032451597445094e-01,4.825989712836252776e-01,4.826032451597442319e-01,3.193999999999999545e+03,1.796053694074873874e+03
1.900000000000000000e+01,7.011329003832408313e-01,4.361887426969291992e-01,2.988670996167587246e-01,4.361887426969285886e-01,3.757800000000000637e+03,1.566176498355150216e+03
