TimestepsMean,OmegaBefore,TimestepsStd,ConfortViolation,Theta,Wins,NormDeltaVar,Traj,ReturnsMean,RewardStd,Omega,DeltaOmega,RewardMean,ReturnsStd,ITERATIONS,NormDeltaOmega
500.0,0.8,0.0,0,0.19011019,0.0,0.8999998314028339,20,1183.2,2.4485405939048674,0.80988981,0.00988981,2.3664,62.64950119514121,0,0.009889810620744233
500.0,0.80988981,0.0,0,0.18995922,0.0,0.014011861586354257,20,1170.6,2.4303873271559002,0.81919993,0.00931012,2.3412,59.47470050365954,1,0.00931012002773035
500.0,0.81919993,0.0,0,0.18933667,0.0,0.05786968538891912,20,1186.4,2.4449581100706,0.82820624,0.00900631,2.3728,77.36562544179424,2,0.00900630779217082
500.0,0.82820624,0.0,0,0.18450655,0.0,0.45403406749046127,20,1188.9,2.4378816952428184,0.83443233,0.00622609,2.3778,61.49300773258697,3,0.0062260873556487795
500.0,0.83443233,0.0,0,0.17820721,0.0,0.606184088711629,20,1182.3,2.4331598467836013,0.83613527,0.00170294,2.3646,47.51536593566338,4,0.0017029406223076915
500.0,0.83613527,0.0,0,0.17398549,0.0,0.41570133611298843,20,1185.8,2.46030759052603,0.84045528,0.00432001,2.3716,73.10239394164873,5,0.004320014725994303
500.0,0.84045528,0.0,0,0.17022647,0.0,0.37689550974732455,20,1183.1,2.443091803432692,0.84574475,0.00528947,2.3662,59.273855956905656,6,0.005289469928482893
500.0,0.84574475,0.0,0,0.16888655,0.0,0.13594291078797482,20,1169.4,2.4155360812871334,0.85172495,0.0059802,2.3388,58.85609569110068,7,0.005980202390017397
500.0,0.85172495,0.0,0,0.16971643,0.0,0.08429714279746037,20,1195.9,2.458392312060872,0.85805153,0.00632658,2.3918,47.70104820651219,8,0.006326580762813783
500.0,0.85805153,0.0,0,0.16954678,0.0,0.017205768155093892,20,1208.2,2.4874507110694677,0.8643013,0.00624976,2.4164,51.9457409226204,9,0.006249763758827909
500.0,0.8643013,0.0,0,0.1703739,0.0,0.08375745358766196,20,1205.8,2.5042734355497207,0.8702342,0.0059329,2.4116,55.030536977209294,10,0.00593289825205412
500.0,0.8702342,0.0,0,0.17009315,0.0,0.028393629394898312,20,1216.8,2.534717151873163,0.87615553,0.00592134,2.4336,70.45111780518461,11,0.005921335726938093
500.0,0.87615553,0.0,0,0.17024486,0.0,0.01534794412888374,20,1225.7,2.5356336565048196,0.88082355,0.00466802,2.4514,55.035533975786954,12,0.004668021122509192
500.0,0.88082355,0.0,0,0.17123065,0.0,0.09946405583622564,20,1242.1,2.5809204482122263,0.88586165,0.0050381,2.4842,39.173843314129904,13,0.005038099645593097
500.0,0.88586165,0.0,0,0.17392623,0.0,0.269679441694997,20,1219.9,2.533096121350313,0.89078432,0.00492267,2.4398,76.58844560375931,14,0.004922670295214093
500.0,0.89078432,0.0,0,0.17513319,0.0,0.11968166178205308,20,1212.6,2.5157116209931534,0.89502633,0.00424201,2.4252,57.82767503540152,15,0.004242010728457868
500.0,0.89502633,0.0,0,0.17783885,0.0,0.26595010307958233,20,1214.2,2.502093811190939,0.89963919,0.00461285,2.4284,80.71901882456203,16,0.004612854976036029
500.0,0.89963919,0.0,0,0.18117538,0.0,0.32363169173173745,20,1212.2,2.514256279697835,0.90436628,0.00472709,2.4244,70.15953249559179,17,0.004727092861050219
500.0,0.90436628,0.0,0,0.18441923,0.0,0.3102221659230864,20,1216.2,2.5170280570545893,0.90910556,0.00473928,2.4324,56.8890147568052,18,0.004739276953240945
500.0,0.90910556,0.0,0,0.18727469,0.0,0.2696018500623758,20,1206.3,2.507221817071637,0.91353594,0.00443039,2.4126,69.33188299765123,19,0.004430385144054361
500.0,0.91353594,0.0,0,0.18989229,0.0,0.24437920261350854,20,1216.1,2.5066318357509147,0.91757192,0.00403598,2.4322,68.0337416286948,20,0.004035980283889851
500.0,0.91757192,0.0,0,0.19191864,0.0,0.1874134014427753,20,1219.6,2.5121909481566087,0.92063272,0.0030608,2.4392,44.64795628021511,21,0.0030608009860215724
500.0,0.92063272,0.0,0,0.19238819,0.0,0.04321309807925644,20,1204.1,2.4991544089951705,0.92301411,0.00238138,2.4082,80.84423294212148,22,0.0023813820508320482
500.0,0.92301411,0.0,0,0.1910022,0.0,0.12778488486208062,20,1206.8,2.476476335441144,0.92458863,0.00157453,2.4136,58.7755051020406,23,0.0015745259709013526
