Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.999928464309404796e-01,2.000071535690595426e-01,8.000000000000000444e-01,1.000000000000000082e-05,7.999928464309404852e-01,8.000071535690596036e-01,1.173180000000000064e+03,1.237334231321510458e+01,1.164328644126526569e+03,1.182031355873473558e+03
1.000000000000000000e+00,6.452436114508979248e-01,5.443650938024297524e-03,6.413494581587870780e-01,6.491377647430087716e-01,3.547563885490886970e-01,5.443650938033835901e-03,3.508622352569710223e-01,3.586505418412063717e-01,1.650900000000000091e+03,5.628010305605351959e+01,1.610639639611129724e+03,1.691160360388870458e+03
2.000000000000000000e+00,7.625333318554647910e-01,1.023605162903687069e-02,7.552109016329462410e-01,7.698557620779833410e-01,2.374666681445216365e-01,1.023605162904771271e-02,2.301442379219952872e-01,2.447890983670479859e-01,2.231320000000000618e+03,7.134996566222014280e+01,2.180279309324052520e+03,2.282360690675948717e+03
3.000000000000000000e+00,8.555681844363742794e-01,8.037556316205805851e-03,8.498184630185937616e-01,8.613179058541547972e-01,1.444318155636175882e-01,8.037556316207835477e-03,1.386820941458355994e-01,1.501815369813995771e-01,3.000199999999999818e+03,1.032227106793849316e+02,2.926358921064357673e+03,3.074041078935641963e+03
4.000000000000000000e+00,9.277318431733128090e-01,6.966183615307886164e-03,9.227485356159687013e-01,9.327151507306569167e-01,7.226815682668268070e-02,6.966183615313551770e-03,6.728484926933447907e-02,7.725146438403088234e-02,3.869679999999999836e+03,8.874476660626250180e+01,3.806195818341060658e+03,3.933164181658939015e+03
5.000000000000000000e+00,9.729749387435492336e-01,1.631575387709177649e-02,9.613033515317491728e-01,9.846465259553492944e-01,2.702506125645058946e-02,1.631575387709658168e-02,1.535347404464709395e-02,3.869664846825408844e-02,4.537140000000000327e+03,2.431742264303516663e+02,4.363183637773373448e+03,4.711096362226627207e+03
6.000000000000000000e+00,9.976882287742951938e-01,6.935313677113786289e-03,9.927270042404244821e-01,1.002649453308165794e+00,2.311771225705086356e-03,6.935313677115258202e-03,-2.649453308166641041e-03,7.272995759576813754e-03,4.950420000000000073e+03,1.187400000000000233e+02,4.865478520987191587e+03,5.035361479012808559e+03
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000082e-05,9.999928464309404408e-01,1.000007153569059559e+00,0.000000000000000000e+00,1.000000000000000082e-05,-7.153569059525722109e-06,7.153569059525722109e-06,4.990000000000000000e+03,1.000000000000000082e-05,4.989999992846431269e+03,4.990000007153568731e+03
