Iterations,Theta_mean,Theta_std,Omega_mean,Omega_std,Ret_mean,Ret_std
0.000000000000000000e+00,2.000000000000000111e-01,0,8.000000000000000444e-01,0,1.173080000000000155e+03,1.516896832352154867e+01
1.000000000000000000e+00,4.980040956887414327e-01,4.155899520347743417e-03,5.019959043112487418e-01,4.155899520319585386e-03,1.269980000000000018e+03,2.319197274920787422e+01
2.000000000000000000e+00,5.024827030537871719e-01,5.778556837663357745e-03,4.975172969462074990e-01,5.778556837521129502e-03,1.279740000000000009e+03,1.693801641279167924e+01
3.000000000000000000e+00,5.044407515942139764e-01,4.187220985876172544e-03,4.955592484056803859e-01,4.187220985509847518e-03,1.301600000000000136e+03,2.411356464731002092e+01
4.000000000000000000e+00,5.096224989414906981e-01,6.480921873532203767e-03,4.903775010572660742e-01,6.480921873897446325e-03,1.294380000000000109e+03,1.643032562063210023e+01
5.000000000000000000e+00,5.071733045722149891e-01,3.919403039503471797e-03,4.928266954234844510e-01,3.919403039195590473e-03,1.287579999999999927e+03,2.809063189036516306e+01
6.000000000000000000e+00,5.057896349564577898e-01,7.117125240235938968e-03,4.942103650239929036e-01,7.117125233175152985e-03,1.289820000000000164e+03,2.456997354495934260e+01
7.000000000000000000e+00,5.067015434813035846e-01,6.523975961161331515e-03,4.932984563971878345e-01,6.523975822750859195e-03,1.301240000000000236e+03,2.593187999355235007e+01
8.000000000000000000e+00,5.091578725354659607e-01,6.521098964215890637e-03,4.908421270177553697e-01,6.521098456242850269e-03,1.289539999999999964e+03,2.083286826147568149e+01
9.000000000000000000e+00,5.061637079742631329e-01,4.708047473017699588e-03,4.938362909985502536e-01,4.708045645277385456e-03,1.297179999999999836e+03,2.662712151172180697e+01
1.000000000000000000e+01,5.087418813222086555e-01,6.357845838504527086e-03,4.912581163339588275e-01,6.357840093113762379e-03,1.288420000000000073e+03,1.785462405092863136e+01
1.100000000000000000e+01,5.060614490486816663e-01,4.310045504484367671e-03,4.939385484328312481e-01,4.310029260228799390e-03,1.296580000000000155e+03,2.406548565892651936e+01
1.200000000000000000e+01,5.088181410628965784e-01,6.190221900000737222e-03,4.911818357245020250e-01,6.190254553124487254e-03,1.302240000000000009e+03,2.113022479766840078e+01
1.300000000000000000e+01,5.089312129030656440e-01,5.203896869149545260e-03,4.910687904167868045e-01,5.204005239575657318e-03,1.294840000000000146e+03,1.766030577311730099e+01
1.400000000000000000e+01,5.073486133987803459e-01,4.708873671929879497e-03,4.926514280149432712e-01,4.707830199178090341e-03,1.284899999999999864e+03,2.106983625944920746e+01
1.500000000000000000e+01,5.051996354711539849e-01,5.295672258988978233e-03,4.947992732235329538e-01,5.299149478383702837e-03,1.280599999999999909e+03,2.708283589286765647e+01
1.600000000000000000e+01,5.837166484001578004e-01,2.318433589855465882e-01,4.157976405009021770e-01,2.340775634776607328e-01,1.282519999999999982e+03,4.952722079826406087e+01
1.700000000000000000e+01,6.952353892897810139e-01,3.028188227195778293e-01,3.685333540354486792e-01,2.959766199099915784e-01,1.305500000000000227e+03,5.610171120384834609e+01
1.800000000000000000e+01,6.956050434848304320e-01,3.059870022707680270e-01,3.656054815905890321e-01,2.983135592466090724e-01,1.322620000000000118e+03,5.156351035373757696e+01
1.900000000000000000e+01,6.982455891945732462e-01,3.043933636617730532e-01,3.608422534835447060e-01,2.960752901105402346e-01,1.327639999999999873e+03,6.428840019785839388e+01
