Iterations,Theta_mean,Theta_std,Theta_low,Theta_sup, Omega_mean,Omega_std,Omega_low,Omega_sup,Ret_mean,Ret_std,Rets_low,Rets_sup
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000082e-05,1.999928464309404796e-01,2.000071535690595426e-01,8.000000000000000444e-01,1.000000000000000082e-05,7.999928464309404852e-01,8.000071535690596036e-01,1.173559999999999945e+03,1.571643725530691604e+01,1.162317138072445914e+03,1.184802861927553977e+03
1.000000000000000000e+00,5.403193122311338303e-01,5.799394813435303740e-03,5.361706751009973626e-01,5.444679493612702981e-01,4.596806877688752735e-01,5.799394813368232392e-03,4.555320506387867674e-01,4.638293248989637796e-01,1.344700000000000045e+03,2.592855568673270383e+01,1.326151828628120029e+03,1.363248171371880062e+03
2.000000000000000000e+00,5.752328168054283708e-01,9.456251212821896110e-03,5.684682221959138637e-01,5.819974114149428779e-01,4.247671831945927234e-01,9.456251212811635221e-03,4.180025885850855438e-01,4.315317778040999031e-01,1.405319999999999936e+03,3.577722180382374972e+01,1.379726517306837650e+03,1.430913482693162223e+03
3.000000000000000000e+00,5.965450521494268799e-01,1.283569380512480235e-02,5.873629499432382328e-01,6.057271543556155269e-01,4.034549478506004316e-01,1.283569380465562730e-02,3.942728456447474050e-01,4.126370500564534582e-01,1.482279999999999973e+03,3.640123074842388462e+01,1.456240128198941875e+03,1.508319871801058071e+03
4.000000000000000000e+00,6.233025257253280715e-01,1.274712970798784137e-02,6.141837784576458237e-01,6.324212729930103194e-01,3.766974742746487248e-01,1.274712970710809024e-02,3.675787270075957514e-01,3.858162215417016982e-01,1.552799999999999955e+03,4.438702513122503746e+01,1.521047435037687819e+03,1.584552564962312090e+03
5.000000000000000000e+00,6.461770111237585823e-01,1.248896978410108001e-02,6.372429403404689108e-01,6.551110819070482538e-01,3.538229888760826003e-01,1.248896978241451246e-02,3.448889180939994081e-01,3.627570596581657925e-01,1.634960000000000036e+03,6.204416491500225561e+01,1.590576278153992916e+03,1.679343721846007156e+03
6.000000000000000000e+00,6.691888844377956724e-01,1.556957062818379450e-02,6.580510845662080888e-01,6.803266843093832561e-01,3.308111155618936872e-01,1.556957062675005943e-02,3.196733156913317275e-01,3.419489154324556468e-01,1.748599999999999909e+03,7.403923284313525244e+01,1.695635523474232514e+03,1.801564476525767304e+03
7.000000000000000000e+00,6.980790948443588162e-01,1.665972038473255770e-02,6.861614488159015757e-01,7.099967408728160567e-01,3.019209051552267375e-01,1.665972038366254557e-02,2.900032591275348848e-01,3.138385511829185903e-01,1.864920000000000073e+03,9.567909698570529997e+01,1.796475297215969931e+03,1.933364702784030214e+03
8.000000000000000000e+00,7.252499071737138481e-01,1.945241797026175945e-02,7.113344856412111561e-01,7.391653287062165401e-01,2.747500928258161390e-01,1.945241796904337642e-02,2.608346712941850276e-01,2.886655143574472504e-01,1.985000000000000227e+03,1.320947235887943805e+02,1.890505127240860020e+03,2.079494872759140435e+03
9.000000000000000000e+00,7.481897493280154077e-01,2.480289279949600759e-02,7.304468286762946239e-01,7.659326699797361915e-01,2.518102506713896238e-01,2.480289279788686768e-02,2.340673300208199470e-01,2.695531713219593284e-01,2.133320000000000618e+03,1.571842282164467122e+02,2.020877176838540208e+03,2.245762823161460801e+03
1.000000000000000000e+01,7.730943716227011153e-01,2.552844681576091693e-02,7.548324208948036240e-01,7.913563223505986066e-01,2.269056283766260895e-01,2.552844681322303383e-02,2.086436776505440627e-01,2.451675791027081164e-01,2.304800000000000182e+03,1.729542367217410117e+02,2.181075992347346983e+03,2.428524007652653381e+03
1.100000000000000000e+01,7.995321114643310079e-01,2.489101722094531552e-02,7.817261503991433935e-01,8.173380725295186222e-01,2.004678885350115181e-01,2.489101721883254723e-02,1.826619274713352781e-01,2.182738495986877580e-01,2.506940000000000055e+03,1.976060535509982401e+02,2.365581144934259555e+03,2.648298855065740554e+03
1.200000000000000000e+01,8.260739779424646212e-01,2.374689265183982032e-02,8.090864742890566674e-01,8.430614815958725750e-01,1.739260220568688842e-01,2.374689264993313717e-02,1.569385184048248394e-01,1.909135257089129289e-01,2.747740000000000691e+03,2.036632328133873102e+02,2.602048099918317348e+03,2.893431900081684034e+03
1.300000000000000000e+01,8.525920660658552475e-01,2.221831901640390280e-02,8.366980381188133808e-01,8.684860940128971141e-01,1.474079339335271910e-01,2.221831901501177334e-02,1.315139059874811667e-01,1.633019618795732153e-01,2.996659999999999854e+03,2.218200540979106563e+02,2.837979492422286057e+03,3.155340507577713652e+03
1.400000000000000000e+01,8.770369135801486804e-01,2.108259201355185478e-02,8.619553357878738664e-01,8.921184913724234944e-01,1.229630864194887208e-01,2.108259201313921610e-02,1.078815086275090457e-01,1.380446642114684097e-01,3.238440000000000055e+03,2.416793214157967782e+02,3.065553028399278446e+03,3.411326971600721663e+03
1.500000000000000000e+01,8.988706882948294119e-01,1.990112573133333632e-02,8.846342805666896902e-01,9.131070960229691336e-01,1.011293117049038709e-01,1.990112573124460868e-02,8.689290397682761236e-02,1.153657194329801294e-01,3.492159999999999854e+03,2.394360507525965431e+02,3.320877767560119537e+03,3.663442232439880172e+03
1.600000000000000000e+01,9.188908164948543789e-01,1.798345552987755391e-02,9.060262273886654505e-01,9.317554056010433072e-01,8.110918350498023954e-02,1.798345553006388750e-02,6.824459439865805666e-02,9.397377261130242243e-02,3.751639999999999873e+03,2.097172153162443635e+02,3.601617341726381710e+03,3.901662658273618035e+03
1.700000000000000000e+01,9.371746266888496546e-01,1.446327695974581815e-02,9.268282216329907230e-01,9.475210317447085862e-01,6.282537331105493561e-02,1.446327696004492437e-02,5.247896825498207796e-02,7.317177836712779326e-02,4.002559999999999945e+03,1.944463072418707839e+02,3.863461491277551886e+03,4.141658508722447550e+03
1.800000000000000000e+01,9.537364899878205682e-01,1.189082660113939538e-02,9.452303050612109736e-01,9.622426749144301628e-01,4.626351001214829700e-02,1.189082660151874124e-02,3.775732508526731535e-02,5.476969493902927866e-02,4.232900000000000546e+03,1.899497249274134560e+02,4.097018152489384192e+03,4.368781847510616899e+03
1.900000000000000000e+01,9.658237049275347763e-01,1.186480071257989093e-02,9.573361378000397881e-01,9.743112720550297645e-01,3.417629507251325471e-02,1.186480071306683128e-02,2.568872794466989240e-02,4.266386220035661703e-02,4.428960000000000036e+03,1.832120476387947292e+02,4.297897996467876510e+03,4.560022003532123563e+03
