Epsilon,NormDeltaVar,RewardMean,NormDeltaOmega,ReturnsMean,Traj,DeltaOmega,WeightMean,WeightMax,ReturnsStd,Wins,DualAfter,WeightMedian,Primal,TimestepsStd,DualBefore,RewardStd,Omega,LossReg,ITERATIONS,ConfortViolation,OmegaBefore,Eta,DualReg,TimestepsMean,WeightMin
0.5701,38.52680194658059,2.32748,0.5876104916308397,1162.8686868686868,100,[[-0.58761049]],0.03866667290448476,1.0,56.471436681759286,0.0,5.471271493025191,0.074108742426375,5.471271838906706,0.0,7.066093295872287,2.4045367224477983,[[0.21238951]],0.0,0,0,[[0.8]],3.0742960056428394,0.0,500.0,0.03866667290448476
0.5701,29.596069862292005,4.81028,0.17953648390493362,2403.656565656566,100,[[-0.17953648]],0.042192753111641376,1.0,102.90410968579188,0.0,9.232164123861981,0.07946763557305667,9.232164151930261,0.0,9.652590028536643,4.357486238830824,[[0.03285302]],0.0,1,0,[[0.21238951]],3.1590518144893016,0.0,500.0,0.042192753111641376
0.5701,234.25144796928078,8.89072,0.032853021895634944,4446.20202020202,100,[[-0.03285302]],0.0,1.0,86.48115107275272,0.0,10.00197182095674,1.0,10.000000000001942,0.0,10.437968858931598,2.9748643467559996,[[2.5685918e-09]],0.0,2,0,[[0.03285302]],0.004503204559232227,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,3,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,4,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,5,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,6,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,7,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,8,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,9,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,10,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,11,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,12,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,13,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,14,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,15,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,16,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,17,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,18,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
0.5701,0.0,9.98,0.0,4990.0,100,[[0.]],0.0,1.0,0.0,0.0,10.001807476737218,1.0,9.999999999997792,0.0,10.568098088311146,0.4467661580737735,[[2.5685918e-09]],0.0,19,0,[[2.5685918e-09]],0.003181628426282722,0.0,500.0,0.0
