LossReg,NormDeltaVar,Eta,TimestepsMean,WeightMax,Wins,Traj,DualAfter,Omega,DeltaOmega,RewardMean,ReturnsMean,TimestepsStd,ITERATIONS,OmegaBefore,DualBefore,WeightMean,ConfortViolation,RewardStd,Epsilon,ReturnsStd,DualReg,Primal,WeightMedian,WeightMin,NormDeltaOmega
0.0,19.849116051923726,54.760472957693516,500.0,1.0,0.0,20,2.420979683333008,[[0.49921406]],[[-0.30078594]],2.3128,1157.2631578947369,0.0,0,[[0.8]],6.445608718900463,0.8330901076120121,0,2.388253788859132,0.0010001,51.71260877017494,0.0,2.420979677783287,0.8640792617841208,0.8330901076120121,0.3007859399820513
0.0,0.7395470474492085,66.5522946069842,500.0,1.0,0.0,20,2.698679659885223,[[0.48627543]],[[-0.01293863]],2.5672,1285.157894736842,0.0,1,[[0.49921406]],7.7208731649200715,0.8604861322549258,0,2.90266845505993,0.0010001,64.03063671144564,0.0,2.698679666546773,0.886737551738248,0.8604861322549258,0.012938625474704701
0.0,0.22514689248145903,67.25398720203111,500.0,1.0,0.0,20,2.735084533937343,[[0.48233927]],[[-0.00393617]],2.6022,1296.842105263158,0.0,2,[[0.48627543]],7.767999117352936,0.8618361832297348,0,2.9341021045628257,0.0010001,83.44255077464011,0.0,2.735084544285816,0.8878503675244177,0.8618361832297348,0.003936169080374641
0.0,0.19963628914268283,67.76056153715024,500.0,1.0,0.0,20,2.7621105018098326,[[0.47885091]],[[-0.00348836]],2.6282,1315.0526315789473,0.0,3,[[0.48233927]],7.788752802303167,0.8627947321367772,0,2.9573239186805362,0.0010001,83.73232645206267,0.0,2.7621105154412375,0.8886402655612287,0.8627947321367772,0.003488358698102656
0.0,0.19008512727092186,68.50774502705941,500.0,1.0,0.0,20,2.7862197889378733,[[0.47553135]],[[-0.00331956]],2.6508,1326.421052631579,0.0,4,[[0.47885091]],7.815317900901961,0.8641845812165769,0,2.991397559670061,0.0010001,59.14328345500726,0.0,2.78621980819646,0.889785267479241,0.8641845812165769,0.0033195550986940825
0.0,0.14476381499689261,68.22115036614407,500.0,1.0,0.0,20,2.7688364066853532,[[0.47805926]],[[0.0025279]],2.634,1316.9473684210527,0.0,5,[[0.47553135]],7.805703780735891,0.8636548168443572,0,2.97812759968407,0.0010001,88.41854633039415,0.0,2.7688364236820977,0.8893488741925282,0.8636548168443572,0.002527904751241261
0.0,0.05885134265384995,68.25023162726949,500.0,1.0,0.0,20,2.775899539402694,[[0.47703144]],[[-0.00102782]],2.641,1320.9473684210527,0.0,6,[[0.47805926]],7.805123727735751,0.8637087609292742,0,2.9796508184685,0.0010001,47.03579116980525,0.0,2.7758995566288815,0.8893933130684387,0.8637087609292742,0.0010278213181554308
0.0,0.27615673656433315,67.60206407631063,500.0,1.0,0.0,20,2.7381865057245136,[[0.48185597]],[[0.00482454]],2.6046,1304.9473684210527,0.0,7,[[0.47703144]],7.777094040127492,0.862496250437266,0,2.949925226170996,0.0010001,66.11112947487143,0.0,2.738186518270276,0.8883943187336741,0.862496250437266,0.004824535690465648
0.0,0.221924009502101,66.91626702463756,500.0,1.0,0.0,20,2.7113966552196977,[[0.48573554]],[[0.00387957]],2.5792,1291.8947368421052,0.0,8,[[0.48185597]],7.755644932608309,0.861189682458521,0,2.918446052268228,0.0010001,74.62036884111052,0.0,2.7113966636623497,0.8873175154308505,0.861189682458521,0.003879568824710522
0.0,0.5332290641616318,68.35906900297067,500.0,1.0,0.0,20,2.7745240133714137,[[0.47641764]],[[-0.0093179]],2.6394,1313.7894736842106,0.0,9,[[0.48573554]],7.800879966814776,0.8639102705448378,0,2.984822882517487,0.0010001,58.30191740763937,0.0,2.7745240314522803,0.8895593108044659,0.8639102705448378,0.00931789570181002
0.0,0.3653966261574214,67.5844830823205,500.0,1.0,0.0,20,2.7355399440797594,[[0.48280134]],[[0.0063837]],2.602,1296.5263157894738,0.0,10,[[0.47641764]],7.788077847712049,0.8624630621123991,0,2.9486261207552236,0.0010001,68.7967015894257,0.0,2.735539956491645,0.8883669707351634,0.8624630621123991,0.006383696816498585
0.0,0.3895255144100608,68.74077026122188,500.0,1.0,0.0,20,2.782884705572502,[[0.47599603]],[[-0.00680532]],2.647,1331.578947368421,0.0,11,[[0.48280134]],7.824091496145655,0.8646123044616888,0,3.001764647669767,0.0010001,83.44321472176448,0.0,2.782884726726279,0.8901375653724245,0.8646123044616888,0.006805315400385148
0.0,0.4490862983263375,67.28264138537754,500.0,1.0,0.0,20,2.722742046625098,[[0.4838398]],[[0.00784378]],2.5898,1302.842105263158,0.0,12,[[0.47599603]],7.76207066654338,0.8618907596994698,0,2.9353936635483833,0.0010001,84.04088175462095,0.0,2.7227420571466063,0.8878953463107006,0.8618907596994698,0.007843777009431119
0.0,10.349679289305369,67.16537034656054,500.0,1.0,0.0,20,2.7208977875665585,[[0.19729867]],[[-0.28654113]],2.5882,1296.3157894736842,0.0,13,[[0.4838398]],7.767590821513085,0.8616671255091801,0,2.929713426258616,0.0010001,74.5774430632374,0.0,2.720897797386368,0.8877110362623523,0.8616671255091801,0.28654112941601934
0.0,0.13812640723018532,61.873958698427735,500.0,1.0,0.0,20,2.5197671636109478,[[1.19144463e-07]],[[-0.19729855]],2.3978,1199.7894736842106,0.0,14,[[0.19729867]],7.617177581967309,0.8507653851718777,0,2.686513569666083,0.0010001,82.37755120072613,0.0,2.5197672160850706,0.8787146140141195,0.8507653851718777,0.19729855377758665
0.0,0.8190504822165625,66.66749269480559,500.0,1.0,0.0,20,2.6569332803160766,[[1.19144461e-07]],[[-2.0234875e-15]],2.5254,1265.578947368421,0.0,15,[[1.19144463e-07]],7.89668892702147,0.8607095760869917,0,2.899854279097486,0.0010001,69.14387424971491,0.0,2.6569332873901335,0.8869217554200265,0.8607095760869917,2.02348750296341e-15
0.0,0.7394679929793018,67.50521031935894,500.0,1.0,0.0,20,2.6646202269701416,[[1.1914446e-07]],[[-1.08161769e-15]],2.5314,1264.6315789473683,0.0,16,[[1.19144461e-07]],7.92096651768483,0.8623132170357954,0,2.937824712265863,0.0010001,91.05244904149636,0.0,2.664620238678919,0.8882434920744912,0.8623132170357954,1.0816176896749744e-15
0.0,0.2899737872800534,69.03569947340443,500.0,1.0,0.0,20,2.7393140882665046,[[1.19144459e-07]],[[-1.44993541e-15]],2.603,1300.1052631578948,0.0,17,[[1.1914446e-07]],7.983025632594073,0.8651498138314632,0,3.007721895388601,0.0010001,70.70315613951504,0.0,2.7393141114960615,0.8905802401223666,0.8651498138314632,1.449935408409726e-15
0.0,0.822271308974786,70.8754768593513,500.0,1.0,0.0,20,2.8066315334667067,[[1.19144457e-07]],[[-1.66699059e-15]],2.6666,1327.578947368421,0.0,18,[[1.19144459e-07]],8.048509734261886,0.8684089583271242,0,3.091673404485021,0.0010001,77.31978421122834,0.0,2.8066315709658336,0.8932631862299321,0.8684089583271242,1.6669905922287354e-15
0.0,0.43814230547247046,71.66763390058959,500.0,1.0,0.0,20,2.8318320187370523,[[1.19144456e-07]],[[-9.33070067e-16]],2.6902,1345.8947368421052,0.0,19,[[1.19144457e-07]],8.074917635511717,0.8697643200355412,0,3.1278145661148136,0.0010001,100.64313961342094,0.0,2.831832060018265,0.8943783344478675,0.8697643200355412,9.330700674087497e-16
