RewardMean,Epsilon,WeightMax,ITERATIONS,ReturnsMean,LossReg,DualAfter,Omega,Primal,DualReg,ConfortViolation,ReturnsStd,NormDeltaOmega,DeltaOmega,Wins,WeightMedian,RewardStd,DualBefore,NormDeltaVar,WeightMin,Traj,TimestepsMean,Eta,WeightMean,TimestepsStd,OmegaBefore
2.3412,0.2701,1.0,0,1168.6060606060605,0.0,4.416068928732874,[[0.29680512]],4.416069786262253,0.0,0,65.01248025980613,0.5031948756428734,[[-0.50319488]],0.0,0.15342196557877555,2.4144031477779344,6.74962367885572,32.12646633964535,0.09601949732713475,100,500.0,4.267660840946527,0.09601949732713475,0.0,[[0.8]]
3.75588,0.2701,1.0,1,1878.8484848484848,0.0,6.829186990723393,[[0.14589932]],6.82918684180813,0.0,0,110.22917940660636,0.15090580203089884,[[-0.1509058]],0.0,0.2492248373563234,3.9584650340251843,8.951237718373834,12.92248547147086,0.17609180760311108,100,500.0,5.757881809766925,0.17609180760311108,0.0,[[0.29680512]]
5.98692,0.2701,1.0,2,2992.5858585858587,0.0,8.991056135439354,[[0.03974404]],8.991055149324298,0.0,0,136.57491451495724,0.10615527750730669,[[-0.10615528]],0.0,1.0,4.443969949673377,9.65707311802679,20.25153698928754,0.12008502852970272,100,500.0,4.717970980107972,0.12008502852970272,0.0,[[0.14589932]]
8.68536,0.2701,1.0,3,4341.737373737374,0.0,10.00079714698868,[[3.08135794e-09]],9.9999999999989,0.0,0,95.19343261646134,0.03974404173756321,[[-0.03974404]],0.0,1.0,3.1944767443824036,10.111198606191731,234.47365126932746,0.0,100,500.0,0.007177794317521879,0.0,0.0,[[0.03974404]]
9.98,0.2701,1.0,4,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,6.755566699157313e-10,[[-6.7555667e-10]],0.0,1.0,0.4467661580737735,10.268098088311145,3.535533905932766,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[3.08135794e-09]]
9.98,0.2701,1.0,5,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,6,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,7,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,8,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,9,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,10,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,11,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,12,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,13,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,14,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,15,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,16,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,17,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,18,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
9.98,0.2701,1.0,19,4990.0,0.0,10.001322841191978,[[2.40580127e-09]],9.999999999997792,0.0,0,0.0,0.0,[[0.]],0.0,1.0,0.4467661580737735,10.268098088311145,0.0,0.0,100,500.0,0.004934170359926767,0.0,0.0,[[2.40580127e-09]]
