DualReg,NormDeltaOmega,ConfortViolation,Primal,Eta,ITERATIONS,Omega,TimestepsStd,DualBefore,WeightMean,WeightMedian,ReturnsMean,WeightMax,Traj,RewardMean,Epsilon,WeightMin,Wins,TimestepsMean,RewardStd,OmegaBefore,ReturnsStd,LossReg,NormDeltaVar,DeltaOmega,DualAfter
0.0,0.07331864952908473,0,6.483815435882489,2.4476784266605818,0,[[0.87331865]],0.0,7.459739721819524,0.016814662609541463,0.038067164252836086,1184.2424242424242,1.0,100,2.36884,0.9101,0.016814662609541463,0.0,500.0,2.455271279186884,[[0.8]],53.81019596770342,0.0,7.776160731496393,[[0.07331865]],6.483818717438352
0.0,0.03773709215392829,0,6.610618003532742,2.3390197057348354,1,[[0.91105574]],0.0,7.317708806075714,0.013907940827136783,0.032704707357591845,1245.8383838383838,1.0,100,2.48944,0.9101,0.013907940827136783,0.0,500.0,2.5750433950518192,[[0.87331865]],63.37298711894462,0.0,5.656694399237416,[[0.03773709]],6.610620412407221
0.0,0.018954495961934437,0,6.735417033823209,2.283931000611627,2,[[0.93001024]],0.0,7.308033360601786,0.012545214708441594,0.030114973049712144,1290.4040404040404,1.0,100,2.58072,0.9101,0.012545214708441594,0.0,500.0,2.668670882967774,[[0.91105574]],74.27547948254528,0.0,3.71789135358933,[[0.0189545]],6.735417027950243
0.0,0.010070127442175947,0,6.819002373229586,2.250318535896264,3,[[0.94008037]],0.0,7.319557256196568,0.011751018905369764,0.028579881251480983,1320.3636363636363,1.0,100,2.6408,0.9101,0.011751018905369764,0.0,500.0,2.728211018231544,[[0.93001024]],75.18347316586211,0.0,2.373064358258546,[[0.01007013]],6.8190023082353655
0.0,0.004991623831255176,0,6.881316893413368,2.230260685819235,4,[[0.94507199]],0.0,7.344873855493353,0.011290644899654187,0.02768056809142907,1344.5252525252524,1.0,100,2.68748,0.9101,0.011290644899654187,0.0,500.0,2.7657496722588615,[[0.94008037]],70.75842291073917,0.0,1.3182363539618436,[[0.00499162]],6.881319180291491
0.0,0.003928460408080814,0,6.937411865637089,2.207057240787353,5,[[0.94900045]],0.0,7.3641269634330015,0.01077076140363905,0.026656131630875483,1367.7575757575758,1.0,100,2.73488,0.9101,0.01077076140363905,0.0,500.0,2.797447298091601,[[0.94507199]],70.56612214174056,0.0,1.1193540691705692,[[0.00392846]],6.937412047363972
0.0,0.00015332300894566053,0,6.926909889755191,2.2113592161529225,6,[[0.94884713]],0.0,7.358984777570914,0.010866119345847107,0.026844763150656818,1361.3333333333333,1.0,100,2.72404,0.9101,0.010866119345847107,0.0,500.0,2.793794208312416,[[0.94900045]],78.55101925667563,0.0,0.04519179450901589,[[-0.00015332]],6.926909875599744
0.0,0.0007609622027622276,0,6.9245043451175095,2.2138247885381697,7,[[0.94808616]],0.0,7.361500391678328,0.010920982879096267,0.026953140861873382,1360.4444444444443,1.0,100,2.72296,0.9101,0.010920982879096267,0.0,500.0,2.790162869511384,[[0.94884713]],79.07217291653154,0.0,0.2224139656006443,[[-0.00076096]],6.924504112779932
0.0,0.0031917777151807547,0,6.963558937438368,2.200819929111198,8,[[0.95127794]],0.0,7.379163780327499,0.010633338114940008,0.02638369992650017,1375.79797979798,1.0,100,2.7512,0.9101,0.010633338114940008,0.0,500.0,2.8150201704428337,[[0.94808616]],76.92814170261605,0.0,0.9544909807930324,[[0.00319178]],6.9635589345107265
0.0,0.0009129859554312114,0,6.946776276938008,2.2063539676864505,9,[[0.95036496]],0.0,7.370300832192074,0.010755217215104314,0.02662535142860619,1368.4848484848485,1.0,100,2.7374,0.9101,0.010755217215104314,0.0,500.0,2.8062788956196068,[[0.95127794]],81.02030717339939,0.0,0.2789351329695222,[[-0.00091299]],6.946777520768686
0.0,0.001432277382236391,0,6.919395282979379,2.206451382996619,10,[[0.94893268]],0.0,7.343744712295333,0.01075736960183448,0.026629614059860956,1361.7373737373737,1.0,100,2.72208,0.9101,0.01075736960183448,0.0,500.0,2.791050066480356,[[0.95036496]],67.70324222106471,0.0,0.42794129998898,[[-0.00143228]],6.919395280808464
0.0,0.0003824946796537887,0,6.932351536802188,2.2087459775097193,11,[[0.94931517]],0.0,7.360243078639886,0.010808138145601415,0.026730107763273028,1364.4040404040404,1.0,100,2.72856,0.9101,0.010808138145601415,0.0,500.0,2.7972415566768634,[[0.94893268]],74.76453531756144,0.0,0.11315996054921129,[[0.00038249]],6.932351804302767
0.0,0.0004960515486024386,0,6.924229638284806,2.210064895608298,12,[[0.94881912]],0.0,7.354284079730455,0.010837379989615894,0.02678794761576581,1361.7171717171718,1.0,100,2.72312,0.9101,0.010837379989615894,0.0,500.0,2.7927007475918364,[[0.94931517]],74.14646172232501,0.0,0.14660105228914944,[[-0.00049605]],6.92422974342197
0.0,0.0013217966324571284,0,6.943272624427059,2.2073858350096627,13,[[0.95014092]],0.0,7.368344040086599,0.01077802850051172,0.026670518700993812,1367.3535353535353,1.0,100,2.73468,0.9101,0.01077802850051172,0.0,500.0,2.8043689660242643,[[0.94881912]],66.81185903492954,0.0,0.39367798454041036,[[0.0013218]],6.943273347388381
0.0,0.000946696588397411,0,6.957198617552642,2.202082201148334,14,[[0.95108761]],0.0,7.37433187679425,0.010661069415948765,0.026438731654287593,1372.3232323232323,1.0,100,2.74612,0.9101,0.010661069415948765,0.0,500.0,2.8122064194507486,[[0.95014092]],74.53815080148972,0.0,0.2880842933772527,[[0.0009467]],6.95719861481507
0.0,0.00012917739382634075,0,6.9525670241738435,2.2026473825925534,15,[[0.95121679]],0.0,7.369674633062087,0.010673499189358334,0.026463388778931448,1369.8181818181818,1.0,100,2.7416,0.9101,0.010673499189358334,0.0,500.0,2.8113678948156178,[[0.95108761]],72.4152397092543,0.0,0.039718580915732105,[[0.00012918]],6.952567019756128
0.0,0.0012387743820330144,0,6.946051855172649,2.2050952263706054,16,[[0.94997802]],0.0,7.368748801302056,0.010727427029403179,0.026570299832273075,1369.6767676767677,1.0,100,2.73948,0.9101,0.010727427029403179,0.0,500.0,2.804077268835507,[[0.95121679]],80.22227055239954,0.0,0.3768507860449617,[[-0.00123877]],6.946053414402556
0.0,0.0018123331508993479,0,6.967182268331466,2.199732592298272,17,[[0.95179035]],0.0,7.380463636150452,0.010609482440768826,0.026336336265249415,1376.5656565656566,1.0,100,2.75276,0.9101,0.010609482440768826,0.0,500.0,2.81842374074588,[[0.94997802]],68.94239457709216,0.0,0.5544187124825015,[[0.00181233]],6.967182262631756
0.0,0.0017221696386899854,0,6.935463527327923,2.2064151088615946,18,[[0.95006818]],0.0,7.358609019070532,0.010756568098394464,0.026628026765784678,1365.959595959596,1.0,100,2.72984,0.9101,0.010756568098394464,0.0,500.0,2.8013663763242396,[[0.95179035]],79.65480058604382,0.0,0.5272899857988946,[[-0.00172217]],6.935467235448587
0.0,0.00041980282832554394,0,6.938008091788981,2.207187368334415,19,[[0.94964838]],0.0,7.363433787845324,0.010773638940242906,0.026661828679958005,1366.8080808080808,1.0,100,2.73272,0.9101,0.010773638940242906,0.0,500.0,2.800500205606134,[[0.95006818]],69.54915081541245,0.0,0.12591912280511508,[[-0.0004198]],6.938008957930345
