RewardMean,ReturnsStd,RewardStd,ITERATIONS,DeltaOmega,Wins,ConfortViolation,Traj,NormDeltaOmega,Omega,TimestepsMean,OmegaBefore,TimestepsStd,ReturnsMean,NormDeltaVar
6.417280004057155,80.74184854523001,1.3736842422092637,0,0.10000000146119703,0.0,0,250,0.10000000146119703,8.100000001461197,23.036,8.0,11.977424764948433,147.82846217346062,0.3162277669638232
6.37193550899785,92.11091210887773,1.279765187474509,1,0.08298746692701542,0.0,0,250,0.08298746692701542,8.182987468388212,26.072,8.100000001461197,13.866607948593629,166.12910259059197,0.2968801654481554
6.368567721242266,125.37157791557324,1.119715615048959,2,0.07853652751069973,0.0,0,250,0.07853652751069973,8.261523995898912,33.832,8.182987468388212,19.01251629848085,215.46138314506837,0.2864814371993822
6.314526132458682,130.89236435322348,1.0653386465333048,3,0.01309017044319205,0.0,0,250,0.01309017044319205,8.274614166342104,36.74,8.261523995898912,20.030985996700213,231.99569010653195,0.251924103062681
6.318952297684814,131.16858815999512,1.0332654519734876,4,-0.039111999671982645,0.0,0,250,0.039111999671982645,8.235502166670122,39.076,8.274614166342104,20.06983368142347,246.91937998433175,0.2514633529392915
6.3742990602876,155.31953798395756,0.9686879827142865,5,0.0019858823382392643,0.0,0,250,0.0019858823382392643,8.23748804900836,45.184,8.235502166670122,23.599282700963602,288.01632874003496,0.2170635310022558
6.3856769916303655,164.36747316747312,0.9309375469798699,6,-0.02759778348433528,0.0,0,250,0.02759778348433528,8.209890265524026,49.084,8.23748804900836,24.99273782521635,313.43456945718486,0.21641995139630177
6.413477233553945,162.40022255875428,0.9136617435821831,7,-0.016808873779250888,0.0,0,250,0.016808873779250888,8.193081391744775,51.396,8.209890265524026,24.588761335211665,329.6270758957385,0.2021236718560047
6.425913445297928,142.48627613723335,0.9107941009428477,8,-0.0467197733546314,0.0,0,250,0.0467197733546314,8.146361618390143,51.932,8.193081391744775,21.5177920800439,333.710537041212,0.20178181653832375
6.4697517754859,158.62654055867105,0.8938242508622973,9,-0.05745918877014944,0.0,0,250,0.05745918877014944,8.088902429619994,54.644,8.146361618390143,23.80532007766331,353.5331160196515,0.21049481108599377
6.533904303714397,185.1891103078036,0.8563229923955937,10,-0.06660455854675895,0.0,0,250,0.06660455854675895,8.022297871073235,60.676,8.088902429619994,27.59715608536503,396.45117753217477,0.2196968183040549
6.586775085642897,172.49423398198343,0.8457561563896713,11,-0.05891628723550024,0.0,0,250,0.05891628723550024,7.963381583837735,63.236,8.022297871073235,25.50161375285886,416.5213093157142,0.2320856733531096
6.640794447222474,189.61612906908803,0.8298473115141711,12,-0.036458295599628876,0.0,0,250,0.036458295599628876,7.926923288238106,66.78,7.963381583837735,27.857128351644576,443.4722531855168,0.2433323240698292
6.6814752470406304,222.96768500954667,0.7857014487349511,13,-0.027882601767664994,0.4,0,250,0.027882601767664994,7.899040686470441,75.12,7.926923288238106,32.58284211053419,501.9124205576922,0.2434938481504321
6.707599582817833,234.790689514608,0.755191650697104,14,-0.051585485058613045,0.4,0,250,0.051585485058613045,7.847455201411828,82.168,7.899040686470441,34.23839622412242,551.1500425209757,0.25758892202855316
6.763515810579415,295.5118647568738,0.6933918492984505,15,-0.02014044859560382,3.2,0,250,0.02014044859560382,7.827314752816224,96.628,7.847455201411828,42.778985682224864,653.5450057446677,0.25621897238680025
6.792832369787549,335.2833794995576,0.6197998039481994,16,0.0058318221181759,9.2,0,250,0.0058318221181759,7.8331465749344,115.104,7.827314752816224,48.26996150816779,781.882177092026,0.26845314773333234
6.807774554681687,314.0815945136549,0.565764167683932,17,0.04527767748005118,11.600000000000001,0,250,0.04527767748005118,7.878424252414451,135.348,7.8331465749344,45.14176443162141,921.418670427057,0.2655054505517696
6.788839023508763,278.81056809282694,0.5262232306084482,18,0.014156881875337923,15.6,0,250,0.014156881875337923,7.892581134289789,148.852,7.878424252414451,40.3669926548907,1010.5322663273264,0.25397862817563754
6.780201932035982,285.42422929921304,0.4949752526872606,19,-0.002137485896546387,24.0,0,250,0.002137485896546387,7.8904436483932425,152.5,7.892581134289789,41.23292373819737,1033.9807946354872,0.24983248346108894
6.794709059018253,272.13204834184256,0.4499773742355613,20,0.012299409265465577,34.0,0,250,0.012299409265465577,7.902743057658708,161.956,7.8904436483932425,39.237457409980074,1100.44390036236,0.24850714540767332
6.784695282290686,270.62199801330036,0.4121655288924988,21,-0.0042561197106376625,43.6,0,250,0.0042561197106376625,7.89848693794807,167.548,7.902743057658708,39.10160733269158,1136.7621251572398,0.24873148593213135
6.812317301658366,221.52685811643642,0.3043413760226397,22,-0.021176641834554033,68.4,0,250,0.021176641834554033,7.877310296113516,183.108,7.89848693794807,31.746123164884246,1247.38979647206,0.25312476905149117
6.839891295321129,164.76062459415138,0.23719527223259007,23,-0.006635703658472991,81.6,0,250,0.006635703658472991,7.870674592455043,192.332,7.877310296113516,23.510971396350257,1315.5299726117034,0.2451542347772452
6.8554450898427115,154.56484609767062,0.18977675717489784,24,0.011565516715789315,89.2,0,250,0.011565516715789315,7.882240109170833,194.808,7.870674592455043,22.04511592167299,1335.495547062079,0.23698781601052216
6.854424063885509,107.30267793058447,0.1531081341747115,25,-0.02161740822377478,94.0,0,250,0.02161740822377478,7.860622700947058,197.624,7.882240109170833,15.309690525938139,1354.59870120131,0.22362424795271918
6.8757335925038445,76.69124458574633,0.1502081565115852,26,0.0012693861460535416,94.0,0,250,0.0012693861460535416,7.8618920870931115,198.76,7.860622700947058,10.810661404373,1366.620808846064,0.21016871289781602
