ConfortViolation,NormDeltaVar,ReturnsMean,ITERATIONS,RewardMean,OmegaBefore,NormDeltaOmega,Wins,Omega,TimestepsStd,TimestepsMean,RewardStd,ReturnsStd,Traj,DeltaOmega
0,0.31622776084036963,141.43637680713783,0,6.4091162229081835,8.0,0.10000000145973864,0.0,7.899999998540261,10.78217862957204,22.068,1.4028352837033056,72.69313393421227,250,-0.10000000145973864
0,0.29511226448977634,179.53466486068953,1,6.539948450411247,7.899999998540261,0.008761387556423195,0.0,7.9087613860966846,17.06574627726546,27.452,1.278618453940647,116.26956752690042,250,0.008761387556423195
0,0.2981556053448461,201.92520859821215,2,6.559420757478306,7.9087613860966846,0.012439699293730122,0.0,7.921201085390415,16.544526103820562,30.784,1.2093837007865444,112.87766171774739,250,0.012439699293730122
0,0.2818935109402371,232.551237742064,3,6.579652493833861,7.921201085390415,0.039315944511763234,0.0,7.881885140878651,18.490258624475754,35.344,1.130951307567863,126.09259577838102,250,-0.039315944511763234
0,0.2690445989587049,263.3051219504709,4,6.631034601351638,7.881885140878651,0.03910104591593111,0.0,7.9209861867945826,21.889877477957707,39.708,1.0741911654965712,150.13714391842365,250,0.03910104591593111
0,0.2658416125556428,288.1453553989725,5,6.616122230872806,7.9209861867945826,0.02824480374785665,0.0,7.949230990542439,20.13810557127954,43.552,1.0232928657253775,137.44901352959386,250,0.02824480374785665
0,0.26439041621765474,300.60504092292405,6,6.6003214676559825,7.949230990542439,0.03892908744427537,0.0,7.988160077986715,20.331061556150974,45.544,0.9980356682757595,138.63223508864405,250,0.03892908744427537
0,0.24443770309036902,337.27082232203264,7,6.592986596333424,7.988160077986715,0.03815494391977481,0.0,8.02631502190649,22.366306445186698,51.156,0.9403783716826742,151.83279894899863,250,0.03815494391977481
0,0.19856090125469203,337.88845083006936,8,6.558903075356576,8.02631502190649,0.049662709643126135,0.0,8.075977731549616,23.585795386206502,51.516,0.9324357802958653,159.20313438829663,250,0.049662709643126135
0,0.19621500625752022,348.28525761750205,9,6.530022079224202,8.075977731549616,0.02427537164066429,0.0,8.10025310319028,23.698251074710136,53.336,0.9124509896110153,159.45201016524786,250,0.02427537164066429
0,0.20703820799175698,374.7339056721317,10,6.521194237646729,8.10025310319028,0.012106154570025396,0.0,8.112359257760305,26.30879518336026,57.464,0.8781909521649088,176.5628877068721,250,0.012106154570025396
0,0.2170989595538208,382.6434856787964,11,6.510199497733708,8.112359257760305,0.007574982210215353,0.0,8.11993423997052,25.26305254714877,58.776,0.8668493049311745,169.1857575118858,250,0.007574982210215353
0,0.23428874924959323,425.5322573168032,12,6.5193690604976595,8.11993423997052,0.03825402901985164,0.0,8.081680210950669,27.83548124247181,65.272,0.8243307910809307,186.261140950795,250,-0.03825402901985164
0,0.24152689264832283,428.03655990959106,13,6.548105493660371,8.081680210950669,0.0318388987936018,0.4,8.049841312157067,29.61541112326486,65.368,0.8253511742322394,199.15932208404743,250,-0.0318388987936018
0,0.24705502933414217,474.8120754091924,14,6.581449259941125,8.049841312157067,0.020724969686968464,0.0,8.029116342470099,26.672293939592073,72.144,0.7915264828794035,179.8312919055102,250,-0.020724969686968464
0,0.2591544926125505,509.0966930372507,15,6.605811660316224,8.029116342470099,0.009271153199266635,0.8,8.019845189270832,30.534429354418922,77.068,0.7659829678872211,206.83330872275417,250,-0.009271153199266635
0,0.2710860495240798,538.4421250242088,16,6.616068576430365,8.019845189270832,0.010357734762868276,2.0,8.0302029240337,35.56757714548462,81.384,0.7424749059009537,241.63570324514689,250,0.010357734762868276
