NormDeltaOmega,ReturnsMean,TimestepsMean,TimestepsStd,ReturnsStd,Omega,ConfortViolation,DeltaOmega,RewardMean,Traj,OmegaBefore,Wins,NormDeltaVar,RewardStd,ITERATIONS
0.1000000014481266,162.07197085680124,25.144,14.10089585806519,94.78069939832154,7.899999998551873,0,-0.1000000014481266,6.4457513067451995,250,8.0,0.0,0.316227768877058,1.3188863119876701,0
0.015510908130093704,172.37967910392982,26.396,15.259593179374082,104.03063553152106,7.915510906681967,0,0.015510908130093704,6.530522772538634,250,7.899999998551873,0.0,0.2904409246096436,1.3030564762125814,1
0.052517621826297045,198.6619511252187,30.332,14.518876540559189,98.78057271811178,7.968028528508264,0,0.052517621826297045,6.5495829857977945,250,7.915510906681967,0.0,0.28753019912483774,1.2170080841502515,2
0.04393972580180172,221.30453100101388,33.888,18.318391195735504,124.15916819070847,8.011968254310066,0,0.04393972580180172,6.530468927083744,250,7.968028528508264,0.0,0.2801418253293607,1.1469887705900015,3
0.0048403337258662305,267.67659893596306,40.98,19.56454957314377,132.01423905051942,8.016808588035932,0,0.0048403337258662305,6.531883819813641,250,8.011968254310066,0.0,0.26678671200312415,1.0421705829080479,4
0.019313152409697665,277.17069322383287,42.404,18.96103330517617,128.07073347043607,8.03612174044563,0,0.019313152409697665,6.536428007353855,250,8.016808588035932,0.0,0.25601921396107447,1.0247576899603759,5
0.01604531327310532,304.9571915840014,46.628,21.728911983806277,146.5807937609815,8.020076427172524,0,-0.01604531327310532,6.540215998627464,250,8.03612174044563,0.0,0.2517827048682484,0.9774409616097101,6
0.006880010869629416,326.2270828099973,49.736,20.314189720488486,137.40991610295123,8.026956438042154,0,0.006880010869629416,6.559174095423784,250,8.020076427172524,0.0,0.23642346361243854,0.9493520651990554,7
0.03433738084659943,337.8601828056554,51.508,21.520453898558923,145.48376993809546,8.061293818888753,0,0.03433738084659943,6.559372967415846,250,8.026956438042154,0.0,0.2130539022921636,0.9327267207489901,8
0.039605407370199686,364.44333725305654,55.664,22.806295271262275,153.65389842178942,8.100899226258953,0,0.039605407370199686,6.5471999362794,250,8.061293818888753,0.0,0.20778928040736885,0.8954260934571867,9
0.058877456878430934,352.59455293790234,54.208,20.378928725524315,136.67450973133637,8.159776683137384,0,0.058877456878430934,6.504474486015024,250,8.100899226258953,0.0,0.20038792031307415,0.9019524782185607,10
0.04912479912983159,380.8114119949343,58.816,22.383166532016865,149.00145684491642,8.208901482267215,0,0.04912479912983159,6.474622755626603,250,8.159776683137384,0.0,0.19897566651843268,0.8620345635641076,11
0.0420114071120512,376.9310626990144,58.584,22.455710721328774,148.80487402573362,8.250912889379267,0,0.0420114071120512,6.434027425560126,250,8.208901482267215,0.0,0.19252411792699226,0.858419404176473,12
0.05819450344714738,403.7197671036564,62.992,27.264041079781258,179.81950014460134,8.309107392826414,0,0.05819450344714738,6.409064120898789,250,8.250912889379267,0.4,0.20462135907223228,0.8232377177161859,13
0.05727257300275568,435.87820317828226,68.42,27.428663839130046,179.42878635254903,8.36637996582917,0,0.05727257300275568,6.370625594537888,250,8.309107392826414,0.0,0.21914940679282718,0.7874878913873294,14
0.06916135525473344,443.3615052607595,70.084,28.8992204739159,187.67081769739994,8.435541321083903,0,0.06916135525473344,6.326144416140054,250,8.36637996582917,0.4,0.23651963638861884,0.7710599472807346,15
0.07145258234121599,485.7191399713258,77.332,31.023825940718528,199.95169772849803,8.50699390342512,0,0.07145258234121599,6.280959240305769,250,8.435541321083903,0.8,0.2495055348755961,0.7283363056579788,16
0.07570143871502744,501.6424150499626,80.636,30.34955525209554,193.45438740590427,8.582695342140147,0,0.07570143871502744,6.221072660473764,250,8.50699390342512,0.4,0.25683473167345033,0.708686072773096,17
0.0438373954902147,543.2905975042174,88.084,34.741746415515735,220.33705262855713,8.626532737630361,0,0.0438373954902147,6.167869278236881,250,8.582695342140147,2.4,0.268879896598325,0.6664492869754192,18
0.008199695231061455,583.4789358589076,95.128,35.78680784870313,224.98723948772724,8.634732432861423,0,0.008199695231061455,6.1336192904182525,250,8.626532737630361,2.8000000000000003,0.27887579832702236,0.637751048024045,19
0.011230690577686886,667.9141962998516,108.912,41.870183376718096,263.2121522115658,8.64596312343911,0,0.011230690577686886,6.132604270418795,250,8.634732432861423,4.3999999999999995,0.2692641699694963,0.5927610800395823,20
0.010377480610092249,781.9720740696322,127.344,44.44225088809072,280.40776367445267,8.656340604049202,0,0.010377480610092249,6.140627544836288,250,8.64596312343911,12.4,0.28424284174778197,0.5281557716652409,21
0.03737098579857623,979.0279811672254,158.888,38.112930299309184,242.5261513218299,8.618969618250626,0,-0.03737098579857623,6.161749038110023,250,8.656340604049202,30.0,0.2871967376530741,0.4275478325953363,22
0.03310131833475971,1079.0154087460367,173.416,34.755531128152825,222.7226148222185,8.585868299915866,0,-0.03310131833475971,6.222121423317553,250,8.618969618250626,47.599999999999994,0.28603636313771946,0.3584806064574916,23
0.036767125027633796,1135.3028702623822,181.628,28.35111313511341,182.0242766065157,8.549101174888232,0,-0.036767125027633796,6.250704022851003,250,8.585868299915866,56.39999999999999,0.24978396408233516,0.32562745734051596,24
0.039441099331842366,1169.6154898166237,186.216,26.955543845376223,174.17155804012296,8.50966007555639,0,-0.039441099331842366,6.280961302018215,250,8.549101174888232,69.19999999999999,0.2359065337721326,0.2797452738255365,25
0.05436331212444401,1210.5905306175923,191.544,23.050728057916086,149.68783716495219,8.455296763431946,0,-0.05436331212444401,6.3201694159962845,250,8.50966007555639,81.2,0.23489026659675374,0.228011918582361,26
