RewardMean,TimestepsStd,ConfortViolation,DeltaOmega,Traj,ITERATIONS,Wins,RewardStd,TimestepsMean,Omega,NormDeltaVar,OmegaBefore,NormDeltaOmega,ReturnsMean,ReturnsStd
6.431079834852546,12.17177061893626,0,0.10000000143972088,250,0,0.0,1.3534257459381702,23.8,8.10000000143972,0.3162277681437634,8.0,0.10000000143972088,153.0597000694906,82.12343337351123
6.362576425356428,12.718047648912155,0,0.015198750304161734,250,1,0.0,1.3005338918480074,25.208,8.115198751743883,0.29311979360188384,8.10000000143972,0.015198750304161734,160.3878265303848,84.64256899102413
6.4017768855531125,16.70069172220121,0,0.012549985218070603,250,2,0.0,1.161166879163369,31.836,8.127748736961953,0.2943481518983662,8.115198751743883,0.012549985218070603,203.80696892846888,110.89687544597057
6.422002803860308,19.76509286595942,0,-0.05095989245692678,250,3,0.0,1.0889042424825566,36.348,8.076788844505026,0.27849132493652384,8.127748736961953,0.05095989245692678,233.42695791471448,131.44985700804682
6.473595235922813,19.624141866588715,0,0.011587125074989046,250,4,0.0,1.0670071214389647,38.416,8.088375969580015,0.27731185362873106,8.076788844505026,0.011587125074989046,248.68963458321082,131.50015208289346
6.486049423965634,21.208496787844254,0,-0.016423120884415,250,5,0.0,0.9996282605540127,43.892,8.0719528486956,0.2605620755669401,8.088375969580015,0.016423120884415,284.6856813166997,141.93736076650228
6.502880135900122,20.30345783358096,0,-0.00578031057363404,250,6,0.0,0.9892909793853155,45.04,8.066172538121966,0.22861885448956165,8.0719528486956,0.00578031057363404,292.8897213209415,136.15227751589035
6.522220332302135,24.858214256056286,0,0.026500780313405414,250,7,0.0,0.9420241563688162,49.928,8.092673318435372,0.2055563096616878,8.066172538121966,0.026500780313405414,325.641416751181,167.17181632381576
6.510263506289973,20.749807131633776,0,0.026052321410759305,250,8,0.0,0.9109243672552415,53.248,8.118725639846131,0.20364932843984412,8.092673318435372,0.026052321410759305,346.65851118292846,139.1576958184369
6.486721957212264,21.72937145892628,0,0.012282835016490523,250,9,0.0,0.9199689232761611,51.804,8.131008474862622,0.20597285616308517,8.118725639846131,0.012282835016490523,336.03814427142413,145.1946942384776
6.494297867302036,23.51696885229897,0,0.03573761216163973,250,10,0.0,0.8725578946679737,57.724,8.166746087024261,0.20220780966021748,8.131008474862622,0.03573761216163973,374.8768500921427,157.0301840499682
6.469130353768039,28.211970225420274,0,0.05695448922369195,250,11,0.4,0.8434084546602283,61.144,8.223700576247953,0.21634617383295174,8.166746087024261,0.05695448922369195,395.54850635079293,187.87741834417878
6.43227095148959,27.78860197994854,0,0.0558705037381948,250,12,0.4,0.8174409971393323,64.36,8.279571079986148,0.23202203475927838,8.223700576247953,0.0558705037381948,413.98095843787,183.82144145925645
6.399001411475211,29.89507651771442,0,0.04597168147754793,250,13,0.4,0.7658059528516286,72.78,8.325542761463696,0.24425007718713657,8.279571079986148,0.04597168147754793,465.7193227271659,196.16971995866123
6.364384910420722,30.503670861061952,0,0.04622374098281945,250,14,0.4,0.7435476599933968,76.508,8.371766502446516,0.25623592389891553,8.325542761463696,0.04622374098281945,486.9263607264686,199.21029694779816
6.328609763984773,30.013851735490398,0,0.05258702556320216,250,15,0.0,0.722619632588255,80.448,8.424353528009718,0.26613094501661927,8.371766502446516,0.05258702556320216,509.12399829304695,194.1634547956446
6.2984786511882,34.998491396058775,0,0.06156667086822942,250,16,1.2,0.6664330220210851,93.04,8.485920198877947,0.2702703168369399,8.424353528009718,0.06156667086822942,586.01045370655,225.46596811742126
6.254102344372011,39.14905342406122,0,0.01059329821412014,250,17,4.3999999999999995,0.6129266998670683,105.704,8.496513497092067,0.2725927017808384,8.485920198877947,0.01059329821412014,661.083634209499,251.19350618926214
6.269264755137588,44.909794032037155,0,0.01970663689942498,250,18,14.799999999999999,0.5229043995398429,131.68,8.516220133991492,0.27433933390618154,8.496513497092067,0.01970663689942498,825.5367829565174,288.78884289772554
6.29250498558391,41.787218141436504,0,0.045451617879813,250,19,39.2,0.40319399485597307,161.58,8.561671751871305,0.2832643197408761,8.516220133991492,0.045451617879813,1016.7429555706481,270.265893937849
6.268542038121322,36.030467329747474,0,0.01781832005067585,250,20,56.39999999999999,0.33122288664606603,176.132,8.579490071921981,0.2859307137953777,8.561671751871305,0.01781832005067585,1104.0908462583848,231.46232888566016
6.243916366892328,34.391063025152334,0,0.0388576369068403,250,21,59.599999999999994,0.32042071839652464,178.528,8.618347708828821,0.25028600509261695,8.579490071921981,0.0388576369068403,1114.7139011485535,219.57109289074623
6.2192137513720285,33.40252349748444,0,0.036127763429929516,250,22,70.0,0.2771334051943938,183.368,8.654475472258751,0.2437296394124651,8.618347708828821,0.036127763429929516,1140.4047871615862,212.2189453606041
6.189197696742225,32.33752025124994,0,0.05357865531215289,250,23,69.6,0.27761469906307634,182.972,8.708054127570904,0.2377279318222365,8.654475472258751,0.05357865531215289,1132.4498809683182,205.04970399096987
6.150099127883249,29.306031051645327,0,0.07050838930753756,250,24,78.0,0.23960274941396065,188.112,8.778562516878441,0.24079232089619962,8.708054127570904,0.07050838930753756,1156.9074471443737,184.33196515212666
6.092292609753817,23.874159754847916,0,0.07099498904917922,250,25,83.2,0.21184920174089278,192.364,8.84955750592762,0.2267147684497222,8.778562516878441,0.07099498904917922,1171.9377755826833,149.03005968168057
6.035690792023252,18.25508849608788,0,0.07997887624408939,250,26,91.2,0.1687775688971119,196.088,8.92953638217171,0.21473740847892325,8.84955750592762,0.07997887624408939,1183.5265360262556,113.1339810379276
